,state,withWiki
0,AL,1.2213574955239892
1,AR,0.7044623228721321
2,AZ,14.803905874490738
3,CA,12.32026968896389
4,CO,2.090125280432403
5,CT,1.2155604911968112
6,DE,0.4359661710332148
7,FL,0.6221075323410332
8,GA,0.8064508377283346
9,IA,0.46605252707377076
10,ID,0.4935922371223569
11,IL,6.298731744289398
12,IN,3.774864751845598
13,KS,0.5064806798473
14,KY,0.3944064601091668
15,LA,1.2830085419118404
16,MA,1.02714897505939
17,MD,0.8313125451095402
18,ME,0.0013416875444818288
19,MI,3.2852785610593855
20,MN,1.6260361727327108
21,MO,0.9512567701749504
22,MS,0.4984808722510934
23,MT,0.11869558971375227
24,NC,1.2969247102737427
25,ND,0.4089504398871213
26,NE,2.1960148215293884
27,NH,0.0007252192808664404
28,NJ,1.1031095169018954
29,NM,0.6595396008342505
30,NV,0.3292890421289485
31,NY,1.9452528185211122
32,OH,1.8037446914240718
33,OK,2.483401683624834
34,OR,0.2468030255404301
35,PA,2.303483567200601
36,RI,0.09163988020736724
37,SC,0.7743290453217924
38,SD,2.002086892724037
39,TN,0.8198406429728493
40,TX,13.188279911875725
41,UT,1.911524226423353
42,VA,2.036716341972351
43,VT,0.2403228151379153
44,WA,0.1577768936076609
45,WI,0.4244617922231555
46,WV,0.0063526921439915895
47,WY,0.1346419698675163
