,state,withWikiandLogistic
0,AL,0.5615663006901741
1,AR,0.8364346278831363
2,AZ,4.960878532379866
3,CA,4.0705908089876175
4,CO,3.76685007289052
5,CT,1.2449032836593688
6,DE,0.015596716315485537
7,FL,0.5211719088256359
8,GA,0.7523482521646656
9,IA,0.7826279900036752
10,ID,0.7672015351126902
11,IL,6.663774479180574
12,IN,3.956101576797664
13,KS,0.3587312060408294
14,KY,0.47580983879743144
15,LA,1.8794374484568834
16,MA,0.7929831119254231
17,MD,0.7567966929636896
18,ME,0.0009927628016157541
19,MI,4.070432854816318
20,MN,1.3189022624865174
21,MO,1.2891937070526183
22,MS,0.6629209890961647
23,MT,0.8711157497018576
24,NC,0.9632308348082006
25,ND,0.4002280221320689
26,NE,1.6770329680293798
27,NH,0.0031132098083617166
28,NJ,0.6507925118785352
29,NM,1.6739899823442101
30,NV,0.40622101351618767
31,NY,0.33300582878291607
32,OH,1.4686634913086891
33,OK,2.3676191156264395
34,OR,0.1337556080543436
35,PA,2.5570627972483635
36,RI,0.03914804558735341
37,SC,0.2802510953042656
38,SD,1.768931315280497
39,TN,0.38080939603969455
40,TX,7.394485279917717
41,UT,2.9277422903105617
42,VA,1.3351643071509898
43,VT,0.003505486180074513
44,WA,0.07852966152131557
45,WI,0.06922663911245763
46,WV,0.0031321240967372432
47,WY,0.14277652979944833
