,state,baseline
0,AL,0.36656315671280026
1,AR,0.8400725687388331
2,AZ,3.928010769188404
3,CA,13.084129929542542
4,CO,7.298353798687458
5,CT,2.0094890954205766
6,DE,0.6585881691426039
7,FL,0.25352791557088494
8,GA,1.3001889931038022
9,IA,1.6879051900468767
10,ID,0.6232834346592426
11,IL,7.1995026473887265
12,IN,2.8047332861460745
13,KS,2.2461367859505117
14,KY,0.559459989075549
15,LA,1.4460526257753372
16,MA,0.45518279194948263
17,MD,1.0395589105319232
18,ME,0.0009539442708046408
19,MI,2.5620646430179477
20,MN,1.9317147440160625
21,MO,1.239215160254389
22,MS,0.6857279688119888
23,MT,0.3804645827040076
24,NC,0.8817597664892673
25,ND,0.36596116703003645
26,NE,8.312672190368176
27,NH,0.0005430692472145893
28,NJ,1.7545317970216274
29,NM,0.9668475016951561
30,NV,0.34592405427247286
31,NY,5.701164105208591
32,OH,3.0003473793622106
33,OK,0.6790369839873165
34,OR,0.00949350040173158
35,PA,1.1566029801033437
36,RI,0.003504823718685657
37,SC,0.9411053867079318
38,SD,1.8092945478856564
39,TN,0.37984101055189967
40,TX,3.129363376647234
41,UT,1.8210311476141214
42,VA,0.2973844427615404
43,VT,0.2352780671644723
44,WA,0.4581340095028281
45,WI,0.7129673575982451
46,WV,0.0068224670249037445
47,WY,0.4195205238647759
