A,B,C,D,E
163441.6,5.06121e-12,720061.3,2.5343328e-11,1531.2142
163441.6,5.06121e-12,720061.3,2.5343328e-11,1531.2142
151132.38,1.0725887e-11,722008.4,5.4347294e-11,944.59753
207131.08,1.1633111e-11,712653.1,9.0524144e-11,1345.0952
6770.912,1730.55,6.7984895e-11,20000.0,2.1402904e-16
16910.121,1.0913626e-10,2885.57,20000.0,1.2068184e-12
5174.674,8.7664535e-14,10130.687,20000.0,1.7763568e-15
17360.838,1.591499e-15,36049.793,20000.0,3.0512483e-17
32592.379,2.1704357e-15,24817.066,20000.0,1.5824558e-21
14982.526,0.0066226036,99096.516,20000.0,0.00087125826
9397.53,0.0,41297.035,20000.0,2.4342188e-33
13036.885,1.0158843e-36,38764.082,20000.0,8.47031e-33
58233.707,0.0001664446,106146.19,20000.0,3.6745732e-5
10500.531,268.87463,0.00024935452,20000.0,6.411104e-5
58199.113,1.7101107e-15,21675.217,20000.0,1.1954733e-17
203880.5,2.0942626,85.16894,24.660013,0.0035937484
31726.54,1.3810256e-9,31547.91,20000.0,0.00026168485
42493.293,4.640346e-26,25262.174,20000.0,1.0288204e-27
16829.35,3.8445026e-15,31381.168,20000.0,2.9511788e-32
20422.717,0.003963342,53980.457,20000.0,4.6687004e-5
24084.615,6.437144e-18,51086.117,20000.0,1.9952657e-12
14963.687,9.8048555e-11,66596.336,20000.0,1.3424324e-13
25749.691,0.0,134599.14,20000.0,0.0
