A,B,C,D
6.722122e-14,663114.6,24.133633,3.2072834e-11
6.722122e-14,663114.6,24.133633,3.2072834e-11
1.1753879e-13,654611.3,101.74837,3.1868393e-11
56.685993,1.7148503,15782.303,0.0063741626
487.25018,999998.8,0.0018187864,0.00080808194
4.514985,41309.277,20000.0,5.910818e-13
14.856003,33411.527,19999.61,2.4331213e-5
20.787025,31938.068,20000.0,0.00017445686
20.223959,628282.75,20000.0,2.8066313e-19
10.426756,34581.29,20000.0,0.00011331179
4.5659138e-10,665615.6,232.5314,6.97817e-9
1.5496565e-13,665493.94,1.1250046,8.605833e-10
16.581804,32977.93,20000.0,1.0285889e-20
22.807644,35730.527,20000.0,0.0
11.326574,34339.97,20000.0,2.5406747e-23
12.219799,34104.902,20000.0,5.816328e-17
18.281284,32550.7,20000.0,0.0
10.868373,95673.28,20000.0,1.51951e-20
18.823359,54615.5,20000.0,6.3994223e-19
15.703102,37775.355,20000.0,1.3170609e-13
4.631563e-10,494890.28,260.58508,4.9627555e-9
30.725021,33661.445,20000.0,0.0
45.636475,41471.797,20000.0,5.998034e-20
