Date,Value
200001,30.0
200002,35.3
200003,45.6
200004,49.8
200005,62.0
200006,70.3
200007,71.0
200008,71.0
200009,64.4
200010,54.9
200011,43.0
200012,29.0
200101,29.8
200102,35.0
200103,38.2
200104,51.4
200105,61.6
200106,71.0
200107,71.1
200108,75.5
200109,64.8
200110,55.4
200111,48.8
200112,41.1
200201,36.9
200202,38.4
200203,42.9
200204,53.9
200205,59.2
200206,70.1
200207,76.1
200208,75.8
200209,67.8
200210,54.1
200211,43.2
200212,33.3
200301,26.4
200302,28.2
200303,41.3
200304,48.5
200305,56.9
200306,67.4
200307,74.5
200308,75.1
200309,66.9
200310,52.9
200311,48.5
200312,35.5
200401,24.6
200402,33.1
200403,42.8
200404,51.9
200405,66.0
200406,69.0
200407,73.2
200408,72.4
200409,67.6
200410,53.6
200411,46.4
200412,35.6
200501,30.1
200502,34.2
200503,37.1
200504,52.5
200505,56.6
200506,72.1
200507,76.0
200508,76.4
200509,70.2
200510,56.3
200511,47.4
200512,32.5
200601,38.7
200602,34.2
200603,41.8
200604,53.4
200605,61.4
200606,70.1
200607,76.7
200608,74.2
200609,64.3
200610,53.6
200611,49.6
200612,41.7
200701,36.7
200702,27.1
200703,40.9
200704,48.6
200705,62.8
200706,70.6
200707,73.7
200708,73.4
200709,68.0
200710,62.1
200711,43.5
200712,35.6
200801,34.3
200802,35.2
200803,41.7
200804,53.0
200805,57.9
200806,73.0
200807,76.0
200808,71.3
200809,67.4
200810,53.4
200811,43.7
200812,36.6
200901,26.9
200902,35.1
200903,40.8
200904,52.5
200905,61.3
200906,67.6
200907,72.0
200908,74.9
200909,64.7
200910,53.4
200911,49.2
200912,34.4
201001,31.2
201002,31.1
201003,46.2
201004,55.5
201005,64.0
201006,73.9
201007,78.3
201008,74.9
201009,69.2
201010,56.0
201011,45.0
201012,30.8
201101,27.2
201102,34.4
201103,41.2
201104,53.9
201105,63.7
201106,71.9
201107,78.4
201108,73.5
201109,68.9
201110,55.8
201111,48.9
201112,40.5
201201,35.6
201202,38.9
201203,49.8
201204,52.6
201205,65.1
201206,70.0
201207,77.8
201208,74.7
201209,67.0
201210,56.8
201211,41.5
201212,40.6
201301,33.9
201302,32.8
201303,38.6
201304,51.5
201305,60.9
201306,71.2
201307,77.8
201308,71.4
201309,64.4
201310,57.1
201311,42.9
201312,36.0
201401,26.0
201402,29.5
201403,35.4
201404,50.3
201405,62.0
201406,70.6
201407,74.1
201408,70.8
201409,66.9
201410,57.0
201411,42.0
201412,38.7
201501,27.9
201502,22.3
201503,35.9
201504,51.5
201505,66.1
201506,70.3
201507,75.2
201508,74.3
201509,70.7
201510,54.5
201511,49.7
201512,48.0
201601,31.4
201602,36.0
201603,47.0
201604,50.7
201605,60.2
201606,70.6
201607,77.2
201608,76.9
201609,69.7
201610,56.7
201611,46.7
201612,36.3
201701,36.2
201702,40.4
201703,38.9
201704,55.9
201705,60.0
201706,70.4
201707,75.5
201708,71.6
201709,68.2
201710,60.4
201711,44.4
201712,33.2
201801,29.2
201802,39.4
201803,38.3
201804,48.0
201805,65.2
201806,70.1
201807,76.2
201808,76.8
201809,70.2
201810,56.4
201811,42.5
201812,37.8
201901,31.6
201902,34.7
201903,39.4
201904,54.8
201905,62.8
201906,70.6
201907,78.0
201908,74.5
201909,69.0
201910,58.2
201911,41.3
201912,36.4
202001,37.3
202002,39.1
202003,46.3
202004,48.7
202005,59.1
202006,71.5
202007,78.8
202008,75.5
202009,66.8
202010,57.0
202011,49.2
202012,37.0
202101,33.7
202102,32.0
202103,44.0
202104,52.6
202105,60.8
202106,71.8
202107,75.7
202108,75.9
202109,68.7
202110,61.0
202111,43.6
202112,41.2
202201,28.5
202202,35.4
202203,43.7
202204,51.0
202205,63.1
202206,69.8
202207,77.7
202208,77.0
202209,67.4
202210,54.0
202211,47.5
202212,35.5
