fips,state,year,month,count
01,AL,2000,01,0
01,AL,2000,02,0
01,AL,2000,03,0
01,AL,2000,04,0
01,AL,2000,05,0
01,AL,2000,06,0
01,AL,2000,07,0
01,AL,2000,08,0
01,AL,2000,09,0
01,AL,2000,10,0
01,AL,2000,11,0
01,AL,2000,12,0
01,AL,2001,01,0
01,AL,2001,02,0
01,AL,2001,03,0
01,AL,2001,04,0
01,AL,2001,05,0
01,AL,2001,06,0
01,AL,2001,07,0
01,AL,2001,08,1
01,AL,2001,09,1
01,AL,2001,10,0
01,AL,2001,11,0
01,AL,2001,12,0
01,AL,2002,01,0
01,AL,2002,02,0
01,AL,2002,03,0
01,AL,2002,04,0
01,AL,2002,05,0
01,AL,2002,06,0
01,AL,2002,07,4
01,AL,2002,08,15
01,AL,2002,09,13
01,AL,2002,10,2
01,AL,2002,11,0
01,AL,2002,12,0
01,AL,2003,01,0
01,AL,2003,02,0
01,AL,2003,03,0
01,AL,2003,04,0
01,AL,2003,05,0
01,AL,2003,06,2
01,AL,2003,07,4
01,AL,2003,08,9
01,AL,2003,09,8
01,AL,2003,10,2
01,AL,2003,11,0
01,AL,2003,12,0
01,AL,2004,01,0
01,AL,2004,02,0
01,AL,2004,03,0
01,AL,2004,04,0
01,AL,2004,05,0
01,AL,2004,06,2
01,AL,2004,07,6
01,AL,2004,08,7
01,AL,2004,09,0
01,AL,2004,10,0
01,AL,2004,11,0
01,AL,2004,12,0
01,AL,2005,01,0
01,AL,2005,02,0
01,AL,2005,03,0
01,AL,2005,04,0
01,AL,2005,05,0
01,AL,2005,06,0
01,AL,2005,07,1
01,AL,2005,08,2
01,AL,2005,09,3
01,AL,2005,10,0
01,AL,2005,11,0
01,AL,2005,12,0
01,AL,2006,01,0
01,AL,2006,02,0
01,AL,2006,03,0
01,AL,2006,04,0
01,AL,2006,05,0
01,AL,2006,06,0
01,AL,2006,07,5
01,AL,2006,08,2
01,AL,2006,09,1
01,AL,2006,10,0
01,AL,2006,11,0
01,AL,2006,12,0
01,AL,2007,01,0
01,AL,2007,02,0
01,AL,2007,03,0
01,AL,2007,04,0
01,AL,2007,05,0
01,AL,2007,06,0
01,AL,2007,07,7
01,AL,2007,08,5
01,AL,2007,09,3
01,AL,2007,10,2
01,AL,2007,11,0
01,AL,2007,12,0
01,AL,2008,01,0
01,AL,2008,02,0
01,AL,2008,03,0
01,AL,2008,04,0
01,AL,2008,05,0
01,AL,2008,06,0
01,AL,2008,07,0
01,AL,2008,08,9
01,AL,2008,09,2
01,AL,2008,10,0
01,AL,2008,11,0
01,AL,2008,12,0
01,AL,2009,01,0
01,AL,2009,02,0
01,AL,2009,03,0
