,fips,state,year,month,count,temp
2000-01,34,NJ,2000,1,0,30.0
2000-02,34,NJ,2000,2,0,35.3
2000-03,34,NJ,2000,3,0,45.6
2000-04,34,NJ,2000,4,0,49.8
2000-05,34,NJ,2000,5,0,62.0
2000-06,34,NJ,2000,6,0,70.3
2000-07,34,NJ,2000,7,0,71.0
2000-08,34,NJ,2000,8,4,71.0
2000-09,34,NJ,2000,9,1,64.4
2000-10,34,NJ,2000,10,0,54.9
2000-11,34,NJ,2000,11,0,43.0
2000-12,34,NJ,2000,12,0,29.0
2001-01,34,NJ,2001,1,0,29.8
2001-02,34,NJ,2001,2,0,35.0
2001-03,34,NJ,2001,3,0,38.2
2001-04,34,NJ,2001,4,0,51.4
2001-05,34,NJ,2001,5,0,61.6
2001-06,34,NJ,2001,6,0,71.0
2001-07,34,NJ,2001,7,1,71.1
2001-08,34,NJ,2001,8,7,75.5
2001-09,34,NJ,2001,9,4,64.8
2001-10,34,NJ,2001,10,0,55.4
2001-11,34,NJ,2001,11,0,48.8
2001-12,34,NJ,2001,12,0,41.1
2002-01,34,NJ,2002,1,0,36.9
2002-02,34,NJ,2002,2,0,38.4
2002-03,34,NJ,2002,3,0,42.9
2002-04,34,NJ,2002,4,0,53.9
2002-05,34,NJ,2002,5,0,59.2
2002-06,34,NJ,2002,6,0,70.1
2002-07,34,NJ,2002,7,0,76.1
2002-08,34,NJ,2002,8,6,75.8
2002-09,34,NJ,2002,9,9,67.8
2002-10,34,NJ,2002,10,1,54.1
2002-11,34,NJ,2002,11,0,43.2
2002-12,34,NJ,2002,12,0,33.3
2003-01,34,NJ,2003,1,0,26.4
2003-02,34,NJ,2003,2,0,28.2
2003-03,34,NJ,2003,3,0,41.3
2003-04,34,NJ,2003,4,0,48.5
2003-05,34,NJ,2003,5,0,56.9
2003-06,34,NJ,2003,6,0,67.4
2003-07,34,NJ,2003,7,2,74.5
2003-08,34,NJ,2003,8,7,75.1
2003-09,34,NJ,2003,9,11,66.9
2003-10,34,NJ,2003,10,1,52.9
2003-11,34,NJ,2003,11,0,48.5
2003-12,34,NJ,2003,12,0,35.5
2004-01,34,NJ,2004,1,0,24.6
2004-02,34,NJ,2004,2,0,33.1
2004-03,34,NJ,2004,3,0,42.8
2004-04,34,NJ,2004,4,0,51.9
2004-05,34,NJ,2004,5,0,66.0
2004-06,34,NJ,2004,6,0,69.0
2004-07,34,NJ,2004,7,0,73.2
2004-08,34,NJ,2004,8,0,72.4
2004-09,34,NJ,2004,9,1,67.6
2004-10,34,NJ,2004,10,0,53.6
2004-11,34,NJ,2004,11,0,46.4
2004-12,34,NJ,2004,12,0,35.6
2005-01,34,NJ,2005,1,0,30.1
2005-02,34,NJ,2005,2,0,34.2
2005-03,34,NJ,2005,3,0,37.1
2005-04,34,NJ,2005,4,0,52.5
2005-05,34,NJ,2005,5,0,56.6
2005-06,34,NJ,2005,6,0,72.1
2005-07,34,NJ,2005,7,0,76.0
2005-08,34,NJ,2005,8,0,76.4
2005-09,34,NJ,2005,9,3,70.2
2005-10,34,NJ,2005,10,0,56.3
2005-11,34,NJ,2005,11,0,47.4
2005-12,34,NJ,2005,12,0,32.5
2006-01,34,NJ,2006,1,0,38.7
2006-02,34,NJ,2006,2,0,34.2
2006-03,34,NJ,2006,3,0,41.8
2006-04,34,NJ,2006,4,0,53.4
2006-05,34,NJ,2006,5,0,61.4
2006-06,34,NJ,2006,6,0,70.1
2006-07,34,NJ,2006,7,0,76.7
2006-08,34,NJ,2006,8,2,74.2
2006-09,34,NJ,2006,9,0,64.3
2006-10,34,NJ,2006,10,0,53.6
2006-11,34,NJ,2006,11,0,49.6
2006-12,34,NJ,2006,12,0,41.7
2007-01,34,NJ,2007,1,0,36.7
2007-02,34,NJ,2007,2,0,27.1
2007-03,34,NJ,2007,3,0,40.9
2007-04,34,NJ,2007,4,0,48.6
2007-05,34,NJ,2007,5,0,62.8
2007-06,34,NJ,2007,6,0,70.6
2007-07,34,NJ,2007,7,0,73.7
2007-08,34,NJ,2007,8,1,73.4
2007-09,34,NJ,2007,9,0,68.0
2007-10,34,NJ,2007,10,0,62.1
2007-11,34,NJ,2007,11,0,43.5
2007-12,34,NJ,2007,12,0,35.6
2008-01,34,NJ,2008,1,0,34.3
2008-02,34,NJ,2008,2,0,35.2
2008-03,34,NJ,2008,3,0,41.7
2008-04,34,NJ,2008,4,0,53.0
2008-05,34,NJ,2008,5,0,57.9
2008-06,34,NJ,2008,6,0,73.0
2008-07,34,NJ,2008,7,0,76.0
2008-08,34,NJ,2008,8,2,71.3
2008-09,34,NJ,2008,9,2,67.4
2008-10,34,NJ,2008,10,1,53.4
2008-11,34,NJ,2008,11,0,43.7
2008-12,34,NJ,2008,12,1,36.6
2009-01,34,NJ,2009,1,0,26.9
2009-02,34,NJ,2009,2,0,35.1
2009-03,34,NJ,2009,3,0,40.8
2009-04,34,NJ,2009,4,0,52.5
2009-05,34,NJ,2009,5,0,61.3
2009-06,34,NJ,2009,6,0,67.6
2009-07,34,NJ,2009,7,0,72.0
2009-08,34,NJ,2009,8,2,74.9
2009-09,34,NJ,2009,9,1,64.7
2009-10,34,NJ,2009,10,0,53.4
2009-11,34,NJ,2009,11,0,49.2
2009-12,34,NJ,2009,12,0,34.4
2010-01,34,NJ,2010,1,0,31.2
2010-02,34,NJ,2010,2,0,31.1
2010-03,34,NJ,2010,3,0,46.2
2010-04,34,NJ,2010,4,0,55.5
2010-05,34,NJ,2010,5,0,64.0
2010-06,34,NJ,2010,6,0,73.9
2010-07,34,NJ,2010,7,0,78.3
2010-08,34,NJ,2010,8,9,74.9
2010-09,34,NJ,2010,9,5,69.2
2010-10,34,NJ,2010,10,1,56.0
2010-11,34,NJ,2010,11,0,45.0
2010-12,34,NJ,2010,12,0,30.8
2011-01,34,NJ,2011,1,0,27.2
2011-02,34,NJ,2011,2,0,34.4
2011-03,34,NJ,2011,3,0,41.2
2011-04,34,NJ,2011,4,0,53.9
2011-05,34,NJ,2011,5,0,63.7
2011-06,34,NJ,2011,6,0,71.9
2011-07,34,NJ,2011,7,0,78.4
2011-08,34,NJ,2011,8,1,73.5
2011-09,34,NJ,2011,9,1,68.9
2011-10,34,NJ,2011,10,0,55.8
2011-11,34,NJ,2011,11,0,48.9
2011-12,34,NJ,2011,12,0,40.5
2012-01,34,NJ,2012,1,0,35.6
2012-02,34,NJ,2012,2,0,38.9
2012-03,34,NJ,2012,3,0,49.8
2012-04,34,NJ,2012,4,0,52.6
2012-05,34,NJ,2012,5,0,65.1
2012-06,34,NJ,2012,6,0,70.0
2012-07,34,NJ,2012,7,1,77.8
2012-08,34,NJ,2012,8,12,74.7
2012-09,34,NJ,2012,9,8,67.0
2012-10,34,NJ,2012,10,1,56.8
2012-11,34,NJ,2012,11,0,41.5
2012-12,34,NJ,2012,12,0,40.6
2013-01,34,NJ,2013,1,0,33.9
2013-02,34,NJ,2013,2,0,32.8
2013-03,34,NJ,2013,3,0,38.6
2013-04,34,NJ,2013,4,0,51.5
2013-05,34,NJ,2013,5,0,60.9
2013-06,34,NJ,2013,6,0,71.2
2013-07,34,NJ,2013,7,0,77.8
2013-08,34,NJ,2013,8,7,71.4
2013-09,34,NJ,2013,9,2,64.4
2013-10,34,NJ,2013,10,1,57.1
2013-11,34,NJ,2013,11,0,42.9
2013-12,34,NJ,2013,12,0,36.0
2014-01,34,NJ,2014,1,0,26.0
2014-02,34,NJ,2014,2,0,29.5
2014-03,34,NJ,2014,3,0,35.4
2014-04,34,NJ,2014,4,0,50.3
2014-05,34,NJ,2014,5,0,62.0
2014-06,34,NJ,2014,6,0,70.6
2014-07,34,NJ,2014,7,1,74.1
2014-08,34,NJ,2014,8,2,70.8
2014-09,34,NJ,2014,9,2,66.9
2014-10,34,NJ,2014,10,0,57.0
2014-11,34,NJ,2014,11,1,42.0
2014-12,34,NJ,2014,12,0,38.7
2015-01,34,NJ,2015,1,0,27.9
2015-02,34,NJ,2015,2,0,22.3
2015-03,34,NJ,2015,3,0,35.9
2015-04,34,NJ,2015,4,0,51.5
2015-05,34,NJ,2015,5,0,66.1
2015-06,34,NJ,2015,6,1,70.3
2015-07,34,NJ,2015,7,1,75.2
2015-08,34,NJ,2015,8,9,74.3
2015-09,34,NJ,2015,9,11,70.7
2015-10,34,NJ,2015,10,1,54.5
2015-11,34,NJ,2015,11,0,49.7
2015-12,34,NJ,2015,12,0,48.0
2016-01,34,NJ,2016,1,0,31.4
2016-02,34,NJ,2016,2,0,36.0
2016-03,34,NJ,2016,3,0,47.0
2016-04,34,NJ,2016,4,0,50.7
2016-05,34,NJ,2016,5,0,60.2
2016-06,34,NJ,2016,6,0,70.6
2016-07,34,NJ,2016,7,2,77.2
2016-08,34,NJ,2016,8,3,76.9
2016-09,34,NJ,2016,9,4,69.7
2016-10,34,NJ,2016,10,2,56.7
2016-11,34,NJ,2016,11,0,46.7
2016-12,34,NJ,2016,12,0,36.3
2017-01,34,NJ,2017,1,0,36.2
2017-02,34,NJ,2017,2,0,40.4
2017-03,34,NJ,2017,3,0,38.9
2017-04,34,NJ,2017,4,0,55.9
2017-05,34,NJ,2017,5,0,60.0
2017-06,34,NJ,2017,6,0,70.4
2017-07,34,NJ,2017,7,0,75.5
2017-08,34,NJ,2017,8,1,71.6
2017-09,34,NJ,2017,9,3,68.2
2017-10,34,NJ,2017,10,1,60.4
2017-11,34,NJ,2017,11,1,44.4
2017-12,34,NJ,2017,12,0,33.2
2018-01,34,NJ,2018,1,0,29.2
2018-02,34,NJ,2018,2,0,39.4
2018-03,34,NJ,2018,3,0,38.3
2018-04,34,NJ,2018,4,0,48.0
2018-05,34,NJ,2018,5,0,65.2
2018-06,34,NJ,2018,6,0,70.1
2018-07,34,NJ,2018,7,2,76.2
2018-08,34,NJ,2018,8,24,76.8
2018-09,34,NJ,2018,9,14,70.2
2018-10,34,NJ,2018,10,2,56.4
2018-11,34,NJ,2018,11,2,42.5
2018-12,34,NJ,2018,12,0,37.8
2019-01,34,NJ,2019,1,0,31.6
2019-02,34,NJ,2019,2,0,34.7
2019-03,34,NJ,2019,3,0,39.4
2019-04,34,NJ,2019,4,0,54.8
2019-05,34,NJ,2019,5,0,62.8
2019-06,34,NJ,2019,6,1,70.6
2019-07,34,NJ,2019,7,0,78.0
2019-08,34,NJ,2019,8,0,74.5
2019-09,34,NJ,2019,9,4,69.0
2019-10,34,NJ,2019,10,1,58.2
2019-11,34,NJ,2019,11,0,41.3
2019-12,34,NJ,2019,12,0,36.4
2020-01,34,NJ,2020,1,0,37.3
2020-02,34,NJ,2020,2,0,39.1
2020-03,34,NJ,2020,3,0,46.3
2020-04,34,NJ,2020,4,0,48.7
2020-05,34,NJ,2020,5,0,59.1
2020-06,34,NJ,2020,6,0,71.5
2020-07,34,NJ,2020,7,1,78.8
2020-08,34,NJ,2020,8,2,75.5
2020-09,34,NJ,2020,9,0,66.8
2020-10,34,NJ,2020,10,0,57.0
2020-11,34,NJ,2020,11,0,49.2
2020-12,34,NJ,2020,12,0,37.0
2021-01,34,NJ,2021,1,0,33.7
2021-02,34,NJ,2021,2,0,32.0
2021-03,34,NJ,2021,3,0,44.0
2021-04,34,NJ,2021,4,0,52.6
2021-05,34,NJ,2021,5,0,60.8
2021-06,34,NJ,2021,6,0,71.8
2021-07,34,NJ,2021,7,1,75.7
2021-08,34,NJ,2021,8,8,75.9
2021-09,34,NJ,2021,9,15,68.7
2021-10,34,NJ,2021,10,2,61.0
2021-11,34,NJ,2021,11,0,43.6
2021-12,34,NJ,2021,12,0,41.2
2022-01,34,NJ,2022,1,0,28.5
2022-02,34,NJ,2022,2,0,35.4
2022-03,34,NJ,2022,3,0,43.7
2022-04,34,NJ,2022,4,0,51.0
2022-05,34,NJ,2022,5,0,63.1
2022-06,34,NJ,2022,6,0,69.8
2022-07,34,NJ,2022,7,0,77.7
2022-08,34,NJ,2022,8,6,77.0
2022-09,34,NJ,2022,9,8,67.4
2022-10,34,NJ,2022,10,0,54.0
2022-11,34,NJ,2022,11,0,47.5
2022-12,34,NJ,2022,12,0,35.5
