,SARIMAX_allScaled,XGBoost_all_scaled,XGBoost_all_unscaled,XGBoost_weather,XGBoost_weather+temporal
AL,18.77287459389358,0.5957491131275653,0.5957491131275653,0.0348943537091399,0.03489435370913992
AR,18.34865479472138,0.582271263784747,0.6057087675100373,0.0357415824532471,0.03574158245324716
AZ,111.5237287583115,44.583971775589816,44.26133407325142,46.35155552213049,42.75783535558892
CA,201.9587479900183,5.434722404263137,5.459798343436636,0.4853897184438193,0.49747702293816304
CO,64.07693668452075,8.288858717019814,8.273485297940466,1.9950086349282063,1.9953421830171054
CT,3.5010734334547373,0.5453016281753463,0.5453016281753463,0.1159916608279264,0.11599166082792645
DC,0.0,0.0,0.0,0.0,0.0
DE,4.300940097618452,0.2298350513353911,0.2653816248352296,0.215588574074212,0.1972690523540013
FL,10.770330842612628,0.5098476479829244,0.451028201270192,0.0437934145051539,0.04379341450515394
GA,39.86744572471622,0.6283135645643848,0.6283135645643848,0.0381402429800302,0.03814024298003021
IA,76.60288705485372,0.7239359191105885,0.7023521806842211,0.0786695672509446,0.09812696696403966
ID,3.629723839293792,0.6920368946916243,0.6920368946916243,0.0229724097687089,0.022972409768708933
IL,38.04466174876243,2.596286352611436,2.6026112502869,0.2630898237002559,0.26621112153722093
IN,8.046592966733437,0.8996676421152179,0.9198807419326528,0.0295662072050323,0.02956620720503238
KS,33.315379742549986,0.7247329651192332,0.7239803149324645,0.0717442783693436,0.06917824862481049
KY,4.596666366219923,0.4168857397818008,0.4168857397818008,0.13344382825485,0.13344382825485
LA,38.53542482802044,2.1158793608438446,2.1158793608438446,0.0845344019220121,0.09794241504428879
MA,23.250790920322515,0.6755031985486727,0.6755031985486727,0.1710613541980404,0.17106135419804047
MD,8.536028640139111,0.5972388786999201,0.5972388786999201,0.0289061937671304,0.028909704702109018
ME,0.9508470638950204,0.0267557390683356,0.0957833966949307,0.0041204811296141,0.004120481129614123
MI,254.62213825451616,2.387959476682985,2.387959476682985,0.2198691560220217,0.0717523660566267
MN,14.959989755533298,1.7341889058447169,1.750937621201718,0.2000619332753513,0.19998973218231342
MO,9.9785274481479,0.7511108874508823,0.7511108874508823,0.0462225858442891,0.04622258584428912
MS,14.489325386725431,0.9588685182553444,0.9588685182553444,0.0750535391523482,0.07505353915234826
MT,6.090048774137021,0.3370694798619085,0.3370694798619085,0.0866694193131692,0.08666941931316922
NC,4.253522769614111,0.6118731163672266,0.603341250443891,0.1150118467350267,0.1150118467350267
ND,19.265385826320266,0.6152727285975702,0.6152727285975702,0.1620413607211815,0.16204136072118158
NE,20.98990370411317,3.428382058783703,3.428382058783703,0.2669726013698797,0.2740771571356675
NH,0.2500157143779897,0.0812627700898859,0.098084673421712,0.0048117510737477,0.004811751073747782
NJ,20.87714832962933,1.2458444322514028,1.246068973770046,0.1147697995308511,0.11332722274257745
NM,15.90452381466089,1.066300353315528,1.0669027620109894,0.1431250421740467,0.1435118513008651
NV,14.217092168627447,0.3635415623513824,0.3635415623513824,0.0716472256379359,0.07164722563793591
NY,44.77755294043038,2.312362811845085,2.312362811845085,0.1328693185101836,0.15591969648565873
OH,42.7802754663613,0.9138014679432592,1.0042943436562606,0.0180967413964823,0.018106456786840003
OK,18.952772908582304,1.159964577018233,1.159964577018233,0.046529337101144,0.05984383291623432
OR,1.8873096188860992,0.3844715120285742,0.3620683711657914,0.4006661436845851,0.38186003882586883
PA,61.85941097617424,1.832651972072628,1.8381242745094564,0.1230053716455529,0.12299815355908668
RI,3.1816104729127272,0.1232655173316624,0.1232655173316624,0.1775320698889939,0.17753206988899392
SC,3.769958591737947,0.6506841058348044,0.6131444131615932,0.7033574331833098,0.7430937359449094
SD,16.23140656199341,1.2401067247768651,1.2303614176653737,0.1258881167433484,0.12540432567141954
TN,16.9626569862561,0.3636598075484882,0.3636598075484882,0.0359375981627812,0.0359375981627812
TX,292.1393871058162,5.014708880805986,5.014708880805986,0.14713873860544,0.2444215144653004
UT,5.867972585465694,0.828781864076471,0.9354661229050316,0.6271149719803925,0.6271149719803925
VA,12.539472341299977,0.3567187038913935,0.3567187038913935,0.0855144016015331,0.08551440160153319
VT,2.198420870173724,0.2069473673230559,0.2069473673230559,0.0089122035666777,0.008912203566677771
WA,8.648060757961082,0.5993078529540444,0.5993078529540444,0.2654750813437995,0.2383917440368232
WI,51.54246701942508,0.6304253375616158,0.6245747741149351,0.0277776275613421,0.02685345211138473
WV,2.837564492202077,0.0514785689439116,0.0410736124423232,0.0869116308030249,0.0869116308030249
WY,3.800815095889912,0.3466264882806202,0.3466264882806202,0.0964052967977265,0.09640529679772651
