Date,Value
200001,45.8
200002,48.4
200003,50.5
200004,61.9
200005,71.2
200006,77.8
200007,81.5
200008,79.4
200009,74.9
200010,60.2
200011,43.8
200012,44.7
200101,40.3
200102,44.2
200103,51.8
200104,57.5
200105,70.8
200106,77.5
200107,79.8
200108,79.1
200109,75.6
200110,64.7
200111,52.9
200112,40.2
200201,42.3
200202,46.2
200203,49.8
200204,62.0
200205,67.0
200206,78.8
200207,82.3
200208,79.8
200209,73.6
200210,60.0
200211,51.3
200212,41.0
200301,48.8
200302,45.5
200303,50.6
200304,55.6
200305,68.3
200306,76.3
200307,83.8
200308,80.0
200309,74.8
200310,67.3
200311,48.8
200312,43.0
200401,42.8
200402,42.1
200403,58.1
200404,57.9
200405,68.4
200406,75.9
200407,80.1
200408,77.7
200409,71.8
200410,60.0
200411,47.3
200412,42.8
200501,45.1
200502,46.2
200503,49.9
200504,57.2
200505,67.9
200506,74.4
200507,82.7
200508,77.5
200509,73.4
200510,62.8
200511,52.6
200512,43.9
200601,44.1
200602,47.8
200603,48.3
200604,59.0
200605,70.0
200606,79.5
200607,82.3
200608,77.9
200609,69.8
200610,60.2
200611,52.8
200612,41.8
200701,39.0
200702,46.7
200703,54.5
200704,59.3
200705,68.4
200706,77.3
200707,82.0
200708,80.5
200709,73.8
200710,62.4
200711,55.3
200712,39.9
200801,39.8
200802,45.0
200803,51.8
200804,58.0
200805,63.6
200806,77.3
200807,80.4
200808,79.3
200809,73.6
200810,62.9
200811,53.3
200812,42.4
200901,45.2
200902,46.6
200903,52.5
200904,57.0
200905,70.8
200906,73.0
200907,82.8
200908,79.7
200909,74.1
200910,59.4
200911,52.9
200912,39.0
201001,42.2
201002,44.3
201003,49.2
201004,56.1
201005,63.1
201006,75.9
201007,81.8
201008,79.0
201009,75.4
201010,62.7
201011,48.3
201012,46.7
201101,41.5
201102,41.7
201103,53.3
201104,58.9
201105,63.2
201106,75.7
201107,80.8
201108,82.2
201109,74.6
201110,62.8
201111,49.4
201112,39.9
201201,45.3
201202,45.6
201203,51.6
201204,60.6
201205,69.3
201206,78.7
201207,80.0
201208,80.5
201209,73.7
201210,63.8
201211,53.8
201212,42.4
201301,38.6
201302,42.2
201303,54.8
201304,59.4
201305,67.4
201306,79.5
201307,81.0
201308,78.5
201309,72.4
201310,58.8
201311,51.3
201312,41.5
201401,46.5
201402,50.0
201403,53.9
201404,59.1
201405,66.8
201406,77.7
201407,81.4
201408,76.5
201409,74.2
201410,64.9
201411,51.7
201412,44.3
201501,45.1
201502,52.0
201503,56.3
201504,58.4
201505,62.9
201506,78.4
201507,78.6
201508,80.6
201509,75.0
201510,64.5
201511,48.3
201512,40.9
201601,41.8
201602,50.6
201603,54.9
201604,58.5
201605,64.6
201606,80.3
201607,82.4
201608,77.5
201609,71.6
201610,66.1
201611,53.1
201612,44.7
201701,42.3
201702,49.4
201703,56.6
201704,59.9
201705,66.1
201706,79.8
201707,81.5
201708,79.1
201709,72.4
201710,65.1
201711,57.6
201712,46.6
201801,47.6
201802,46.7
201803,52.3
201804,62.9
201805,68.5
201806,78.6
201807,82.3
201808,80.2
201809,76.0
201810,59.9
201811,49.4
201812,42.8
201901,42.4
201902,40.9
201903,51.7
201904,60.3
201905,60.7
201906,75.2
201907,81.9
201908,81.9
201909,73.8
201910,60.0
201911,52.1
201912,42.2
202001,43.7
202002,45.9
202003,51.0
202004,59.3
202005,70.5
202006,76.8
202007,82.8
202008,84.1
202009,75.6
202010,66.2
202011,53.5
202012,42.0
202101,42.6
202102,46.5
202103,49.4
202104,61.2
202105,67.9
202106,80.6
202107,81.5
202108,79.5
202109,74.8
202110,59.9
202111,55.8
202112,45.6
202201,43.6
202202,44.2
202203,51.8
202204,60.8
202205,68.6
202206,78.5
202207,82.0
202208,78.6
202209,75.5
202210,61.6
202211,46.0
202212,43.0
