Date,Value
200001,50.7
200002,57.0
200003,61.4
200004,66.1
200005,76.9
200006,78.6
200007,84.1
200008,84.2
200009,78.1
200010,67.2
200011,51.1
200012,42.4
200101,43.9
200102,51.9
200103,53.3
200104,67.8
200105,74.1
200106,80.9
200107,85.1
200108,82.8
200109,74.9
200110,65.4
200111,58.9
200112,49.4
200201,48.7
200202,47.1
200203,55.4
200204,69.1
200205,74.0
200206,80.6
200207,80.9
200208,82.8
200209,76.0
200210,64.9
200211,53.0
200212,47.8
200301,46.2
200302,48.3
200303,57.2
200304,66.6
200305,75.8
200306,78.5
200307,82.1
200308,82.9
200309,73.9
200310,67.4
200311,58.0
200312,49.1
200401,48.9
200402,47.4
200403,61.8
200404,64.3
200405,73.7
200406,78.7
200407,80.7
200408,79.2
200409,75.2
200410,69.7
200411,55.7
200412,47.6
200501,50.7
200502,51.9
200503,56.5
200504,64.3
200505,71.8
200506,80.5
200507,82.4
200508,81.3
200509,79.9
200510,66.4
200511,58.7
200512,47.2
200601,52.9
200602,50.2
200603,61.1
200604,70.7
200605,75.7
200606,80.8
200607,83.4
200608,83.6
200609,74.1
200610,66.8
200611,57.9
200612,48.2
200701,42.5
200702,49.4
200703,61.9
200704,61.7
200705,71.4
200706,77.9
200707,79.0
200708,81.8
200709,77.1
200710,68.6
200711,57.6
200712,49.2
200801,46.1
200802,53.2
200803,58.4
200804,65.3
200805,74.3
200806,82.9
200807,81.7
200808,80.8
200809,73.3
200810,65.4
200811,56.8
200812,48.2
200901,47.9
200902,55.5
200903,59.5
200904,64.8
200905,73.6
200906,81.7
200907,84.1
200908,83.3
200909,74.1
200910,64.2
200911,57.3
200912,43.1
201001,44.4
201002,44.0
201003,54.8
201004,65.0
201005,73.8
201006,82.7
201007,81.4
201008,84.4
201009,77.7
201010,67.2
201011,56.6
201012,49.2
201101,45.0
201102,48.7
201103,61.8
201104,70.3
201105,74.1
201106,85.2
201107,87.0
201108,88.2
201109,77.9
201110,66.9
201111,56.9
201112,46.1
201201,50.4
201202,51.8
201203,63.2
201204,70.2
201205,75.5
201206,82.4
201207,83.4
201208,83.7
201209,76.6
201210,65.9
201211,59.0
201212,51.1
201301,47.9
201302,51.7
201303,57.2
201304,63.0
201305,72.5
201306,81.8
201307,81.3
201308,83.3
201309,78.2
201310,66.7
201311,52.9
201312,44.8
201401,44.5
201402,48.4
201403,54.8
201404,65.4
201405,72.0
201406,80.6
201407,81.7
201408,82.6
201409,76.4
201410,69.6
201411,51.5
201412,50.7
201501,44.0
201502,48.2
201503,56.2
201504,66.6
201505,71.6
201506,79.3
201507,83.2
201508,83.3
201509,79.2
201510,69.2
201511,57.3
201512,51.5
201601,46.4
201602,54.4
201603,61.2
201604,66.1
201605,71.6
201606,80.1
201607,85.4
201608,81.5
201609,77.6
201610,70.9
201611,61.0
201612,49.6
201701,50.8
201702,58.4
201703,63.6
201704,67.1
201705,72.0
201706,80.6
201707,83.6
201708,80.6
201709,76.5
201710,66.5
201711,60.3
201712,47.8
201801,43.8
201802,52.3
201803,61.7
201804,63.0
201805,78.0
201806,83.9
201807,84.5
201808,83.0
201809,76.2
201810,65.4
201811,51.9
201812,48.3
201901,47.2
201902,51.9
201903,55.7
201904,65.0
201905,72.5
201906,79.1
201907,82.8
201908,85.9
201909,81.5
201910,65.2
201911,53.2
201912,50.7
202001,50.7
202002,49.4
202003,63.2
202004,65.1
202005,74.6
202006,80.7
202007,85.2
202008,84.4
202009,74.1
202010,65.9
202011,60.6
202012,48.5
202101,47.3
202102,44.0
202103,59.4
202104,63.7
202105,71.9
202106,80.3
202107,80.9
202108,81.9
202109,78.2
202110,69.8
202111,57.3
202112,59.1
202201,45.8
202202,45.8
202203,57.1
202204,68.8
202205,78.0
202206,83.8
202207,87.2
202208,83.3
202209,77.8
202210,66.4
202211,53.9
202212,50.0
