year,month,tavg,tmax,tmin,pcp,zndx
2000,1,33.3,42.8,23.8,3.33,0.0
2000,2,39.2,49.6,28.9,2.12,-1.43
2000,3,48.7,59.9,37.6,7.01,2.75
2000,4,52.4,62.2,42.6,3.83,0.43
2000,5,64.7,75.3,54.0,3.36,-0.75
2000,6,73.0,83.0,63.0,4.91,1.36
2000,7,72.8,82.0,63.7,6.03,2.36
2000,8,73.1,82.0,64.2,4.55,0.67
2000,9,66.2,76.1,56.3,5.48,2.55
2000,10,57.6,69.7,45.6,0.31,-2.54
2000,11,44.6,54.8,34.4,2.45,-0.66
2000,12,31.3,40.2,22.3,2.81,0.0
2001,1,33.1,41.4,24.7,3.06,-0.3
2001,2,38.6,48.3,28.9,2.94,-0.3
2001,3,41.2,50.7,31.7,5.61,2.01
2001,4,53.9,65.6,42.3,1.84,-2.13
2001,5,63.2,74.2,52.3,3.8,-0.12
2001,6,73.5,83.4,63.6,5.1,1.56
2001,7,72.9,83.2,62.5,4.96,1.39
2001,8,76.7,86.3,66.9,6.27,1.76
2001,9,66.5,77.3,55.6,2.1,-0.87
2001,10,57.6,70.0,45.2,0.94,-2.24
2001,11,51.5,63.8,39.1,0.57,-3.56
2001,12,44.4,53.8,34.9,2.03,-2.71
2002,1,40.0,48.7,31.4,2.5,-1.86
2002,2,40.9,52.3,29.6,0.69,-3.43
2002,3,46.4,56.9,35.9,4.77,0.57
2002,4,57.1,68.4,45.8,4.04,0.0
2002,5,62.7,74.3,51.0,3.2,-0.64
2002,6,73.0,83.9,62.0,2.92,-0.88
2002,7,78.0,89.4,66.7,2.41,-2.23
2002,8,78.0,88.8,67.1,2.88,-2.4
2002,9,70.1,80.6,59.6,6.14,1.71
2002,10,57.9,66.3,49.4,7.33,4.4
2002,11,45.8,54.7,36.8,5.5,3.12
2002,12,36.0,44.7,27.3,4.09,1.23
2003,1,29.6,37.4,21.9,1.59,-1.92
2003,2,32.1,40.1,24.1,6.25,4.4
2003,3,45.1,56.0,34.2,4.13,0.01
2003,4,52.0,62.2,41.8,3.46,0.05
2003,5,59.0,67.8,50.1,4.79,1.43
2003,6,70.0,79.2,60.7,6.4,3.51
2003,7,76.3,85.6,67.0,5.35,1.43
2003,8,76.5,85.6,67.4,5.17,0.84
2003,9,69.3,78.6,60.1,5.84,2.55
2003,10,55.8,66.7,44.8,3.94,1.71
2003,11,51.5,61.7,41.2,5.07,2.14
2003,12,37.8,46.8,28.9,5.83,3.01
2004,1,28.8,36.9,20.8,2.31,-1.11
2004,2,36.1,45.4,26.8,2.21,-1.08
2004,3,46.1,55.7,36.6,2.7,-1.65
2004,4,54.7,65.0,44.4,5.5,2.07
2004,5,69.6,80.0,59.2,3.15,-1.64
2004,6,71.3,81.2,61.4,3.43,-0.31
2004,7,76.1,85.3,67.0,5.85,1.26
2004,8,74.0,82.9,65.0,6.51,1.74
2004,9,69.4,78.9,59.9,3.78,0.28
2004,10,56.2,65.5,46.8,1.91,-1.02
2004,11,48.6,58.3,39.0,4.58,1.25
2004,12,39.0,48.7,29.4,2.78,-0.36
2005,1,34.3,42.8,25.8,4.39,1.15
2005,2,36.7,45.8,27.6,2.12,-1.23
2005,3,40.1,48.9,31.4,4.11,0.47
2005,4,54.3,66.1,42.6,3.88,0.22
2005,5,58.4,69.4,47.4,4.61,1.32
2005,6,72.7,82.3,63.1,4.31,0.78
2005,7,77.9,87.1,68.6,5.13,0.89
2005,8,77.9,87.4,68.4,2.49,-1.93
2005,9,71.9,83.7,60.2,0.59,-3.93
2005,10,58.8,67.7,49.9,8.06,4.51
2005,11,50.1,61.0,39.1,3.47,0.57
2005,12,35.6,44.2,27.1,3.71,0.84
2006,1,42.1,51.6,32.6,3.91,0.1
2006,2,37.1,46.7,27.5,1.53,-2.03
2006,3,44.6,55.6,33.7,0.29,-4.12
2006,4,56.3,68.3,44.3,3.16,-1.41
2006,5,63.0,74.6,51.3,1.84,-2.05
2006,6,72.1,81.4,62.7,9.64,6.55
