,state,withArbovirus
0,AL,2.6493794918060303
1,AR,0.31342033483088017
2,AZ,5.781671221234968
3,CA,6.903725747551237
4,CO,11.58528073344912
5,CT,1.0678256840661302
6,DE,0.14773879966898157
7,FL,4.728277742596609
8,GA,1.7276142812999231
9,IA,0.8756210579802948
10,ID,0.8519502556217569
11,IL,2.5926783989582742
12,IN,0.9170674801404987
13,KS,0.39163273067346643
14,KY,0.3923204384295137
15,LA,4.119379519351891
16,MA,0.4526449407983039
17,MD,0.09145261789672077
18,ME,0.0017369839437638543
19,MI,2.1105217380183086
20,MN,1.7133838959437395
21,MO,1.0034106803026848
22,MS,1.0607898865959473
23,MT,1.0784255009410637
24,NC,1.4932445145677775
25,ND,3.1956893349332467
26,NE,2.196239092520305
27,NH,0.0025749240719181088
28,NJ,1.4910588679569108
29,NM,0.7345411548657077
30,NV,0.535219177370891
31,NY,3.723720875435642
32,OH,1.2735697007072824
33,OK,1.6683983016493065
34,OR,0.669820900673845
35,PA,1.404086355435928
36,RI,0.14582622696512512
37,SC,1.1289978262835316
38,SD,2.181161554663309
39,TN,0.2502011519723705
40,TX,11.405921016420637
41,UT,0.28047757036983967
42,VA,0.8226369163021445
43,VT,0.14361255669168063
44,WA,0.532659182358267
45,WI,2.0870812775766745
46,WV,0.003357394382224551
47,WY,0.32929195117737564
