,state,baselineThirdPredTest
0,AL,0.302675408810111
1,AR,0.5755290023849479
2,AZ,13.083018460444041
3,CA,7.340202825410025
4,CO,14.398898111922401
5,CT,0.9671459402223783
6,DE,0.14969552905365294
7,FL,0.7726928715461067
8,GA,1.1671923461503215
9,IA,1.4235985092818737
10,ID,0.570634951548917
11,IL,2.2489717288741042
12,IN,0.8890578909111875
13,KS,3.02194395834314
14,KY,0.6332116978509086
15,LA,3.6820935532450676
16,MA,0.6408094965985843
17,MD,0.18984409301940883
18,ME,0.0025931346878808525
19,MI,4.492786431651829
20,MN,3.746075273358396
21,MO,0.974079854786396
22,MS,2.318342280441097
23,MT,0.8072566397022456
24,NC,0.9210976216210318
25,ND,3.454905305057764
26,NE,7.16301102590348
27,NH,0.0007354450478617634
28,NJ,1.3736424247202064
29,NM,1.924834111522484
30,NV,1.0840537419675715
31,NY,5.099495963592615
32,OH,0.9612203474555697
33,OK,1.433345494525773
34,OR,0.6870350419942822
35,PA,2.7759252493934974
36,RI,0.20641504969846988
37,SC,1.3030112614589078
38,SD,2.4431543009621755
39,TN,0.12985223145889385
40,TX,10.60430628487042
41,UT,0.6079698358246658
42,VA,2.5906121799988404
43,VT,0.000905728483173464
44,WA,0.809975277832044
45,WI,0.15533654178891862
46,WV,0.0038250399188005497
47,WY,0.2729029557002442
