,state,withArbovirusLocalized
0,AL,0.5074869326448866
1,AR,0.575880587633167
2,AZ,9.071277328899928
3,CA,5.600771835872105
4,CO,12.819700307079724
5,CT,1.1251995198960816
6,DE,0.15264158453127102
7,FL,0.6150973048061132
8,GA,1.700464880858947
9,IA,0.48773524750556263
10,ID,1.1478185812343977
11,IL,1.3106760318790163
12,IN,0.6129243654265467
13,KS,2.027475520702345
14,KY,0.2767145509299423
15,LA,4.798258832522801
16,MA,0.7459846081079117
17,MD,0.49712979128318174
18,ME,0.0008122233723822449
19,MI,3.5969860596316203
20,MN,1.3336335900904877
21,MO,1.1557333155402116
22,MS,4.517940867160048
23,MT,0.37111867578434093
24,NC,1.5629380391578056
25,ND,0.7078098910029179
26,NE,3.293996123330934
27,NH,0.0004466594650044239
28,NJ,1.909356332517096
29,NM,0.8103720386113439
30,NV,1.6686511435504403
31,NY,5.421103416975321
32,OH,0.644930683608566
33,OK,0.659880546320762
34,OR,0.20917264812825515
35,PA,1.3728682567099375
36,RI,0.14508054496088466
37,SC,1.2626763903868519
38,SD,2.6842445709875653
39,TN,0.17128990504092403
40,TX,28.452783261026656
41,UT,0.31256087510181324
42,VA,0.7145364009109991
43,VT,0.0006860430013538073
44,WA,0.2544607204960942
45,WI,0.0835107888228127
46,WV,0.0021103816356376876
47,WY,0.30792202800512314
