,state,withArbovirusLocalizedMinMax
0,AL,0.8167076910114182
1,AR,0.7382328190973827
2,AZ,4.5109104471547266
3,CA,6.415542038423674
4,CO,9.30228328704834
5,CT,0.8991337377977159
6,DE,0.15798134044078843
7,FL,0.8031866747353759
8,GA,1.4008583546217
9,IA,1.0601651894726924
10,ID,0.28054009856922285
11,IL,2.7362496374906704
12,IN,0.6221573001572064
13,KS,1.5348156629396337
14,KY,0.6045165234577975
15,LA,4.675634761473963
16,MA,1.0057993888123227
17,MD,0.3063305360265076
18,ME,0.000824964395308468
19,MI,3.252024416412626
20,MN,0.8731893730748977
21,MO,1.430715389017548
22,MS,2.044808895460197
23,MT,0.3746247488473143
24,NC,1.358803272413622
25,ND,0.9052032349365098
26,NE,3.144372532410281
27,NH,0.015050610652126904
28,NJ,1.8462906370737724
29,NM,0.6199303632602096
30,NV,0.24330069018261774
31,NY,5.4627747506435425
32,OH,1.4251218366303615
33,OK,0.3684673257770815
34,OR,0.1490038878899733
35,PA,2.407533107707942
36,RI,0.14805426568325078
37,SC,1.1403842837815839
38,SD,3.68143501664911
39,TN,0.3110630585412894
40,TX,8.809950956276484
41,UT,0.3809792950549828
42,VA,0.8241103742537754
43,VT,0.001167836741452837
44,WA,0.2515851259855221
45,WI,5.970695093939347
46,WV,0.0052215765380034486
47,WY,0.26926516694948077
