,fips,state,year,month,count
2000-01,1,AL,2000,1,0
2000-02,1,AL,2000,2,0
2000-03,1,AL,2000,3,0
2000-04,1,AL,2000,4,0
2000-05,1,AL,2000,5,0
2000-06,1,AL,2000,6,0
2000-07,1,AL,2000,7,0
2000-08,1,AL,2000,8,0
2000-09,1,AL,2000,9,0
2000-10,1,AL,2000,10,0
2000-11,1,AL,2000,11,0
2000-12,1,AL,2000,12,0
2001-01,1,AL,2001,1,0
2001-02,1,AL,2001,2,0
2001-03,1,AL,2001,3,0
2001-04,1,AL,2001,4,0
2001-05,1,AL,2001,5,0
2001-06,1,AL,2001,6,0
2001-07,1,AL,2001,7,0
2001-08,1,AL,2001,8,1
2001-09,1,AL,2001,9,1
2001-10,1,AL,2001,10,0
2001-11,1,AL,2001,11,0
2001-12,1,AL,2001,12,0
2002-01,1,AL,2002,1,0
2002-02,1,AL,2002,2,0
2002-03,1,AL,2002,3,0
2002-04,1,AL,2002,4,0
2002-05,1,AL,2002,5,0
2002-06,1,AL,2002,6,0
2002-07,1,AL,2002,7,4
2002-08,1,AL,2002,8,15
2002-09,1,AL,2002,9,13
2002-10,1,AL,2002,10,2
2002-11,1,AL,2002,11,0
2002-12,1,AL,2002,12,0
2003-01,1,AL,2003,1,0
2003-02,1,AL,2003,2,0
2003-03,1,AL,2003,3,0
2003-04,1,AL,2003,4,0
2003-05,1,AL,2003,5,0
2003-06,1,AL,2003,6,2
2003-07,1,AL,2003,7,4
2003-08,1,AL,2003,8,9
2003-09,1,AL,2003,9,8
2003-10,1,AL,2003,10,2
2003-11,1,AL,2003,11,0
2003-12,1,AL,2003,12,0
2004-01,1,AL,2004,1,0
2004-02,1,AL,2004,2,0
2004-03,1,AL,2004,3,0
2004-04,1,AL,2004,4,0
2004-05,1,AL,2004,5,0
2004-06,1,AL,2004,6,2
2004-07,1,AL,2004,7,6
2004-08,1,AL,2004,8,7
2004-09,1,AL,2004,9,0
2004-10,1,AL,2004,10,0
2004-11,1,AL,2004,11,0
2004-12,1,AL,2004,12,0
2005-01,1,AL,2005,1,0
2005-02,1,AL,2005,2,0
2005-03,1,AL,2005,3,0
2005-04,1,AL,2005,4,0
2005-05,1,AL,2005,5,0
2005-06,1,AL,2005,6,0
2005-07,1,AL,2005,7,1
2005-08,1,AL,2005,8,2
2005-09,1,AL,2005,9,3
2005-10,1,AL,2005,10,0
2005-11,1,AL,2005,11,0
2005-12,1,AL,2005,12,0
2006-01,1,AL,2006,1,0
2006-02,1,AL,2006,2,0
2006-03,1,AL,2006,3,0
2006-04,1,AL,2006,4,0
2006-05,1,AL,2006,5,0
2006-06,1,AL,2006,6,0
