,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos,count
2010-01,-1.8057665911800618,-1.794965115908425,-1.7970819609506987,0.7284084626362378,0.7116775028434862,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,0.6812594871986655,1.2107528277522954,0.0
2010-02,-1.7643236612954603,-1.711437145629141,-1.7970819609506987,-0.24281045949955166,-0.23710322124637917,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,1.1855080170264962,0.7133708190395334,0.0
2010-03,-1.0067373657442256,-0.9957479506707854,-1.0197350697449021,0.18913460121954986,-0.3625769276427349,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,1.3687636129463088,0.015778040288952595,0.0
2010-04,-0.013959682019175393,-0.23084879882738915,0.21038678530352273,-1.0171906275953584,-1.1379931364939495,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,1.1855080170264976,-0.7053820354007986,0.0
2010-05,0.7210866522731367,0.7376718890479934,0.6982945802615983,0.7010931725973228,0.8330181927911927,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,0.6812594871986655,-1.2502707088908618,0.0
2010-06,1.3594539904163259,1.3396907531361686,1.3617084142113436,-0.7647889565015179,-0.8087969475648011,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,-0.016654033921809603,-1.453675654900248,1.0
2010-07,1.505238131661986,1.478871513770558,1.512929765500921,-0.6306974959487553,-1.747088983646007,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,1.0375994498830214,-0.6085933907019931,-0.6005573388720682,-0.08191567251011087,0.4288909070350106,0.012715250218402988,-0.7262037136073767,-1.2502707088908604,0.0
2010-08,1.5396976703171796,1.5330224304946825,1.522450750947823,0.06988649263331415,-0.4233392339320583,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,1.0568777230826807,-0.6005573388720682,-0.08191567251011087,-0.4094673277698494,0.42925357764495975,-1.2538736295058936,-0.7053820354007986,0.0
2010-09,1.0207306503420506,0.799333647524836,1.268259305702731,-1.7585001552876447,-1.8933403347980342,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,1.075799750834975,-0.08191567251011087,0.012352227139569726,-0.4091147903464725,-1.4489158007263132,0.015778040288952595,0.0
2010-10,-0.006059004069123866,-0.33048112764519777,0.33623553716477883,-1.1526311911205616,-0.3444767847157876,1.433170428877786,-1.842238288427098,-1.2363612095588519,-1.5584674593789183,1.3087317280162167,-2.0200371467460205,-2.056269717395937,-1.5211809899457938,-1.754447037397264,-1.7633324673797468,-1.7462746999561116,-1.7964421377427822,-1.7080282602377057,0.8552006854082695,-1.630365738347306,-0.36174417721443974,-1.8214612533765326,-0.5688945642700936,-0.6170418353356897,-0.6085933907019931,-0.6005573388720682,-0.817132246620743,0.012352227139569726,0.012715250218402988,-1.2538736295058936,0.7133708190395334,0.0
