,state,withNational
0,AL,0.7321710012232264
1,AR,0.4047275635724266
2,AZ,2.867006359001001
3,CA,9.024589722355207
4,CO,12.494851479927698
5,CT,1.0538531109923497
6,DE,0.1756401909175717
7,FL,2.7663190315167108
8,GA,1.2412810558453202
9,IA,1.826491032416622
10,ID,1.189372689773639
11,IL,16.97374132523934
12,IN,3.2964553435643515
13,KS,3.7239855939988047
14,KY,0.5986632285251593
15,LA,4.140853716681401
16,MA,5.70860774879111
17,MD,4.067079389778276
18,ME,0.0006820466005592607
19,MI,4.299003638327122
20,MN,1.904809095140081
21,MO,1.734467734893163
22,MS,2.336939960718155
23,MT,1.6448132569591205
24,NC,1.1971881533390842
25,ND,11.263279808685184
26,NE,10.135524007181326
27,NH,0.0019616146601038054
28,NJ,1.6324820605417092
29,NM,0.8823459837585688
30,NV,1.1043118951686968
31,NY,3.5666932811339698
32,OH,3.2876770459115505
33,OK,4.002304382622242
34,OR,0.17577006528154016
35,PA,1.8491234229877591
36,RI,0.17115931722946698
37,SC,1.3082194793969393
38,SD,2.4933708581763008
39,TN,0.40967350437616307
40,TX,10.141800274451574
41,UT,1.0341777423551928
42,VA,7.091505789935279
43,VT,0.32322961039608344
44,WA,0.8089261168303589
45,WI,7.423795371393983
46,WV,0.0032948718677895763
47,WY,0.33140769399081665
