,state,withNational
0,AL,1.4330056210358937
1,AR,0.6748767172296842
2,AZ,2.3362017770608268
3,CA,10.23020800948143
4,CO,12.553560773531595
5,CT,1.3032743002598484
6,DE,0.17225904884010865
7,FL,3.641449677447478
8,GA,1.6354651300547023
9,IA,3.3878649647037187
10,ID,2.4268868068854013
11,IL,13.007313169538975
12,IN,2.2929811513361833
13,KS,4.185062729443113
14,KY,0.6568492103833705
15,LA,2.7946142808844647
16,MA,4.305623452800016
17,MD,3.4595993743278086
18,ME,0.0016918311788079639
19,MI,3.9033589381724596
20,MN,1.6904879249632359
21,MO,1.0347922848692785
22,MS,2.5057586456338563
23,MT,2.254290080629289
24,NC,1.2965307640843093
25,ND,9.874147271116575
26,NE,7.5861281520143775
27,NH,0.0009825883607845753
28,NJ,4.493434356234502
29,NM,1.0742646572180092
30,NV,1.144465332229932
31,NY,4.486090110459675
32,OH,3.4505485484066107
33,OK,2.4610086237080395
34,OR,0.1568300738775482
35,PA,5.735834747552872
36,RI,0.17560791768482886
37,SC,1.4039359812935193
38,SD,1.976687394703428
39,TN,0.36431096377782524
40,TX,15.818268696467081
41,UT,1.070889777969569
42,VA,7.176755293582876
43,VT,0.006048482139400828
44,WA,0.5728853472974151
45,WI,6.784576601348817
46,WV,0.0021200685490233204
47,WY,0.2585973663566013
