,state,withNationalandWiki
0,AL,0.626104990641276
1,AR,1.8419789373874664
2,AZ,7.8744543592135114
3,CA,18.771680153906345
4,CO,9.807114643355211
5,CT,1.124698715750128
6,DE,0.18565344981228313
7,FL,1.0021862474580605
8,GA,1.7119076993937294
9,IA,1.0054034078493714
10,ID,4.082002365340789
11,IL,9.444855496287346
12,IN,1.4500191535723086
13,KS,2.08976088433216
14,KY,0.4251851943942408
15,LA,4.494090902774285
16,MA,0.5550408150690297
17,MD,0.2718936499829094
18,ME,0.0003176356840413064
19,MI,7.363558267553647
20,MN,3.0219504424215606
21,MO,1.1159301064908504
22,MS,0.8242916464805603
23,MT,0.8353197605659565
24,NC,1.263236994544665
25,ND,5.85323087622722
26,NE,8.730160636206469
27,NH,0.000900414752929161
28,NJ,1.598502190162738
29,NM,2.3387369625270367
30,NV,0.1617332948371768
31,NY,6.254250563681126
32,OH,1.692646561190486
33,OK,3.8203812216718993
34,OR,0.45133900564784807
35,PA,3.1162473577229926
36,RI,0.1671478237961613
37,SC,1.1540427369376023
38,SD,1.8007510273406904
39,TN,1.7967589213512838
40,TX,8.307742389539877
41,UT,4.5732179787009954
42,VA,0.6857893858104944
43,VT,0.0014937926510659356
44,WA,0.49060388712678105
45,WI,1.271661199008425
46,WV,0.0017861156156868674
47,WY,0.23279992677271366
