,state,baseline
0,AL,0.9114374856775006
1,AR,0.1854402905640503
2,AZ,4.897854149341583
3,CA,5.451725160082181
4,CO,14.438199748595556
5,CT,0.4955637031234801
6,DE,0.4015395021997392
7,FL,0.9384699401756128
8,GA,1.595017145795282
9,IA,2.6820972760518393
10,ID,1.2891634243230026
11,IL,4.71774909645319
12,IN,1.6862451328585546
13,KS,0.3209874949728449
14,KY,0.6944810248290499
15,LA,4.399317515393098
16,MA,1.109003415913321
17,MD,0.2760806701456507
18,ME,0.001129688578657806
19,MI,3.2765315101811816
20,MN,0.8794989032515635
21,MO,1.1397095726182063
22,MS,0.4251102215300004
23,MT,1.3954609303424756
24,NC,1.5283036455512047
25,ND,0.3504610595603784
26,NE,2.09296353161335
27,NH,0.0016573854663874954
28,NJ,2.244538656435907
29,NM,3.0884846846262612
30,NV,0.5845171473920345
31,NY,7.648027303318183
32,OH,4.336905891696612
33,OK,1.7424858988573153
34,OR,0.14040664352554208
35,PA,2.057038630048434
36,RI,0.1694540928826124
37,SC,1.0716023526232068
38,SD,2.1474736345311007
39,TN,0.16050358628854156
40,TX,7.327511062224706
41,UT,1.1179407578893006
42,VA,0.9369186886275808
43,VT,0.17044245368257785
44,WA,0.829403200186789
45,WI,0.43351167005797225
46,WV,0.017820864770328626
47,WY,0.3559606863030543
