,state,withNationalandWikiandLogistic
0,AL,0.4766716758410136
1,AR,0.6467798464000225
2,AZ,10.207706987857819
3,CA,2.530198266108831
4,CO,7.805326785892248
5,CT,1.693018704963227
6,DE,0.17117927504781014
7,FL,0.8474514183277885
8,GA,1.6720394579072793
9,IA,0.33022714235509437
10,ID,2.856845393156012
11,IL,6.032009447614352
12,IN,1.015650224716713
13,KS,1.9475801206814747
14,KY,0.40406440757215023
15,LA,1.69992300371329
16,MA,0.6315206913277507
17,MD,0.3571547179793318
18,ME,0.0012997133114064734
19,MI,8.052596012440821
20,MN,3.1111541440089545
21,MO,1.4028732491036255
22,MS,1.024902871499459
23,MT,0.6643485142849386
24,NC,1.461979452598219
25,ND,4.816297261665265
26,NE,6.7538033338884516
27,NH,0.0014818332711001858
28,NJ,1.6401130026206374
29,NM,4.845476287106673
30,NV,0.08958591778840248
31,NY,1.0596733602384727
32,OH,1.467378232628107
33,OK,0.5023400411009789
34,OR,0.5517373597249389
35,PA,1.223265130693714
36,RI,0.17105618562103095
37,SC,1.2061828797062237
38,SD,3.7404621398697295
39,TN,1.192402822644605
40,TX,3.0355617192884288
41,UT,5.71376872745653
42,VA,0.7254853108121703
43,VT,0.16853983983552703
44,WA,0.5228185107310613
45,WI,1.6289461366832256
46,WV,0.005017850742054482
47,WY,0.17403771456641456
