,state,withNationalandWiki
0,AL,0.40108631815140444
1,AR,0.7459810013727596
2,AZ,4.905716220537822
3,CA,28.28940611084302
4,CO,12.074136709794402
5,CT,1.2621139128071566
6,DE,0.7684146343623676
7,FL,0.9097421790162722
8,GA,1.5012171566486359
9,IA,0.7615872441480557
10,ID,3.1123260793586573
11,IL,9.65964874252677
12,IN,1.6732996290860076
13,KS,1.7502168724313378
14,KY,0.8001843089393029
15,LA,3.58171987781922
16,MA,0.5730345020225892
17,MD,0.26317478778461617
18,ME,0.0010784509941004217
19,MI,8.478987395763397
20,MN,2.7344944942742586
21,MO,0.8343887279431025
22,MS,0.6315047411868969
23,MT,2.8084608953989423
24,NC,1.0801224287424702
25,ND,4.367593456059694
26,NE,7.143451638519764
27,NH,0.0021184115515400967
28,NJ,2.4097123394409814
29,NM,4.305978102260269
30,NV,0.11032883341734608
31,NY,4.114105196048816
32,OH,1.7187914550304413
33,OK,6.317443365852038
34,OR,0.44270801363745704
35,PA,2.2639752998948097
36,RI,0.16854279822049043
37,SC,0.9878081834564606
38,SD,1.9715092790623505
39,TN,1.7583402756912012
40,TX,6.178476448481281
41,UT,3.9219579768832773
42,VA,0.7695698429597542
43,VT,0.0020505773730595442
44,WA,0.8277234502408343
45,WI,5.247416667640209
46,WV,0.006521761106948058
47,WY,0.22488090442493558
