"DateTime","Avian influenza[en]","Centers for Disease Control and Prevention[en]","Common cold[en]","Fever[en]","Influenza[en]","Main Page[en]","Pandemic[en]","West Nile virus[en]"
"2008-01-01 00:00:00",329,258,1734,1612,1774,2224728,781,178
"2008-01-02 00:00:00",508,463,2836,2391,2724,2118758,1334,301
"2008-01-03 00:00:00",578,482,3669,2434,3257,2195617,1325,331
"2008-01-04 00:00:00",581,467,3429,2386,3142,1899615,1387,401
"2008-01-05 00:00:00",502,387,2559,2067,2566,2332779,1119,235
"2008-01-06 00:00:00",537,425,2554,2087,2598,1586866,1333,268
"2008-01-07 00:00:00",795,471,3627,2630,3591,2169030,1914,469
"2008-01-08 00:00:00",752,589,3555,2711,3727,2114978,1804,526
"2008-01-09 00:00:00",750,598,2940,2624,3912,2066938,1583,571
"2008-01-10 00:00:00",803,552,3061,2516,3792,2620835,1684,569
"2008-01-11 00:00:00",670,547,2659,2279,3371,3051510,1507,518
"2008-01-12 00:00:00",516,337,1931,1940,2196,2683828,984,274
"2008-01-13 00:00:00",525,443,2297,2122,2593,2608384,1255,374
"2008-01-14 00:00:00",746,571,3035,2612,3560,3368580,1469,571
"2008-01-15 00:00:00",910,617,2960,2503,3724,2607089,1636,580
"2008-01-16 00:00:00",967,626,2848,2492,3911,1729664,1456,615
"2008-01-17 00:00:00",952,712,2952,2472,3690,2097049,1610,580
"2008-01-18 00:00:00",826,668,2513,2194,3142,2102055,1409,567
"2008-01-19 00:00:00",507,421,1924,1892,2064,1462188,983,273
"2008-01-20 00:00:00",625,420,2063,1979,2433,2787545,1006,292
"2008-01-21 00:00:00",893,535,2937,2572,3099,2433545,1547,375
"2008-01-22 00:00:00",1125,691,2970,2888,3805,3614810,1771,659
"2008-01-23 00:00:00",1159,675,3049,2748,3989,2078279,1641,568
"2008-01-24 00:00:00",1062,621,2892,2529,3811,735321,1457,499
"2008-01-25 00:00:00",975,601,2769,2507,3556,1854115,1370,503
"2008-01-26 00:00:00",612,445,2249,2120,2543,1854135,895,247
"2008-01-27 00:00:00",682,417,2273,2236,2792,2015968,1255,335
"2008-01-28 00:00:00",1149,645,3173,3252,4359,2267276,1572,556
"2008-01-29 00:00:00",1055,704,3371,3108,4681,1721594,1726,555
"2008-01-30 00:00:00",1078,623,3102,3267,4921,2754398,1599,604
"2008-01-31 00:00:00",1049,660,3156,2977,4713,2960513,1538,553
"2008-02-01 00:00:00",1028,600,2817,2647,4284,1874453,1456,502
"2008-02-02 00:00:00",673,421,2236,2224,3028,1645539,917,279
"2008-02-03 00:00:00",823,421,2453,2616,3444,2014695,1180,310
"2008-02-04 00:00:00",1020,573,3313,3383,5203,3236932,1542,514
"2008-02-05 00:00:00",1082,692,3451,3628,5600,4241889,1633,596
"2008-02-06 00:00:00",1157,588,3171,3662,5995,3016094,1642,576
"2008-02-07 00:00:00",971,596,3479,3337,6056,2627321,1603,605
"2008-02-08 00:00:00",1235,583,2929,3017,5177,3987664,1602,540
"2008-02-09 00:00:00",701,482,2333,2458,3438,2205939,1064,282
"2008-02-10 00:00:00",696,488,2421,2775,3424,3133358,1252,369
"2008-02-11 00:00:00",1073,699,3683,3780,5259,2517073,1764,602
"2008-02-12 00:00:00",1116,730,3601,3662,5593,3036660,1795,609
"2008-02-13 00:00:00",1130,684,3462,3537,5430,3080587,1888,621
"2008-02-14 00:00:00",1068,610,3033,2982,5195,3580319,1588,524
"2008-02-15 00:00:00",773,508,2869,2932,4739,3304553,1387,527
"2008-02-16 00:00:00",574,441,2345,2439,4065,2199626,1068,268
"2008-02-17 00:00:00",651,425,2534,2637,3836,2747890,1188,284
"2008-02-18 00:00:00",940,675,3330,3417,5512,3031114,1732,539
"2008-02-19 00:00:00",994,645,3648,3685,6154,2803962,1695,578
"2008-02-20 00:00:00",914,680,3443,3580,6228,3619700,1832,772
"2008-02-21 00:00:00",823,754,3566,3356,6587,3581639,1771,714
"2008-02-22 00:00:00",772,616,2991,2865,5640,2699855,1557,529
"2008-02-23 00:00:00",483,462,2316,2375,4219,2402324,1138,286
"2008-02-24 00:00:00",669,469,2397,2602,4358,2600090,1266,280
"2008-02-25 00:00:00",884,696,3268,3614,6040,3791015,1720,604
"2008-02-26 00:00:00",917,670,3321,3403,6223,4662109,2006,697
"2008-02-27 00:00:00",921,634,3153,3346,5903,3789087,1884,719
"2008-02-28 00:00:00",862,686,3322,3113,6179,2839750,1838,701
"2008-02-29 00:00:00",711,612,2750,2823,5000,3380404,1363,604
"2008-03-01 00:00:00",479,500,2101,2316,3227,3175703,975,252
"2008-03-02 00:00:00",626,508,2294,2459,3623,2885565,1104,372
"2008-03-03 00:00:00",569,410,1830,2128,3254,1899859,963,393
"2008-03-04 00:00:00",299,281,1293,1205,2450,1154310,694,269
"2008-03-05 00:00:00",802,706,3131,3276,5407,3685503,1666,575
"2008-03-06 00:00:00",771,681,2997,3050,4882,2720759,1599,626
"2008-03-07 00:00:00",664,647,2686,2692,4410,3421227,1401,615
"2008-03-08 00:00:00",477,436,2016,2204,3007,3160236,964,302
"2008-03-09 00:00:00",560,448,2105,2441,3475,2111851,1098,393
"2008-03-10 00:00:00",896,696,3020,3053,5018,3110170,1601,642
"2008-03-11 00:00:00",888,771,3092,3156,5241,3066214,1665,669
"2008-03-12 00:00:00",849,763,3011,2971,5233,2317986,1781,711
"2008-03-13 00:00:00",977,734,2959,2869,5337,3542165,1941,746
"2008-03-14 00:00:00",649,583,2439,2431,4332,2986670,1572,566
"2008-03-15 00:00:00",466,404,1670,1964,2811,3425173,1124,287
"2008-03-16 00:00:00",595,471,1993,2129,3142,2645804,1358,320
"2008-03-17 00:00:00",805,651,2583,2765,4665,2703058,1822,627
"2008-03-18 00:00:00",811,592,2502,2707,4337,3023632,1591,620
"2008-03-19 00:00:00",866,596,2621,2605,4128,2723470,1757,694
"2008-03-20 00:00:00",727,632,2221,2288,3547,3472422,1633,554
"2008-03-21 00:00:00",488,519,1866,1928,2425,3010592,1187,383
"2008-03-22 00:00:00",434,406,1602,1917,2036,2702139,1146,296
"2008-03-23 00:00:00",436,404,1889,1933,2358,3038837,1226,375
"2008-03-24 00:00:00",730,631,2510,2632,3559,2767222,1622,608
"2008-03-25 00:00:00",786,612,2769,2829,3835,4101726,1801,622
"2008-03-26 00:00:00",736,686,2609,2790,3945,4783395,1740,630
"2008-03-27 00:00:00",687,718,2689,2638,3598,3826394,1716,731
"2008-03-28 00:00:00",649,647,2344,2410,3175,2429713,1269,486
