,state,baseline
0,AL,0.5383038759231568
1,AR,0.7671724140644074
2,AZ,2.6200230002403258
3,CA,8.431937754154205
4,CO,13.094793975353241
5,CT,1.4121984222903847
6,DE,0.3636133462190628
7,FL,0.8607024043798447
8,GA,1.1443380661308766
9,IA,1.6522946603596211
10,ID,1.778603483736515
11,IL,9.166677784919738
12,IN,1.3605739139020443
13,KS,2.9087145179510117
14,KY,0.5811232745181769
15,LA,3.311052790284157
16,MA,6.787766379863024
17,MD,0.8524147281423211
18,ME,0.0012839052942581475
19,MI,4.390035826899111
20,MN,2.410531112551689
21,MO,0.7183937899768352
22,MS,0.29368639662861823
23,MT,0.8008526761084795
24,NC,0.9900915652513504
25,ND,7.097061404585839
26,NE,4.619182208180428
27,NH,0.001655238145031035
28,NJ,1.1125990975648166
29,NM,0.39296652749180794
30,NV,0.9332043375819922
31,NY,7.597355442587286
32,OH,1.413076537847519
33,OK,2.542088344693184
34,OR,0.5003349188715219
35,PA,2.8036399990320207
36,RI,0.22326143888931255
37,SC,0.7296379867009819
38,SD,1.7620809938758613
39,TN,0.22076744213700294
40,TX,10.909586808085441
41,UT,1.6763623652979731
42,VA,0.9748854178003967
43,VT,0.10234990592580288
44,WA,0.13954727351665497
45,WI,1.0010187014937402
46,WV,0.00422877436503768
47,WY,0.21429064869880676
