,state,withWiki
0,AL,0.5313836254179478
1,AR,0.6807396579533815
2,AZ,11.410305327177047
3,CA,17.194996817409994
4,CO,18.91438866239041
5,CT,1.5027710986323655
6,DE,0.23917156350798904
7,FL,0.5269703077152371
8,GA,2.094327756110579
9,IA,1.1407395436428487
10,ID,2.745200427249074
11,IL,6.640958842635155
12,IN,0.4152933146804571
13,KS,0.4010277897119522
14,KY,1.1613313132897018
15,LA,4.874168826639652
16,MA,1.1806510705500841
17,MD,4.1055747827049345
18,ME,0.002753117284737527
19,MI,4.027750229649246
20,MN,1.3276237685233354
21,MO,1.4130288429558278
22,MS,0.5141575708985329
23,MT,1.3057590040843934
24,NC,1.2598953604698182
25,ND,1.730280776321888
26,NE,2.468504963070154
27,NH,0.0028018737444654106
28,NJ,2.157784719951451
29,NM,3.0125335020944477
30,NV,0.6626769205089659
31,NY,4.176682412624359
32,OH,1.3068280993029475
33,OK,1.788625971786678
34,OR,0.5173690960276872
35,PA,3.09944851542823
36,RI,0.20134668352548032
37,SC,1.2306760538369417
38,SD,1.9560986831784248
39,TN,1.8295703295618295
40,TX,7.6089158177375795
41,UT,6.264736490417272
42,VA,1.711217481084168
43,VT,0.28711162296822296
44,WA,1.64711051620543
45,WI,0.20150874741375446
46,WV,0.0034351109294220804
47,WY,0.22075627353042365
