,fips,state,year,month,count
2000-01,39,OH,2000,1,0
2000-02,39,OH,2000,2,0
2000-03,39,OH,2000,3,0
2000-04,39,OH,2000,4,0
2000-05,39,OH,2000,5,0
2000-06,39,OH,2000,6,0
2000-07,39,OH,2000,7,0
2000-08,39,OH,2000,8,0
2000-09,39,OH,2000,9,0
2000-10,39,OH,2000,10,0
2000-11,39,OH,2000,11,0
2000-12,39,OH,2000,12,0
2001-01,39,OH,2001,1,0
2001-02,39,OH,2001,2,0
2001-03,39,OH,2001,3,0
2001-04,39,OH,2001,4,0
2001-05,39,OH,2001,5,0
2001-06,39,OH,2001,6,0
2001-07,39,OH,2001,7,0
2001-08,39,OH,2001,8,0
2001-09,39,OH,2001,9,0
2001-10,39,OH,2001,10,0
2001-11,39,OH,2001,11,0
2001-12,39,OH,2001,12,0
2002-01,39,OH,2002,1,0
2002-02,39,OH,2002,2,0
2002-03,39,OH,2002,3,0
2002-04,39,OH,2002,4,0
2002-05,39,OH,2002,5,0
2002-06,39,OH,2002,6,0
2002-07,39,OH,2002,7,3
2002-08,39,OH,2002,8,137
2002-09,39,OH,2002,9,157
2002-10,39,OH,2002,10,13
2002-11,39,OH,2002,11,0
2002-12,39,OH,2002,12,0
2003-01,39,OH,2003,1,0
2003-02,39,OH,2003,2,0
2003-03,39,OH,2003,3,0
2003-04,39,OH,2003,4,0
2003-05,39,OH,2003,5,0
2003-06,39,OH,2003,6,1
2003-07,39,OH,2003,7,7
2003-08,39,OH,2003,8,9
2003-09,39,OH,2003,9,62
2003-10,39,OH,2003,10,5
2003-11,39,OH,2003,11,0
2003-12,39,OH,2003,12,0
2004-01,39,OH,2004,1,0
2004-02,39,OH,2004,2,0
2004-03,39,OH,2004,3,0
2004-04,39,OH,2004,4,0
2004-05,39,OH,2004,5,0
2004-06,39,OH,2004,6,0
2004-07,39,OH,2004,7,1
2004-08,39,OH,2004,8,4
2004-09,39,OH,2004,9,6
2004-10,39,OH,2004,10,0
2004-11,39,OH,2004,11,0
2004-12,39,OH,2004,12,0
2005-01,39,OH,2005,1,0
2005-02,39,OH,2005,2,0
2005-03,39,OH,2005,3,0
