DateTime,Fever[en]
2008-01-31,76147
2008-02-29,89895
2008-03-31,76665
2008-04-30,70798
2008-05-31,68665
2008-06-30,67609
2008-07-31,67473
2008-08-31,67556
2008-09-30,78009
2008-10-31,84824
2008-11-30,84766
2008-12-31,88650
2009-01-31,107329
2009-02-28,120229
2009-03-31,115760
2009-04-30,98905
2009-05-31,109418
2009-06-30,105821
2009-07-31,111709
2009-08-31,109149
2009-09-30,88292
2009-10-31,176690
2009-11-30,160778
2009-12-31,100352
2010-01-31,101044
2010-02-28,106098
2010-03-31,118972
2010-04-30,111568
2010-05-31,103176
2010-06-30,78373
2010-07-31,86201
2010-08-31,128167
2010-09-30,141407
2010-10-31,141278
2010-11-30,136621
2010-12-31,164715
2011-01-31,190244
2011-02-28,148143
2011-03-31,136580
2011-04-30,112311
2011-05-31,107487
2011-06-30,104108
2011-07-31,104460
2011-08-31,101873
2011-09-30,103292
2011-10-31,123495
2011-11-30,131707
2011-12-31,113030
2012-01-31,140189
2012-02-29,149513
2012-03-31,139802
2012-04-30,106357
2012-05-31,123346
2012-06-30,128118
2012-07-31,131593
2012-08-31,126491
2012-09-30,136202
2012-10-31,151940
2012-11-30,140731
2012-12-31,160300
2013-01-31,201593
2013-02-28,168130
2013-03-31,168746
2013-04-30,127621
2013-05-31,115902
2013-06-30,106249
2013-07-31,99036
2013-08-31,88512
2013-09-30,99727
2013-10-31,106420
2013-11-30,105792
2013-12-31,83633
2014-01-31,88216
2014-02-28,81281
2014-03-31,88592
2014-04-30,79873
2014-05-31,73835
2014-06-30,62409
2014-07-31,60272
2014-08-31,65181
2014-09-30,70492
2014-10-31,75287
2014-11-30,57330
2014-12-31,51815
2015-01-31,54407
2015-02-28,52538
2015-03-31,52150
2015-04-30,47062
2015-05-31,41432
2015-06-30,29122
2015-07-31,28968
2015-08-31,28840
2015-09-30,33396
2015-10-31,37716
2015-11-30,33225
2015-12-31,30527
2016-01-31,33584
2016-02-29,34095
2016-03-31,33227
2016-04-30,28800
2016-05-31,25940
2016-06-30,24136
2016-07-31,21859
2016-08-31,27050
2016-09-30,29590
2016-10-31,31013
2016-11-30,28719
2016-12-31,26014
2017-01-31,29639
2017-02-28,27149
2017-03-31,26462
2017-04-30,22601
2017-05-31,23316
2017-06-30,20639
2017-07-31,18329
2017-08-31,20144
2017-09-30,21608
2017-10-31,23919
2017-11-30,22532
2017-12-31,19288
2018-01-31,24104
2018-02-28,21638
2018-03-31,21571
2018-04-30,18509
2018-05-31,17437
2018-06-30,14648
2018-07-31,13888
2018-08-31,14195
2018-09-30,15661
2018-10-31,17375
2018-11-30,15372
2018-12-31,14199
2019-01-31,17060
2019-02-28,15655
2019-03-31,15302
2019-04-30,13585
2019-05-31,14464
2019-06-30,12830
2019-07-31,11715
2019-08-31,11217
2019-09-30,15267
2019-10-31,15146
2019-11-30,13817
2019-12-31,12755
2020-01-31,16978
2020-02-29,19320
2020-03-31,50743
2020-04-30,29418
2020-05-31,17954
2020-06-30,13928
2020-07-31,13462
2020-08-31,12072
2020-09-30,13152
2020-10-31,24739
2020-11-30,26006
2020-12-31,24456
2021-01-31,18271
2021-02-28,12426
2021-03-31,14265
2021-04-30,13112
2021-05-31,11744
2021-06-30,10259
2021-07-31,22569
2021-08-31,23431
2021-09-30,23283
2021-10-31,21334
2021-11-30,21501
2021-12-31,20876
2022-01-31,19223
2022-02-28,12584
2022-03-31,12709
2022-04-30,12323
2022-05-31,13068
2022-06-30,12353
2022-07-31,12319
2022-08-31,13184
2022-09-30,11714
2022-10-31,13289
2022-11-30,13370
2022-12-31,15345
2023-01-31,11729
2023-02-28,11681
2023-03-31,12665
2023-04-30,10563
2023-05-31,11022
2023-06-30,9049
2023-07-31,2653
