,fips,state,year,month,count
2000-01,49,UT,2000,1,0
2000-02,49,UT,2000,2,0
2000-03,49,UT,2000,3,0
2000-04,49,UT,2000,4,0
2000-05,49,UT,2000,5,0
2000-06,49,UT,2000,6,0
2000-07,49,UT,2000,7,0
2000-08,49,UT,2000,8,0
2000-09,49,UT,2000,9,0
2000-10,49,UT,2000,10,0
2000-11,49,UT,2000,11,0
2000-12,49,UT,2000,12,0
2001-01,49,UT,2001,1,0
2001-02,49,UT,2001,2,0
2001-03,49,UT,2001,3,0
2001-04,49,UT,2001,4,0
2001-05,49,UT,2001,5,0
2001-06,49,UT,2001,6,0
2001-07,49,UT,2001,7,0
2001-08,49,UT,2001,8,0
2001-09,49,UT,2001,9,0
2001-10,49,UT,2001,10,0
2001-11,49,UT,2001,11,0
2001-12,49,UT,2001,12,0
2002-01,49,UT,2002,1,0
2002-02,49,UT,2002,2,0
2002-03,49,UT,2002,3,0
2002-04,49,UT,2002,4,0
2002-05,49,UT,2002,5,0
2002-06,49,UT,2002,6,0
2002-07,49,UT,2002,7,0
2002-08,49,UT,2002,8,0
2002-09,49,UT,2002,9,0
2002-10,49,UT,2002,10,0
2002-11,49,UT,2002,11,0
2002-12,49,UT,2002,12,0
2003-01,49,UT,2003,1,0
2003-02,49,UT,2003,2,0
2003-03,49,UT,2003,3,0
2003-04,49,UT,2003,4,0
2003-05,49,UT,2003,5,0
2003-06,49,UT,2003,6,0
2003-07,49,UT,2003,7,0
2003-08,49,UT,2003,8,0
2003-09,49,UT,2003,9,0
2003-10,49,UT,2003,10,0
2003-11,49,UT,2003,11,0
2003-12,49,UT,2003,12,0
2004-01,49,UT,2004,1,0
2004-02,49,UT,2004,2,0
2004-03,49,UT,2004,3,0
2004-04,49,UT,2004,4,0
2004-05,49,UT,2004,5,0
2004-06,49,UT,2004,6,0
2004-07,49,UT,2004,7,3
2004-08,49,UT,2004,8,1
2004-09,49,UT,2004,9,1
2004-10,49,UT,2004,10,1
2004-11,49,UT,2004,11,0
2004-12,49,UT,2004,12,0
2005-01,49,UT,2005,1,0
2005-02,49,UT,2005,2,0
2005-03,49,UT,2005,3,0
2005-04,49,UT,2005,4,0
2005-05,49,UT,2005,5,0
2005-06,49,UT,2005,6,0
2005-07,49,UT,2005,7,0
2005-08,49,UT,2005,8,13
2005-09,49,UT,2005,9,8
2005-10,49,UT,2005,10,0
2005-11,49,UT,2005,11,0
2005-12,49,UT,2005,12,0
2006-01,49,UT,2006,1,0
2006-02,49,UT,2006,2,0
2006-03,49,UT,2006,3,0
2006-04,49,UT,2006,4,0
2006-05,49,UT,2006,5,0
2006-06,49,UT,2006,6,0
2006-07,49,UT,2006,7,14
2006-08,49,UT,2006,8,33
2006-09,49,UT,2006,9,9
2006-10,49,UT,2006,10,0
2006-11,49,UT,2006,11,0
2006-12,49,UT,2006,12,0
2007-01,49,UT,2007,1,0
2007-02,49,UT,2007,2,0
2007-03,49,UT,2007,3,0
2007-04,49,UT,2007,4,0
2007-05,49,UT,2007,5,0
2007-06,49,UT,2007,6,1
2007-07,49,UT,2007,7,1
2007-08,49,UT,2007,8,10
2007-09,49,UT,2007,9,15
2007-10,49,UT,2007,10,1
2007-11,49,UT,2007,11,0
