,state,withArbovirusLocalized
0,AL,0.6592159403844454
1,AR,0.17984761095226232
2,AZ,3.094314448552187
3,CA,5.1555685367414466
4,CO,12.51993768905989
5,CT,0.5223438645629265
6,DE,0.12936131367557835
7,FL,5.612299382046826
8,GA,1.5729349825397143
9,IA,1.54777187251688
10,ID,0.5798429337790127
11,IL,2.0675532480825547
12,IN,0.6438455099795407
13,KS,1.3319397846277803
14,KY,0.297762813182745
15,LA,2.3303699123582353
16,MA,0.5941868439095741
17,MD,0.2620541248864978
18,ME,0.0026562981711613087
19,MI,4.6428472192929515
20,MN,0.4552513247368055
21,MO,0.9434732787503652
22,MS,1.4806432787661292
23,MT,0.44982506562262686
24,NC,0.8264887944803598
25,ND,6.0770509771457135
26,NE,5.667007149394159
27,NH,0.00186721114766733
28,NJ,1.394832019585846
29,NM,0.6689787279064898
30,NV,1.95637098956358
31,NY,4.294953204510953
32,OH,0.8225213667153495
33,OK,0.9446570025129042
34,OR,0.018302134742740252
35,PA,2.585474108046264
36,RI,0.12916884445755253
37,SC,0.6971936393617372
38,SD,4.040990120920002
39,TN,0.1104074905268908
40,TX,7.059128168910711
41,UT,0.35267895712622443
42,VA,0.7456938770644227
43,VT,0.15017279875424955
44,WA,0.6122353464578112
45,WI,0.4480360147049475
46,WV,0.002707556817340516
47,WY,0.230270234516753
