,state,withArbovirusLocalizedMinMax
0,AL,0.9107820962337572
1,AR,0.15084839264729535
2,AZ,5.959006153057174
3,CA,5.773687449362905
4,CO,11.657784926143538
5,CT,0.8569201204091568
6,DE,0.13516629509337155
7,FL,1.510067803308238
8,GA,1.607435225105987
9,IA,0.2609884431334212
10,ID,0.2912548833813186
11,IL,1.887582999179223
12,IN,0.5238461156559406
13,KS,0.44798982056597525
14,KY,0.29730380109588556
15,LA,1.9077813327061923
16,MA,0.9128131973686029
17,MD,0.23568813245655043
18,ME,0.0014175449800436337
19,MI,4.486508502496345
20,MN,0.874210288207415
21,MO,0.9787314137208539
22,MS,2.0275686356060585
23,MT,0.5702726148617179
24,NC,1.1841557493306079
25,ND,3.9973216369796543
26,NE,3.1403247584147467
27,NH,0.0012593302709442656
28,NJ,1.4584946076689467
29,NM,0.598453406354
30,NV,0.9304566986000419
31,NY,5.426750598493612
32,OH,0.6626627019883378
33,OK,1.6039137259586287
34,OR,0.2468506853242226
35,PA,2.1618701967431204
36,RI,0.1312511974878131
37,SC,0.9676776746466598
38,SD,1.8232792025316422
39,TN,0.20623816696478708
40,TX,7.606021086109508
41,UT,0.7768827988431608
42,VA,0.6844331886978454
43,VT,0.1258567529016104
44,WA,0.5388243207968365
45,WI,0.24108369528886145
46,WV,0.0026131076868235346
47,WY,0.20937604990659858
