,state,baselineThirdPredTest
0,AL,0.4418073931355106
1,AR,0.5050123325185429
2,AZ,3.5225924910665887
3,CA,22.624502354773398
4,CO,11.133388788429631
5,CT,0.765429474754665
6,DE,0.1280798730167072
7,FL,0.5606078184826151
8,GA,1.4004110833446846
9,IA,0.6271115381467609
10,ID,1.0349186966071946
11,IL,2.379143311546981
12,IN,1.0699966487118917
13,KS,1.8558897363091393
14,KY,0.5425178962261238
15,LA,3.2598763723083897
16,MA,4.4393351763569
17,MD,0.6440208954501103
18,ME,0.0034315799225062603
19,MI,3.4725838047590205
20,MN,3.0301167287817834
21,MO,0.8245389478475948
22,MS,0.5530389389687176
23,MT,0.18038692693141667
24,NC,1.0396454448259465
25,ND,0.41416877678569025
26,NE,5.244138041640424
27,NH,0.0031565514286864163
28,NJ,0.9278752398540879
29,NM,2.1685232216812977
30,NV,0.970886205076958
31,NY,5.217349449346808
32,OH,1.1718716112999892
33,OK,3.1054143442632647
34,OR,0.2991151704441801
35,PA,1.9495714929764296
36,RI,0.13791577887812737
37,SC,0.762143908588048
38,SD,2.0965385878049525
39,TN,0.2331785703436117
40,TX,8.551405403648078
41,UT,1.0029526468090841
42,VA,0.6250388895194527
43,VT,0.1927417231705321
44,WA,0.8158157993293867
45,WI,0.2982045962318285
46,WV,0.0036156537553636236
47,WY,0.3717158990499647
