year,month,statefp,countyfp,rate/trap_night,infectionRate
2003,2,6,65,204.5749128919861,0.0
2003,3,6,65,317.0452544873371,0.0
2003,4,6,65,166.88468864468865,0.0
2003,4,34,21,1.4,0.0
2003,5,6,65,289.6290430571639,0.0
2003,5,34,9,0.0,0.0
2003,5,34,11,1.7225806451612902,0.0
2003,5,34,21,2.9806451612903224,0.0
2003,5,34,27,0.0,0.0
2003,5,34,29,0.6387096774193548,0.0
2003,5,34,31,0.0,0.0
2003,5,34,33,1.346774193548387,0.0
2003,5,34,35,1.475,0.0
2003,6,6,65,190.08038302277436,0.0
2003,6,34,1,7.566666666666666,0.0
2003,6,34,3,5.9,0.0
2003,6,34,7,8.466666666666667,0.0
2003,6,34,9,28.044444444444444,0.0
2003,6,34,21,7.54,0.0
2003,6,34,25,29.68,0.0
2003,6,34,27,3.14,0.0
2003,6,34,29,5.966666666666667,0.0
2003,6,34,31,0.0,0.0
2003,6,34,33,22.83333333333333,0.0
2003,6,34,35,8.808333333333334,0.0
2003,6,34,37,9.7,0.0
2003,7,6,65,49.01822344322344,0.0
2003,7,34,1,14.443548387096774,0.0
2003,7,34,3,10.664516129032258,0.0
2003,7,34,7,11.529032258064518,0.0
2003,7,34,9,62.612903225806456,0.0
2003,7,34,11,33.01290322580645,0.0015082956259426
2003,7,34,15,7.137096774193548,0.0
2003,7,34,17,27.032258064516128,0.0
2003,7,34,21,7.425806451612903,0.0013458950201884
2003,7,34,25,27.34193548387097,0.0046296296296296
2003,7,34,27,6.309677419354839,0.0
2003,7,34,29,18.516129032258064,0.0029498525073746
2003,7,34,33,23.120967741935484,0.0
2003,7,34,35,9.04032258064516,0.0036199095022624
2003,8,6,65,23.3319099378882,0.0018639328984156
2003,8,34,1,10.112903225806452,0.0
2003,8,34,3,4.199999999999999,0.0
2003,8,34,7,8.329032258064515,0.0
2003,8,34,9,44.46774193548387,0.0
2003,8,34,11,37.65806451612902,0.0032867707477403
2003,8,34,15,0.0,0.0075566750629722
2003,8,34,17,20.516129032258064,0.0017331022530329
2003,8,34,21,4.606451612903226,0.008
2003,8,34,25,6.238709677419355,0.0076754385964912
2003,8,34,29,12.754838709677422,0.0096153846153846
2003,8,34,33,24.60483870967742,0.0
2003,8,34,35,3.290322580645161,0.0229885057471264
2003,8,34,37,5.397849462365591,0.0
2003,9,6,65,49.297500247500246,0.0037807183364839
2003,9,34,1,3.516666666666667,0.0
2003,9,34,3,6.973333333333334,0.0
2003,9,34,7,4.266666666666667,0.0545454545454545
2003,9,34,9,2.8833333333333333,0.015267175572519
2003,9,34,11,0.0,0.0
2003,9,34,21,2.786666666666666,0.0078947368421052
2003,9,34,25,0.0,0.0188679245283018
2003,9,34,29,4.526666666666667,0.0126050420168067
2003,9,34,33,25.85833333333333,0.0
2003,9,34,35,1.9583333333333333,0.03125
2003,9,34,37,6.111111111111111,0.0
2003,10,6,65,153.1219282529065,0.0
2003,10,34,1,2.338709677419355,0.0
2003,10,34,3,1.8903225806451611,0.0
2003,10,34,7,0.9548387096774192,0.0
2003,10,34,9,0.0,0.0
2003,10,34,11,3.458064516129032,0.0
2003,10,34,15,0.0,0.0
2003,10,34,21,0.4064516129032257,0.0
2003,10,34,25,0.0,0.0
2003,10,34,29,0.2322580645161289,0.0142857142857142
2003,10,34,33,1.6854838709677418,0.0
2003,10,34,35,0.3467741935483871,0.0
2003,11,6,65,109.23712288724852,0.0
2004,1,6,65,140.95,0.0
2004,2,6,65,60.587301587301575,0.0
2004,3,6,65,294.19642857142856,0.0
2004,4,6,65,244.630778763605,0.0019300361881785
2004,5,6,65,392.3706563706564,0.0031600114909508
2004,5,34,1,0.8250000000000001,0.0
2004,5,34,15,25.7,0.0
2004,5,34,21,0.5935483870967742,0.0
2004,5,34,25,1.9032258064516128,0.0
2004,6,6,65,197.28715418353576,0.0050423557886244
2004,6,34,9,23.08333333333333,0.0024630541871921
2004,6,34,11,12.733333333333334,0.0
2004,6,34,21,2.0933333333333333,0.0
2004,6,34,25,6.66,0.0
2004,6,34,27,0.1466666666666666,0.0
2004,6,34,29,1.2066666666666666,0.0
2004,6,34,33,6.125,0.0
2004,6,34,35,5.116666666666666,0.0
2004,6,34,37,7.288888888888889,0.0
2004,7,6,65,90.1914625914626,0.0040150564617314
2004,7,34,1,1.3870967741935485,0.0049504950495049
2004,7,34,3,3.2193548387096773,0.0
2004,7,34,7,2.6129032258064515,0.0
2004,7,34,9,43.10215053763441,0.0
2004,7,34,11,13.851851851851851,0.0
2004,7,34,15,31.266129032258064,0.0
2004,7,34,21,2.341935483870968,0.0068965517241379
2004,7,34,23,1.7526881720430108,0.0
2004,7,34,25,3.825806451612904,0.0
2004,7,34,29,0.6903225806451613,0.0
2004,7,34,35,1.7741935483870968,0.0
2004,7,34,37,0.0,0.0
2004,8,6,65,38.75013528138528,0.0014326647564469
2004,8,34,1,2.3306451612903225,0.0
2004,8,34,3,6.741935483870968,0.0028490028490028
2004,8,34,7,1.1935483870967742,0.0
2004,8,34,9,20.688172043010752,0.002710027100271
2004,8,34,11,35.489510489510494,0.0
2004,8,34,13,0.4623655913978494,0.0
2004,8,34,15,28.387096774193548,0.0121951219512195
2004,8,34,21,2.92258064516129,0.0064935064935064
2004,8,34,25,3.941935483870967,0.0021668472372697
2004,8,34,29,0.6193548387096773,0.004885993485342
2004,8,34,33,22.81730769230769,0.0
2004,8,34,35,3.169354838709677,0.0
2004,8,34,37,0.0,0.0
2004,9,6,65,68.71019422261658,0.0
2004,9,34,1,1.9083333333333328,0.0
2004,9,34,3,5.546666666666667,0.0
2004,9,34,7,2.62,0.0
2004,9,34,9,3.555555555555556,0.0020366598778004
2004,9,34,11,10.84,0.0043859649122807
2004,9,34,21,2.6733333333333333,0.0036596523330283
2004,9,34,25,1.3333333333333333,0.0061782877316857
2004,9,34,29,0.6866666666666666,0.003584229390681
2004,9,34,33,2.9916666666666667,0.0
2004,9,34,35,2.316666666666667,0.0
2004,9,34,37,0.0,0.0
2004,10,6,65,162.79591836734696,0.0
2004,10,34,1,0.5564516129032258,0.0
2004,10,34,3,1.4129032258064516,0.0
2004,10,34,7,0.7741935483870968,0.0074074074074074
2004,10,34,9,0.0,0.0
2004,10,34,11,2.1161290322580646,0.0
2004,10,34,21,0.2709677419354839,0.0294117647058823
2004,10,34,25,0.0,0.0
2004,10,34,29,1.3419354838709676,0.0
2004,10,34,33,0.379032258064516,0.0
2004,10,34,37,0.0,0.0
2004,11,6,65,35.85367192331478,0.0
2004,12,6,65,31.910714285714285,0.0
2005,1,6,65,98.2222222222222,0.0
2005,2,6,65,89.68969298245614,0.0
2005,3,6,65,306.908810325477,0.0
2005,4,6,65,388.56697031039135,0.0
2005,5,6,65,330.55269526952696,0.0
2005,5,34,15,0.8,0.0
2005,5,34,21,0.2129032258064515,0.0
2005,6,6,65,202.03725782414307,0.0002917152858809
2005,6,34,3,2.0733333333333333,0.0
2005,6,34,9,9.672222222222222,0.0
2005,6,34,15,10.891666666666666,0.0
2005,6,34,21,0.74,0.0
2005,6,34,23,0.8777777777777778,0.0
2005,6,34,29,0.4999999999999999,0.0
2005,6,34,37,3.9555555555555553,0.0
2005,7,6,65,41.10465801886792,0.0057537399309551
2005,7,34,3,2.1548387096774198,0.0
2005,7,34,9,23.494623655913976,0.0
2005,7,34,15,6.951612903225806,0.0
2005,7,34,19,0.3118279569892472,0.0
2005,7,34,21,1.335483870967742,0.0044354838709677
2005,7,34,23,1.3763440860215053,0.0
2005,7,34,25,1.6,0.0
2005,7,34,29,2.129032258064516,0.0
2005,8,6,65,40.68291316526611,0.0025773195876288
2005,8,34,1,2.3629032258064515,0.0
2005,8,34,3,1.793548387096774,0.0079559363525091
2005,8,34,9,23.40322580645161,0.0
2005,8,34,15,12.395161290322582,0.0012642225031605
2005,8,34,19,0.2795698924731182,0.0
2005,8,34,21,1.5935483870967744,0.0121898127993034
2005,8,34,23,0.7311827956989247,0.0031695721077654
2005,8,34,25,1.2903225806451613,0.0129870129870129
2005,8,34,27,0.4,0.015625
2005,8,34,29,1.470967741935484,0.0
2005,8,34,33,1.8870967741935485,0.0
2005,8,34,37,2.9139784946236555,0.0
2005,9,6,65,70.1954802259887,0.0021683422038241
2005,9,34,1,1.4333333333333331,0.0
2005,9,34,3,1.5266666666666664,0.0037776578521316
2005,9,34,7,1.5933333333333335,0.0
2005,9,34,9,4.683333333333334,0.0
2005,9,34,15,14.791666666666668,0.0016051364365971
2005,9,34,19,0.1444444444444444,0.0
2005,9,34,21,1.0466666666666666,0.0091954022988505
2005,9,34,23,0.311111111111111,0.0094637223974763
2005,9,34,25,0.52,0.0769230769230769
2005,9,34,27,0.3066666666666666,0.0
2005,9,34,29,0.5466666666666666,0.0
2005,9,34,33,4.191666666666667,0.0
2005,10,6,65,97.84652014652016,0.0003293265272517
2005,10,34,1,0.1290322580645159,0.0
2005,10,34,3,0.5225806451612903,0.0
2005,10,34,9,1.8172043010752688,0.0138888888888888
2005,10,34,19,0.0,0.0
2005,10,34,21,0.0,0.0
2005,10,34,23,0.0,0.0
2005,10,34,25,0.0,0.0
2005,10,34,29,0.064516129032258,0.0
2005,11,6,65,85.7075702075702,0.0004187604690117
2005,12,6,65,35.68896321070234,0.0
2006,1,6,65,24.4,0.0
2006,1,6,67,1.1078017683141357,0.0
2006,1,6,71,6.7703663203936575,0.0
