,fips,state,year,month,count
2000-01-01,48,TX,2000,1,0
2000-02-01,48,TX,2000,2,0
2000-03-01,48,TX,2000,3,0
2000-04-01,48,TX,2000,4,0
2000-05-01,48,TX,2000,5,0
2000-06-01,48,TX,2000,6,0
2000-07-01,48,TX,2000,7,0
2000-08-01,48,TX,2000,8,0
2000-09-01,48,TX,2000,9,0
2000-10-01,48,TX,2000,10,0
2000-11-01,48,TX,2000,11,0
2000-12-01,48,TX,2000,12,0
2001-01-01,48,TX,2001,1,0
2001-02-01,48,TX,2001,2,0
2001-03-01,48,TX,2001,3,0
2001-04-01,48,TX,2001,4,0
2001-05-01,48,TX,2001,5,0
2001-06-01,48,TX,2001,6,0
2001-07-01,48,TX,2001,7,0
2001-08-01,48,TX,2001,8,0
2001-09-01,48,TX,2001,9,0
2001-10-01,48,TX,2001,10,0
2001-11-01,48,TX,2001,11,0
2001-12-01,48,TX,2001,12,0
2002-01-01,48,TX,2002,1,0
2002-02-01,48,TX,2002,2,0
2002-03-01,48,TX,2002,3,0
2002-04-01,48,TX,2002,4,0
2002-05-01,48,TX,2002,5,0
2002-06-01,48,TX,2002,6,0
2002-07-01,48,TX,2002,7,27
2002-08-01,48,TX,2002,8,81
2002-09-01,48,TX,2002,9,64
2002-10-01,48,TX,2002,10,25
2002-11-01,48,TX,2002,11,5
2002-12-01,48,TX,2002,12,0
2003-01-01,48,TX,2003,1,0
2003-02-01,48,TX,2003,2,0
2003-03-01,48,TX,2003,3,0
2003-04-01,48,TX,2003,4,0
2003-05-01,48,TX,2003,5,0
2003-06-01,48,TX,2003,6,6
2003-07-01,48,TX,2003,7,98
2003-08-01,48,TX,2003,8,240
2003-09-01,48,TX,2003,9,67
2003-10-01,48,TX,2003,10,15
2003-11-01,48,TX,2003,11,5
2003-12-01,48,TX,2003,12,0
2004-01-01,48,TX,2004,1,0
2004-02-01,48,TX,2004,2,0
2004-03-01,48,TX,2004,3,0
2004-04-01,48,TX,2004,4,0
2004-05-01,48,TX,2004,5,2
2004-06-01,48,TX,2004,6,2
2004-07-01,48,TX,2004,7,9
2004-08-01,48,TX,2004,8,61
2004-09-01,48,TX,2004,9,33
2004-10-01,48,TX,2004,10,7
2004-11-01,48,TX,2004,11,5
2004-12-01,48,TX,2004,12,0
2005-01-01,48,TX,2005,1,0
2005-02-01,48,TX,2005,2,0
2005-03-01,48,TX,2005,3,0
2005-04-01,48,TX,2005,4,0
2005-05-01,48,TX,2005,5,0
2005-06-01,48,TX,2005,6,6
2005-07-01,48,TX,2005,7,21
2005-08-01,48,TX,2005,8,47
2005-09-01,48,TX,2005,9,35
2005-10-01,48,TX,2005,10,17
2005-11-01,48,TX,2005,11,1
2005-12-01,48,TX,2005,12,1
2006-01-01,48,TX,2006,1,0
2006-02-01,48,TX,2006,2,0
2006-03-01,48,TX,2006,3,0
2006-04-01,48,TX,2006,4,2
2006-05-01,48,TX,2006,5,0
2006-06-01,48,TX,2006,6,15
2006-07-01,48,TX,2006,7,94
2006-08-01,48,TX,2006,8,81
2006-09-01,48,TX,2006,9,30
2006-10-01,48,TX,2006,10,7
2006-11-01,48,TX,2006,11,2
2006-12-01,48,TX,2006,12,2
2007-01-01,48,TX,2007,1,0
2007-02-01,48,TX,2007,2,0
2007-03-01,48,TX,2007,3,0
2007-04-01,48,TX,2007,4,1
2007-05-01,48,TX,2007,5,1
2007-06-01,48,TX,2007,6,2
2007-07-01,48,TX,2007,7,12
2007-08-01,48,TX,2007,8,72
2007-09-01,48,TX,2007,9,52
2007-10-01,48,TX,2007,10,27
2007-11-01,48,TX,2007,11,3
2007-12-01,48,TX,2007,12,0
2008-01-01,48,TX,2008,1,0
2008-02-01,48,TX,2008,2,0
2008-03-01,48,TX,2008,3,0
2008-04-01,48,TX,2008,4,0
2008-05-01,48,TX,2008,5,0
2008-06-01,48,TX,2008,6,3
2008-07-01,48,TX,2008,7,7
2008-08-01,48,TX,2008,8,18
2008-09-01,48,TX,2008,9,9
2008-10-01,48,TX,2008,10,3
2008-11-01,48,TX,2008,11,0
2008-12-01,48,TX,2008,12,0
2009-01-01,48,TX,2009,1,0
2009-02-01,48,TX,2009,2,0
2009-03-01,48,TX,2009,3,0
2009-04-01,48,TX,2009,4,0
2009-05-01,48,TX,2009,5,2
2009-06-01,48,TX,2009,6,1
2009-07-01,48,TX,2009,7,15
2009-08-01,48,TX,2009,8,53
2009-09-01,48,TX,2009,9,18
2009-10-01,48,TX,2009,10,4
2009-11-01,48,TX,2009,11,0
2009-12-01,48,TX,2009,12,0
2010-01-01,48,TX,2010,1,0
2010-02-01,48,TX,2010,2,0
2010-03-01,48,TX,2010,3,0
2010-04-01,48,TX,2010,4,0
2010-05-01,48,TX,2010,5,0
2010-06-01,48,TX,2010,6,1
2010-07-01,48,TX,2010,7,3
2010-08-01,48,TX,2010,8,34
2010-09-01,48,TX,2010,9,33
2010-10-01,48,TX,2010,10,6
2010-11-01,48,TX,2010,11,0
2010-12-01,48,TX,2010,12,0
2011-01-01,48,TX,2011,1,0
2011-02-01,48,TX,2011,2,0
2011-03-01,48,TX,2011,3,0
2011-04-01,48,TX,2011,4,0
2011-05-01,48,TX,2011,5,1
2011-06-01,48,TX,2011,6,1
2011-07-01,48,TX,2011,7,6
2011-08-01,48,TX,2011,8,8
2011-09-01,48,TX,2011,9,3
2011-10-01,48,TX,2011,10,1
2011-11-01,48,TX,2011,11,0
2011-12-01,48,TX,2011,12,0
2012-01-01,48,TX,2012,1,0
2012-02-01,48,TX,2012,2,0
2012-03-01,48,TX,2012,3,0
2012-04-01,48,TX,2012,4,0
2012-05-01,48,TX,2012,5,1
2012-06-01,48,TX,2012,6,38
2012-07-01,48,TX,2012,7,328
2012-08-01,48,TX,2012,8,359
2012-09-01,48,TX,2012,9,84
2012-10-01,48,TX,2012,10,24
2012-11-01,48,TX,2012,11,8
2012-12-01,48,TX,2012,12,2
2013-01-01,48,TX,2013,1,0
2013-02-01,48,TX,2013,2,0
2013-03-01,48,TX,2013,3,0
2013-04-01,48,TX,2013,4,0
2013-05-01,48,TX,2013,5,1
2013-06-01,48,TX,2013,6,1
2013-07-01,48,TX,2013,7,7
2013-08-01,48,TX,2013,8,39
2013-09-01,48,TX,2013,9,37
2013-10-01,48,TX,2013,10,25
2013-11-01,48,TX,2013,11,2
2013-12-01,48,TX,2013,12,1
2014-01-01,48,TX,2014,1,0
2014-02-01,48,TX,2014,2,1
2014-03-01,48,TX,2014,3,0
2014-04-01,48,TX,2014,4,0
2014-05-01,48,TX,2014,5,0
2014-06-01,48,TX,2014,6,3
2014-07-01,48,TX,2014,7,51
2014-08-01,48,TX,2014,8,112
2014-09-01,48,TX,2014,9,68
2014-10-01,48,TX,2014,10,12
2014-11-01,48,TX,2014,11,5
2014-12-01,48,TX,2014,12,1
2015-01-01,48,TX,2015,1,0
2015-02-01,48,TX,2015,2,0
2015-03-01,48,TX,2015,3,0
2015-04-01,48,TX,2015,4,1
2015-05-01,48,TX,2015,5,1
2015-06-01,48,TX,2015,6,3
2015-07-01,48,TX,2015,7,21
2015-08-01,48,TX,2015,8,91
2015-09-01,48,TX,2015,9,63
2015-10-01,48,TX,2015,10,12
2015-11-01,48,TX,2015,11,4
2015-12-01,48,TX,2015,12,0
2016-01-01,48,TX,2016,1,0
2016-02-01,48,TX,2016,2,0
2016-03-01,48,TX,2016,3,0
2016-04-01,48,TX,2016,4,0
2016-05-01,48,TX,2016,5,1
2016-06-01,48,TX,2016,6,9
2016-07-01,48,TX,2016,7,32
2016-08-01,48,TX,2016,8,85
2016-09-01,48,TX,2016,9,50
2016-10-01,48,TX,2016,10,43
2016-11-01,48,TX,2016,11,27
2016-12-01,48,TX,2016,12,5
2017-01-01,48,TX,2017,1,0
2017-02-01,48,TX,2017,2,0
2017-03-01,48,TX,2017,3,0
2017-04-01,48,TX,2017,4,3
2017-05-01,48,TX,2017,5,1
2017-06-01,48,TX,2017,6,0
2017-07-01,48,TX,2017,7,20
2017-08-01,48,TX,2017,8,36
2017-09-01,48,TX,2017,9,16
2017-10-01,48,TX,2017,10,10
2017-11-01,48,TX,2017,11,1
2017-12-01,48,TX,2017,12,0
2018-01-01,48,TX,2018,1,0
2018-02-01,48,TX,2018,2,0
2018-03-01,48,TX,2018,3,0
2018-04-01,48,TX,2018,4,0
2018-05-01,48,TX,2018,5,0
2018-06-01,48,TX,2018,6,1
2018-07-01,48,TX,2018,7,20
2018-08-01,48,TX,2018,8,43
2018-09-01,48,TX,2018,9,29
2018-10-01,48,TX,2018,10,15
2018-11-01,48,TX,2018,11,0
2018-12-01,48,TX,2018,12,0
2019-01-01,48,TX,2019,1,0
2019-02-01,48,TX,2019,2,0
2019-03-01,48,TX,2019,3,0
2019-04-01,48,TX,2019,4,0
2019-05-01,48,TX,2019,5,0
2019-06-01,48,TX,2019,6,1
2019-07-01,48,TX,2019,7,8
2019-08-01,48,TX,2019,8,11
2019-09-01,48,TX,2019,9,4
2019-10-01,48,TX,2019,10,0
2019-11-01,48,TX,2019,11,0
2019-12-01,48,TX,2019,12,0
2020-01-01,48,TX,2020,1,0
2020-02-01,48,TX,2020,2,0
2020-03-01,48,TX,2020,3,0
2020-04-01,48,TX,2020,4,0
