state,statefp,county,countyfp,year,month,trap_type,species,num_pools,num_mosquitoes,num_pools_wnv
Arizona,04,La Paz,012,2021,8,CO2,Culex tarsalis,6,148,2
Arizona,04,La Paz,012,2021,9,CO2,Culex tarsalis,2,10,0
Arizona,04,La Paz,012,2021,10,CO2,Culex tarsalis,7,244,0
Arizona,04,La Paz,012,2022,4,CO2,Culex tarsalis,1,1,0
Arizona,04,La Paz,012,2022,8,CO2,Culex quinquefasciatus,6,134,0
Arizona,04,La Paz,012,2022,8,CO2,Culex tarsalis,5,53,0
Arizona,04,La Paz,012,2022,10,CO2,Culex quinquefasciatus,1,2,0
Arizona,04,La Paz,012,2022,10,CO2,Culex tarsalis,2,13,0
Arizona,04,La Paz,012,2023,6,CO2,Culex quinquefasciatus,2,63,0
Arizona,04,La Paz,012,2023,6,CO2,Culex tarsalis,7,211,1
Arizona,04,La Paz,012,2023,7,CO2,Culex quinquefasciatus,1,5,0
Arizona,04,La Paz,012,2023,7,CO2,Culex tarsalis,1,3,0
Arizona,04,La Paz,012,2023,8,CO2,Culex quinquefasciatus,1,1,0
Arizona,04,La Paz,012,2023,8,CO2,Culex tarsalis,1,2,0
Arizona,04,Maricopa,013,2014,1,CO2,Culex quinquefasciatus,174,646,0
Arizona,04,Maricopa,013,2014,1,CO2,Culex tarsalis,74,193,0
Arizona,04,Maricopa,013,2014,2,CO2,Culex quinquefasciatus,325,1454,0
Arizona,04,Maricopa,013,2014,2,CO2,Culex tarsalis,99,497,0
Arizona,04,Maricopa,013,2014,3,CO2,Culex quinquefasciatus,628,3763,0
Arizona,04,Maricopa,013,2014,3,CO2,Culex tarsalis,255,1241,0
Arizona,04,Maricopa,013,2014,4,CO2,Culex quinquefasciatus,778,5074,0
Arizona,04,Maricopa,013,2014,4,CO2,Culex tarsalis,238,2484,0
Arizona,04,Maricopa,013,2014,5,CO2,Culex quinquefasciatus,579,3364,0
Arizona,04,Maricopa,013,2014,5,CO2,Culex tarsalis,130,944,0
Arizona,04,Maricopa,013,2014,6,CO2,Culex quinquefasciatus,450,2505,19
Arizona,04,Maricopa,013,2014,6,CO2,Culex tarsalis,129,812,3
Arizona,04,Maricopa,013,2014,7,CO2,Culex quinquefasciatus,577,2939,33
Arizona,04,Maricopa,013,2014,7,CO2,Culex tarsalis,134,564,15
Arizona,04,Maricopa,013,2014,8,CO2,Culex quinquefasciatus,758,4476,49
Arizona,04,Maricopa,013,2014,8,CO2,Culex tarsalis,128,823,9
Arizona,04,Maricopa,013,2014,9,CO2,Culex quinquefasciatus,1000,8347,44
Arizona,04,Maricopa,013,2014,9,CO2,Culex tarsalis,200,1568,6
