DateTime, Centers for Disease Control and Prevention[en]
2008-01-01, 258
2008-01-02, 463
2008-01-03, 482
2008-01-04, 467
2008-01-05, 387
2008-01-06, 425
2008-01-07, 471
2008-01-08, 589
2008-01-09, 598
2008-01-10, 552
2008-01-11, 547
2008-01-12, 337
2008-01-13, 443
2008-01-14, 571
2008-01-15, 617
2008-01-16, 626
2008-01-17, 712
2008-01-18, 668
2008-01-19, 421
2008-01-20, 420
2008-01-21, 535
2008-01-22, 691
2008-01-23, 675
2008-01-24, 621
2008-01-25, 601
2008-01-26, 445
2008-01-27, 417
2008-01-28, 645
2008-01-29, 704
2008-01-30, 623
2008-01-31, 660
2008-02-01, 600
2008-02-02, 421
2008-02-03, 421
2008-02-04, 573
2008-02-05, 692
2008-02-06, 588
2008-02-07, 596
2008-02-08, 583
2008-02-09, 482
2008-02-10, 488
2008-02-11, 699
2008-02-12, 730
2008-02-13, 684
2008-02-14, 610
2008-02-15, 508
2008-02-16, 441
2008-02-17, 425
2008-02-18, 675
2008-02-19, 645
2008-02-20, 680
2008-02-21, 754
2008-02-22, 616
2008-02-23, 462
2008-02-24, 469
2008-02-25, 696
2008-02-26, 670
2008-02-27, 634
2008-02-28, 686
2008-02-29, 612
2008-03-01, 500
2008-03-02, 508
2008-03-03, 410
2008-03-04, 281
2008-03-05, 706
2008-03-06, 681
2008-03-07, 647
2008-03-08, 436
2008-03-09, 448
2008-03-10, 696
2008-03-11, 771
2008-03-12, 763
2008-03-13, 734
2008-03-14, 583
2008-03-15, 404
2008-03-16, 471
2008-03-17, 651
2008-03-18, 592
2008-03-19, 596
2008-03-20, 632
2008-03-21, 519
2008-03-22, 406
2008-03-23, 404
2008-03-24, 631
2008-03-25, 612
2008-03-26, 686
2008-03-27, 718
2008-03-28, 647
2008-03-29, 488
2008-03-30, 533
2008-03-31, 676
2008-04-01, 729
2008-04-02, 687
2008-04-03, 697
2008-04-04, 627
2008-04-05, 410
2008-04-06, 511
2008-04-07, 788
2008-04-08, 700
2008-04-09, 798
2008-04-10, 648
2008-04-11, 546
2008-04-12, 369
2008-04-13, 469
2008-04-14, 726
2008-04-15, 685
2008-04-16, 650
2008-04-17, 712
2008-04-18, 478
2008-04-19, 405
2008-04-20, 470
2008-04-21, 722
2008-04-22, 646
2008-04-23, 591
2008-04-24, 668
2008-04-25, 566
2008-04-26, 409
2008-04-27, 501
2008-04-28, 773
2008-04-29, 688
2008-04-30, 674
2008-05-01, 673
2008-05-02, 611
2008-05-03, 428
2008-05-04, 449
2008-05-05, 690
2008-05-06, 663
2008-05-07, 699
2008-05-08, 679
2008-05-09, 616
