year,month,statefp,countyfp,rate/trap_night
2003,1,6,1,0.20053475935828868
2003,1,6,65,7.583333333333333
2003,1,6,67,0.4115909563507815
2003,1,6,113,0.3127687856751894
2003,2,6,65,204.57491289198606
2003,2,6,67,0.4565580618212194
2003,2,6,113,0.3703835918738233
2003,3,6,37,2.9375
2003,3,6,65,317.0452544873371
2003,3,6,67,0.532395701643489
2003,3,6,89,0.021505376344086
2003,3,6,99,0.2822429906542054
2003,3,6,113,0.4305283757338549
2003,4,6,7,0.2622699386503066
2003,4,6,29,0.6121112929623567
2003,4,6,37,52.04625042999656
2003,4,6,65,166.88468864468865
2003,4,6,67,4.420822102425876
2003,4,6,85,0.1367521367521366
2003,4,6,89,0.2684989429175475
2003,4,6,99,0.412816691505216
2003,4,6,101,0.1656210790464239
2003,4,6,113,4.470430107526882
2003,4,6,115,0.35416666666666663
2003,4,34,21,1.4
2003,4,34,33,0.31666666666666665
2003,5,6,7,4.112058256585993
2003,5,6,29,1.4839924670433144
2003,5,6,37,66.38940641958472
2003,5,6,61,0.8
2003,5,6,65,289.6290430571639
2003,5,6,67,11.642955458093844
2003,5,6,85,0.2666666666666665
2003,5,6,89,0.857142857142857
2003,5,6,99,1.209764918625678
2003,5,6,101,1.101040118870728
2003,5,6,113,15.2239779924509
2003,5,6,115,2.206632653061224
2003,5,34,1,2.325
2003,5,34,3,1.5
2003,5,34,7,2.1
2003,5,34,9,0.0
2003,5,34,11,1.7225806451612902
2003,5,34,13,1.5698924731182795
2003,5,34,15,1.2125000000000001
2003,5,34,17,5.75
2003,5,34,19,0.6666666666666666
2003,5,34,21,2.9806451612903224
2003,5,34,23,0.3137254901960784
2003,5,34,25,2.490322580645161
2003,5,34,27,0.0
2003,5,34,29,0.6387096774193548
2003,5,34,31,0.0
2003,5,34,33,1.346774193548387
2003,5,34,35,1.475
2003,5,34,37,3.118279569892473
2003,6,6,7,17.885714285714286
2003,6,6,29,1.5425330812854443
2003,6,6,37,161.24154183375637
2003,6,6,61,3.5
2003,6,6,65,190.08038302277433
2003,6,6,67,204.1267648967855
2003,6,6,85,0.5429864253393663
2003,6,6,89,2.290262172284644
2003,6,6,99,3.662900188323917
2003,6,6,101,4.687142857142857
2003,6,6,113,23.82930672268908
2003,6,6,115,4.429268292682927
2003,6,34,1,7.566666666666666
2003,6,34,3,5.9
2003,6,34,7,8.466666666666667
2003,6,34,9,28.044444444444444
2003,6,34,11,27.9
2003,6,34,13,2.522222222222222
2003,6,34,15,4.166666666666667
2003,6,34,17,17.333333333333332
2003,6,34,19,7.444444444444445
2003,6,34,21,7.54
2003,6,34,23,4.2444444444444445
2003,6,34,25,29.68
2003,6,34,27,3.14
2003,6,34,29,5.966666666666667
2003,6,34,31,0.0
2003,6,34,33,22.833333333333332
2003,6,34,35,8.808333333333334
2003,6,34,37,9.7
2003,7,6,7,42.34782608695652
2003,7,6,29,373.7466492317751
2003,7,6,37,136.79819672100143
2003,7,6,61,659.5999999999999
2003,7,6,65,49.01822344322344
2003,7,6,67,319.60832628988095
2003,7,6,85,0.597069597069597
2003,7,6,89,7.30715532286213
2003,7,6,99,3.075036075036075
2003,7,6,101,43.06773823191734
2003,7,6,113,774.1782407407408
2003,7,6,115,35.46534653465346
2003,7,34,1,14.443548387096774
2003,7,34,3,10.664516129032258
2003,7,34,7,11.529032258064518
2003,7,34,9,62.612903225806456
2003,7,34,11,33.01290322580645
2003,7,34,13,3.139784946236559
2003,7,34,15,7.137096774193548
2003,7,34,17,27.032258064516128
2003,7,34,19,11.311827956989248
2003,7,34,21,7.425806451612903
2003,7,34,23,4.440860215053763
2003,7,34,25,27.34193548387097
2003,7,34,27,6.309677419354839
2003,7,34,29,18.516129032258064
2003,7,34,31,0.0
2003,7,34,33,23.120967741935484
2003,7,34,35,9.04032258064516
2003,7,34,37,39.215053763440864
2003,8,6,7,25.11079415791876
2003,8,6,29,332.01761083743844
2003,8,6,37,80.48374843734717
2003,8,6,61,686.8636363636364
2003,8,6,65,23.3319099378882
2003,8,6,67,136.62329953495288
2003,8,6,85,0.6113989637305699
2003,8,6,89,5.057437407952872
2003,8,6,99,2.3227611940298507
2003,8,6,101,18.252857142857142
2003,8,6,113,614.4194031204644
2003,8,6,115,13.317733990147785
2003,8,34,1,10.112903225806452
2003,8,34,3,4.199999999999999
2003,8,34,7,8.329032258064515
2003,8,34,9,44.46774193548387
2003,8,34,11,37.65806451612903
2003,8,34,13,2.129032258064516
2003,8,34,15,0.0
2003,8,34,17,20.516129032258064
2003,8,34,19,1.8602150537634408
2003,8,34,21,4.606451612903226
2003,8,34,23,2.21505376344086
2003,8,34,25,6.238709677419355
2003,8,34,27,7.122580645161291
2003,8,34,29,12.754838709677422
2003,8,34,31,0.0
2003,8,34,33,24.60483870967742
2003,8,34,35,3.2903225806451615
2003,8,34,37,5.397849462365591
2003,9,6,7,20.373533834586468
2003,9,6,29,166.16248339973438
2003,9,6,37,67.71584212026524
2003,9,6,61,209.0625
2003,9,6,65,49.297500247500246
2003,9,6,67,230.31652517132355
2003,9,6,85,0.5102505694760818
2003,9,6,89,7.832692307692307
2003,9,6,99,4.307359307359308
2003,9,6,101,13.81336405529954
2003,9,6,113,896.6172532781228
2003,9,6,115,11.944897959183676
2003,9,34,1,3.516666666666667
2003,9,34,3,6.973333333333334
2003,9,34,7,4.266666666666667
2003,9,34,9,2.8833333333333333
2003,9,34,11,0.0
2003,9,34,13,0.8111111111111111
2003,9,34,15,0.0
2003,9,34,17,13.233333333333333
2003,9,34,19,0.8888888888888888
2003,9,34,21,2.786666666666666
2003,9,34,23,0.9111111111111112
2003,9,34,25,0.0
2003,9,34,27,2.193333333333334
2003,9,34,29,4.526666666666667
2003,9,34,31,0.0
2003,9,34,33,25.858333333333334
2003,9,34,35,1.9583333333333333
2003,9,34,37,6.111111111111111
2003,10,6,7,20.17857142857143
2003,10,6,29,49.73291414467885
2003,10,6,37,73.09737040210975
2003,10,6,61,152.16666666666666
2003,10,6,65,153.1219282529065
2003,10,6,67,59.86496354325891
2003,10,6,85,0.4056437389770721
2003,10,6,89,1.2639405204460965
2003,10,6,99,3.405923344947735
2003,10,6,101,9.168989547038327
2003,10,6,113,169.43617723640182
2003,10,6,115,1.4772727272727273
2003,10,34,1,2.338709677419355
2003,10,34,3,1.8903225806451613
2003,10,34,7,0.9548387096774192
2003,10,34,9,0.0
2003,10,34,11,3.458064516129032
2003,10,34,13,0.032258064516129
2003,10,34,15,0.0
2003,10,34,17,1.870967741935484
2003,10,34,19,0.0
2003,10,34,21,0.40645161290322573
2003,10,34,23,0.0
2003,10,34,25,0.0
2003,10,34,27,0.0
2003,10,34,29,0.2322580645161289
