,state,statefp,countyfp,year,month,species,inf/pool
0,Arizona,4,12,2021,8,Culex tarsalis,0.013513513513513514
1,Arizona,4,12,2021,9,Culex tarsalis,0.0
2,Arizona,4,12,2021,10,Culex tarsalis,0.0
3,Arizona,4,12,2022,4,Culex tarsalis,0.0
4,Arizona,4,12,2022,8,Culex quinquefasciatus,0.0
5,Arizona,4,12,2022,8,Culex tarsalis,0.0
6,Arizona,4,12,2022,10,Culex quinquefasciatus,0.0
7,Arizona,4,12,2022,10,Culex tarsalis,0.0
8,Arizona,4,12,2023,6,Culex quinquefasciatus,0.0
9,Arizona,4,12,2023,6,Culex tarsalis,0.004739336492890996
10,Arizona,4,12,2023,7,Culex quinquefasciatus,0.0
11,Arizona,4,12,2023,7,Culex tarsalis,0.0
12,Arizona,4,12,2023,8,Culex quinquefasciatus,0.0
13,Arizona,4,12,2023,8,Culex tarsalis,0.0
14,Arizona,4,12,2023,9,Culex quinquefasciatus,0.0
15,Arizona,4,12,2023,9,Culex tarsalis,0.0
16,Arizona,4,13,2014,1,Culex quinquefasciatus,0.0
17,Arizona,4,13,2014,1,Culex tarsalis,0.0
18,Arizona,4,13,2014,2,Culex quinquefasciatus,0.0
19,Arizona,4,13,2014,2,Culex tarsalis,0.0
20,Arizona,4,13,2014,3,Culex quinquefasciatus,0.0
21,Arizona,4,13,2014,3,Culex tarsalis,0.0
22,Arizona,4,13,2014,4,Culex quinquefasciatus,0.0
23,Arizona,4,13,2014,4,Culex tarsalis,0.0
24,Arizona,4,13,2014,5,Culex quinquefasciatus,0.0
25,Arizona,4,13,2014,5,Culex tarsalis,0.0
26,Arizona,4,13,2014,6,Culex quinquefasciatus,0.007584830339321357
27,Arizona,4,13,2014,6,Culex tarsalis,0.003694581280788177
28,Arizona,4,13,2014,7,Culex quinquefasciatus,0.01122830894862198
29,Arizona,4,13,2014,7,Culex tarsalis,0.026595744680851064
30,Arizona,4,13,2014,8,Culex quinquefasciatus,0.010947274352100089
31,Arizona,4,13,2014,8,Culex tarsalis,0.010935601458080195
32,Arizona,4,13,2014,9,Culex quinquefasciatus,0.005271354977836348
33,Arizona,4,13,2014,9,Culex tarsalis,0.003826530612244898
34,Arizona,4,13,2014,10,Culex quinquefasciatus,0.002232498804018498
35,Arizona,4,13,2014,10,Culex tarsalis,0.004086636697997548
36,Arizona,4,13,2014,11,Culex quinquefasciatus,0.00035688793718772306
37,Arizona,4,13,2014,11,Culex tarsalis,0.006622516556291391
38,Arizona,4,13,2014,12,Culex quinquefasciatus,0.0
39,Arizona,4,13,2014,12,Culex tarsalis,0.0
40,Arizona,4,13,2015,1,Culex quinquefasciatus,0.0
41,Arizona,4,13,2015,1,Culex tarsalis,0.0
42,Arizona,4,13,2015,2,Culex quinquefasciatus,0.0
43,Arizona,4,13,2015,2,Culex tarsalis,0.0
44,Arizona,4,13,2015,3,Culex quinquefasciatus,0.0
45,Arizona,4,13,2015,3,Culex tarsalis,0.00046882325363338024
46,Arizona,4,13,2015,4,Culex quinquefasciatus,0.0002653927813163482
47,Arizona,4,13,2015,4,Culex tarsalis,0.0
48,Arizona,4,13,2015,5,Culex quinquefasciatus,0.003134796238244514
49,Arizona,4,13,2015,5,Culex tarsalis,0.0010857763300760044
50,Arizona,4,13,2015,6,Culex quinquefasciatus,0.00741608118657299
51,Arizona,4,13,2015,6,Culex tarsalis,0.0058309037900874635
52,Arizona,4,13,2015,7,Culex quinquefasciatus,0.004679457182966776
53,Arizona,4,13,2015,7,Culex tarsalis,0.006593406593406593
54,Arizona,4,13,2015,8,Culex quinquefasciatus,0.002552322613578356
55,Arizona,4,13,2015,8,Culex tarsalis,0.0038314176245210726
56,Arizona,4,13,2015,9,Culex quinquefasciatus,0.0019428254232583958
