DateTime,Pandemic[en]
2008-01-01, 781
2008-01-02, 1334
2008-01-03, 1325
2008-01-04, 1387
2008-01-05, 1119
2008-01-06, 1333
2008-01-07, 1914
2008-01-08, 1804
2008-01-09, 1583
2008-01-10, 1684
2008-01-11, 1507
2008-01-12, 984
2008-01-13, 1255
2008-01-14, 1469
2008-01-15, 1636
2008-01-16, 1456
2008-01-17, 1610
2008-01-18, 1409
2008-01-19, 983
2008-01-20, 1006
2008-01-21, 1547
2008-01-22, 1771
2008-01-23, 1641
2008-01-24, 1457
2008-01-25, 1370
2008-01-26, 895
2008-01-27, 1255
2008-01-28, 1572
2008-01-29, 1726
2008-01-30, 1599
2008-01-31, 1538
2008-02-01, 1456
2008-02-02, 917
2008-02-03, 1180
2008-02-04, 1542
2008-02-05, 1633
2008-02-06, 1642
2008-02-07, 1603
2008-02-08, 1602
2008-02-09, 1064
2008-02-10, 1252
2008-02-11, 1764
2008-02-12, 1795
2008-02-13, 1888
2008-02-14, 1588
2008-02-15, 1387
2008-02-16, 1068
2008-02-17, 1188
2008-02-18, 1732
2008-02-19, 1695
2008-02-20, 1832
2008-02-21, 1771
2008-02-22, 1557
2008-02-23, 1138
2008-02-24, 1266
2008-02-25, 1720
2008-02-26, 2006
2008-02-27, 1884
2008-02-28, 1838
2008-02-29, 1363
2008-03-01, 975
2008-03-02, 1104
2008-03-03, 963
2008-03-04, 694
2008-03-05, 1666
2008-03-06, 1599
2008-03-07, 1401
2008-03-08, 964
2008-03-09, 1098
2008-03-10, 1601
2008-03-11, 1665
2008-03-12, 1781
2008-03-13, 1941
2008-03-14, 1572
2008-03-15, 1124
2008-03-16, 1358
2008-03-17, 1822
2008-03-18, 1591
2008-03-19, 1757
2008-03-20, 1633
2008-03-21, 1187
2008-03-22, 1146
2008-03-23, 1226
2008-03-24, 1622
2008-03-25, 1801
2008-03-26, 1740
2008-03-27, 1716
2008-03-28, 1269
2008-03-29, 1091
2008-03-30, 1307
2008-03-31, 1890
2008-04-01, 1741
2008-04-02, 1793
2008-04-03, 1958
2008-04-04, 1616
2008-04-05, 1095
2008-04-06, 1417
2008-04-07, 1980
2008-04-08, 1830
2008-04-09, 1774
2008-04-10, 2263
2008-04-11, 1602
2008-04-12, 1056
2008-04-13, 1480
2008-04-14, 1897
2008-04-15, 1873
2008-04-16, 1775
2008-04-17, 1803
2008-04-18, 1599
2008-04-19, 1051
2008-04-20, 1366
2008-04-21, 2029
2008-04-22, 1705
2008-04-23, 1741
2008-04-24, 1800
2008-04-25, 1353
2008-04-26, 1121
2008-04-27, 1328
2008-04-28, 1865
2008-04-29, 1933
2008-04-30, 1969
2008-05-01, 1738
2008-05-02, 1419
2008-05-03, 1150
2008-05-04, 1353
2008-05-05, 2610
2008-05-06, 2507
2008-05-07, 2192
2008-05-08, 2135
2008-05-09, 1721
2008-05-10, 1225
2008-05-11, 1516
2008-05-12, 2184
2008-05-13, 2161
2008-05-14, 2149
2008-05-15, 2144
2008-05-16, 1834
2008-05-17, 1275
2008-05-18, 1563
2008-05-19, 2064
2008-05-20, 2281
2008-05-21, 1789
2008-05-22, 1711
2008-05-23, 1306
2008-05-24, 1075
2008-05-25, 1119
2008-05-26, 1528
2008-05-27, 1877
