DateTime,West Nile virus[en]
2008-01-01, 178
2008-01-02, 301
2008-01-03, 331
2008-01-04, 401
2008-01-05, 235
2008-01-06, 268
2008-01-07, 469
2008-01-08, 526
2008-01-09, 571
2008-01-10, 569
2008-01-11, 518
2008-01-12, 274
2008-01-13, 374
2008-01-14, 571
2008-01-15, 580
2008-01-16, 615
2008-01-17, 580
2008-01-18, 567
2008-01-19, 273
2008-01-20, 292
2008-01-21, 375
2008-01-22, 659
2008-01-23, 568
2008-01-24, 499
2008-01-25, 503
2008-01-26, 247
2008-01-27, 335
2008-01-28, 556
2008-01-29, 555
2008-01-30, 604
2008-01-31, 553
2008-02-01, 502
2008-02-02, 279
2008-02-03, 310
2008-02-04, 514
2008-02-05, 596
2008-02-06, 576
2008-02-07, 605
2008-02-08, 540
2008-02-09, 282
2008-02-10, 369
2008-02-11, 602
2008-02-12, 609
2008-02-13, 621
2008-02-14, 524
2008-02-15, 527
2008-02-16, 268
2008-02-17, 284
2008-02-18, 539
2008-02-19, 578
2008-02-20, 772
2008-02-21, 714
2008-02-22, 529
2008-02-23, 286
2008-02-24, 280
2008-02-25, 604
2008-02-26, 697
2008-02-27, 719
2008-02-28, 701
2008-02-29, 604
2008-03-01, 252
2008-03-02, 372
2008-03-03, 393
2008-03-04, 269
2008-03-05, 575
2008-03-06, 626
2008-03-07, 615
2008-03-08, 302
2008-03-09, 393
2008-03-10, 642
2008-03-11, 669
2008-03-12, 711
2008-03-13, 746
2008-03-14, 566
2008-03-15, 287
2008-03-16, 320
2008-03-17, 627
2008-03-18, 620
2008-03-19, 694
2008-03-20, 554
2008-03-21, 383
2008-03-22, 296
2008-03-23, 375
2008-03-24, 608
2008-03-25, 622
2008-03-26, 630
2008-03-27, 731
2008-03-28, 486
2008-03-29, 351
2008-03-30, 431
2008-03-31, 747
2008-04-01, 825
2008-04-02, 710
2008-04-03, 770
2008-04-04, 661
2008-04-05, 312
2008-04-06, 427
2008-04-07, 865
2008-04-08, 905
2008-04-09, 717
2008-04-10, 741
2008-04-11, 702
2008-04-12, 372
2008-04-13, 505
2008-04-14, 917
2008-04-15, 1008
2008-04-16, 890
2008-04-17, 918
2008-04-18, 738
2008-04-19, 400
2008-04-20, 568
2008-04-21, 1065
2008-04-22, 817
2008-04-23, 883
2008-04-24, 942
2008-04-25, 636
2008-04-26, 419
2008-04-27, 485
2008-04-28, 957
2008-04-29, 970
2008-04-30, 837
2008-05-01, 760
2008-05-02, 586
2008-05-03, 392
2008-05-04, 457
2008-05-05, 841
2008-05-06, 893
2008-05-07, 868
2008-05-08, 853
2008-05-09, 655
2008-05-10, 397
2008-05-11, 451
2008-05-12, 839
2008-05-13, 826
2008-05-14, 801
2008-05-15, 822
2008-05-16, 727
2008-05-17, 399
2008-05-18, 442
2008-05-19, 880
2008-05-20, 980
2008-05-21, 835
2008-05-22, 856
2008-05-23, 724
2008-05-24, 457
2008-05-25, 501
2008-05-26, 816
2008-05-27, 1240
2008-05-28, 1145
2008-05-29, 1029
2008-05-30, 778
2008-05-31, 552
2008-06-01, 735
2008-06-02, 1119
2008-06-03, 1030
2008-06-04, 962
2008-06-05, 820
2008-06-06, 804
2008-06-07, 585
2008-06-08, 764
2008-06-09, 1265
2008-06-10, 1236
2008-06-11, 1127
2008-06-12, 947
2008-06-13, 834
2008-06-14, 697
