year,month,statefp,countyfp,infectionRate
2003,2,6,65,0.0
2003,3,6,65,0.0
2003,4,6,65,0.0
2003,4,34,21,0.0
2003,5,6,65,0.0
2003,5,34,9,0.0
2003,5,34,11,0.0
2003,5,34,21,0.0
2003,5,34,27,0.0
2003,5,34,29,0.0
2003,5,34,31,0.0
2003,5,34,33,0.0
2003,5,34,35,0.0
2003,6,6,65,0.0
2003,6,34,1,0.0
2003,6,34,3,0.0
2003,6,34,7,0.0
2003,6,34,9,0.0
2003,6,34,21,0.0
2003,6,34,25,0.0
2003,6,34,27,0.0
2003,6,34,29,0.0
2003,6,34,31,0.0
2003,6,34,33,0.0
2003,6,34,35,0.0
2003,6,34,37,0.0
2003,7,6,65,0.0
2003,7,34,1,0.0
2003,7,34,3,0.0
2003,7,34,7,0.0
2003,7,34,9,0.0
2003,7,34,11,0.0015082956259426848
2003,7,34,15,0.0
2003,7,34,17,0.0
2003,7,34,21,0.0013458950201884253
2003,7,34,25,0.004629629629629629
2003,7,34,27,0.0
2003,7,34,29,0.0029498525073746312
2003,7,34,33,0.0
2003,7,34,35,0.0036199095022624436
2003,8,6,65,0.001863932898415657
2003,8,34,1,0.0
2003,8,34,3,0.0
2003,8,34,7,0.0
2003,8,34,9,0.0
2003,8,34,11,0.003286770747740345
2003,8,34,15,0.007556675062972292
2003,8,34,17,0.0017331022530329288
2003,8,34,21,0.008
2003,8,34,25,0.007675438596491228
2003,8,34,29,0.009615384615384616
2003,8,34,33,0.0
2003,8,34,35,0.022988505747126436
2003,8,34,37,0.0
2003,9,6,65,0.003780718336483932
2003,9,34,1,0.0
2003,9,34,3,0.0
2003,9,34,7,0.05454545454545454
2003,9,34,9,0.015267175572519083
2003,9,34,11,0.0
2003,9,34,21,0.007894736842105263
2003,9,34,25,0.018867924528301886
2003,9,34,29,0.012605042016806723
2003,9,34,33,0.0
2003,9,34,35,0.03125
2003,9,34,37,0.0
2003,10,6,65,0.0
2003,10,34,1,0.0
2003,10,34,3,0.0
2003,10,34,7,0.0
2003,10,34,9,0.0
2003,10,34,11,0.0
2003,10,34,15,0.0
2003,10,34,21,0.0
2003,10,34,25,0.0
2003,10,34,29,0.014285714285714285
2003,10,34,33,0.0
2003,10,34,35,0.0
2003,11,6,65,0.0
2003,11,34,11,0.0
2003,11,34,25,0.0
2003,11,34,29,0.0
2004,1,6,65,0.0
2004,2,6,65,0.0
2004,3,6,65,0.0
2004,4,6,65,0.0019300361881785283
2004,5,6,65,0.003160011490950876
2004,5,34,1,0.0
2004,5,34,15,0.0
2004,5,34,21,0.0
2004,5,34,25,0.0
2004,6,6,65,0.005042355788624445
2004,6,34,9,0.0024630541871921183
2004,6,34,11,0.0
2004,6,34,21,0.0
2004,6,34,25,0.0
2004,6,34,27,0.0
2004,6,34,29,0.0
2004,6,34,33,0.0
2004,6,34,35,0.0
2004,6,34,37,0.0
2004,7,6,65,0.004015056461731493
2004,7,34,1,0.0049504950495049506
2004,7,34,3,0.0
2004,7,34,7,0.0
2004,7,34,9,0.0
2004,7,34,11,0.0
2004,7,34,15,0.0
2004,7,34,21,0.006896551724137931
2004,7,34,23,0.0
2004,7,34,25,0.0
2004,7,34,29,0.0
2004,7,34,35,0.0
2004,7,34,37,0.0
2004,8,6,65,0.0014326647564469914
2004,8,34,1,0.0
2004,8,34,3,0.002849002849002849
2004,8,34,7,0.0
2004,8,34,9,0.0027100271002710027
2004,8,34,11,0.0
2004,8,34,13,0.0
2004,8,34,15,0.012195121951219513
2004,8,34,21,0.006493506493506494
2004,8,34,25,0.0021668472372697724
2004,8,34,29,0.004885993485342019
2004,8,34,33,0.0
2004,8,34,35,0.0
2004,8,34,37,0.0
2004,9,6,65,0.0
2004,9,34,1,0.0
2004,9,34,3,0.0
2004,9,34,7,0.0
2004,9,34,9,0.002036659877800407
2004,9,34,11,0.0043859649122807015
2004,9,34,21,0.0036596523330283625
2004,9,34,25,0.00617828773168579
2004,9,34,29,0.0035842293906810036
2004,9,34,33,0.0
2004,9,34,35,0.0
2004,9,34,37,0.0
2004,10,6,65,0.0
2004,10,34,1,0.0
2004,10,34,3,0.0
2004,10,34,7,0.007407407407407408
2004,10,34,9,0.0
2004,10,34,11,0.0
2004,10,34,21,0.029411764705882353
2004,10,34,25,0.0
2004,10,34,29,0.0
2004,10,34,33,0.0
2004,10,34,37,0.0
2004,11,6,65,0.0
2004,12,6,65,0.0
2005,1,6,65,0.0
2005,2,6,65,0.0
2005,3,6,65,0.0
2005,4,6,65,0.0
2005,5,6,65,0.0
2005,5,34,15,0.0
2005,5,34,21,0.0
2005,6,6,65,0.00029171528588098014
2005,6,34,3,0.0
2005,6,34,9,0.0
2005,6,34,15,0.0
2005,6,34,21,0.0
2005,6,34,23,0.0
2005,6,34,29,0.0
2005,6,34,37,0.0
2005,7,6,65,0.005753739930955121
2005,7,34,3,0.0
2005,7,34,9,0.0
2005,7,34,15,0.0
2005,7,34,19,0.0
2005,7,34,21,0.004435483870967742
2005,7,34,23,0.0
2005,7,34,25,0.0
2005,7,34,29,0.0
2005,8,6,65,0.002577319587628866
2005,8,34,1,0.0
