,fips,state,year,month,count
2000-01,17,IL,2000,1,0
2000-02,17,IL,2000,2,0
2000-03,17,IL,2000,3,0
2000-04,17,IL,2000,4,0
2000-05,17,IL,2000,5,0
2000-06,17,IL,2000,6,0
2000-07,17,IL,2000,7,0
2000-08,17,IL,2000,8,0
2000-09,17,IL,2000,9,0
2000-10,17,IL,2000,10,0
2000-11,17,IL,2000,11,0
2000-12,17,IL,2000,12,0
2001-01,17,IL,2001,1,0
2001-02,17,IL,2001,2,0
2001-03,17,IL,2001,3,0
2001-04,17,IL,2001,4,0
2001-05,17,IL,2001,5,0
2001-06,17,IL,2001,6,0
2001-07,17,IL,2001,7,0
2001-08,17,IL,2001,8,0
2001-09,17,IL,2001,9,0
2001-10,17,IL,2001,10,0
2001-11,17,IL,2001,11,0
2001-12,17,IL,2001,12,0
2002-01,17,IL,2002,1,0
2002-02,17,IL,2002,2,0
2002-03,17,IL,2002,3,0
2002-04,17,IL,2002,4,0
2002-05,17,IL,2002,5,0
2002-06,17,IL,2002,6,0
2002-07,17,IL,2002,7,5
2002-08,17,IL,2002,8,324
2002-09,17,IL,2002,9,219
2002-10,17,IL,2002,10,5
2002-11,17,IL,2002,11,0
2002-12,17,IL,2002,12,0
2003-01,17,IL,2003,1,0
2003-02,17,IL,2003,2,0
2003-03,17,IL,2003,3,0
2003-04,17,IL,2003,4,0
2003-05,17,IL,2003,5,0
2003-06,17,IL,2003,6,0
2003-07,17,IL,2003,7,1
2003-08,17,IL,2003,8,8
2003-09,17,IL,2003,9,20
2003-10,17,IL,2003,10,1
2003-11,17,IL,2003,11,0
2003-12,17,IL,2003,12,0
2004-01,17,IL,2004,1,0
2004-02,17,IL,2004,2,0
2004-03,17,IL,2004,3,0
2004-04,17,IL,2004,4,0
2004-05,17,IL,2004,5,0
2004-06,17,IL,2004,6,0
2004-07,17,IL,2004,7,4
2004-08,17,IL,2004,8,14
2004-09,17,IL,2004,9,10
2004-10,17,IL,2004,10,1
2004-11,17,IL,2004,11,0
2004-12,17,IL,2004,12,0
2005-01,17,IL,2005,1,0
2005-02,17,IL,2005,2,0
2005-03,17,IL,2005,3,0
2005-04,17,IL,2005,4,0
2005-05,17,IL,2005,5,0
2005-06,17,IL,2005,6,1
2005-07,17,IL,2005,7,8
2005-08,17,IL,2005,8,83
2005-09,17,IL,2005,9,41
2005-10,17,IL,2005,10,3
2005-11,17,IL,2005,11,1
2005-12,17,IL,2005,12,0
2006-01,17,IL,2006,1,0
2006-02,17,IL,2006,2,0
2006-03,17,IL,2006,3,0
2006-04,17,IL,2006,4,0
2006-05,17,IL,2006,5,1
2006-06,17,IL,2006,6,0
2006-07,17,IL,2006,7,9
2006-08,17,IL,2006,8,74
2006-09,17,IL,2006,9,39
2006-10,17,IL,2006,10,4
