,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,27.3,18.6,32.9,1.53,-1.38,,,,,,,,,,,,,,,,,
2000-02,0.0,37.4,28.4,40.2,2.53,0.11,,,,,,,,,,,,,,,,,
2000-03,0.0,46.2,34.8,45.7,2.03,-2.1,,,,,,,,,,,,,,,,,
2000-04,0.0,51.5,39.3,58.2,2.99,-0.76,,,,,,,,,,,,,,,,,
2000-05,0.0,65.1,54.3,62.5,4.4,-0.07,,,,,,,,,,,,,,,,,
2000-06,0.0,70.3,60.1,73.6,7.34,4.14,,,,,,,,,,,,,,,,,
2000-07,0.0,73.2,63.4,83.1,4.36,1.41,,,,,,,,,,,,,,,,,
2000-08,0.0,74.6,64.2,83.2,3.56,0.66,,,,,,,,,,,,,,,,,
2000-09,0.0,66.3,54.0,68.1,3.81,1.01,,,,,,,,,,,,,,,,,
2000-10,0.0,58.0,46.3,55.2,2.1,-0.69,,,,,,,,,,,,,,,,,
2000-11,0.0,38.9,30.7,34.5,3.18,0.99,,,,,,,,,,,,,,,,,
2000-12,0.0,17.6,9.3,32.1,1.94,0.24,,,,,,,,,,,,,,,,,
2001-01,0.0,25.7,18.0,31.8,1.72,-0.01,,,,,,,,,,,,,,,,,
2001-02,0.0,30.9,22.2,34.5,3.19,2.23,,,,,,,,,,,,,,,,,
2001-03,0.0,37.1,27.4,47.2,1.22,-2.11,,,,,,,,,,,,,,,,,
2001-04,0.0,57.6,45.5,51.5,2.84,-1.84,,,,,,,,,,,,,,,,,
2001-05,0.0,64.8,53.6,67.5,4.35,-0.08,,,,,,,,,,,,,,,,,
2001-06,0.0,69.8,59.3,71.9,3.81,0.07,,,,,,,,,,,,,,,,,
2001-07,0.0,75.9,65.3,80.5,3.78,0.31,,,,,,,,,,,,,,,,,
2001-08,0.0,74.6,63.7,85.3,4.07,0.79,,,,,,,,,,,,,,,,,
2001-09,0.0,64.4,52.5,75.4,3.37,0.45,,,,,,,,,,,,,,,,,
2001-10,0.0,53.8,43.1,56.9,6.08,4.15,,,,,,,,,,,,,,,,,
2001-11,0.0,49.9,38.7,45.4,2.62,0.55,,,,,,,,,,,,,,,,,
2001-12,0.0,35.8,27.9,29.7,2.6,0.85,,,,,,,,,,,,,,,,,
2002-01,0.0,33.6,24.6,30.4,2.22,0.57,,,,,,,,,,,,,,,,,
2002-02,0.0,34.6,25.5,34.9,1.83,0.09,,,,,,,,,,,,,,,,,
2002-03,0.0,37.8,27.9,40.2,3.36,0.68,,,,,,,,,,,,,,,,,
2002-04,0.0,53.5,42.7,53.3,5.11,1.47,,,,,,,,,,,,,,,,,
2002-05,0.0,59.1,48.2,61.8,7.34,4.03,,,,,,,,,,,,,,,,,
2002-06,0.0,73.9,63.1,73.0,4.02,-0.3,,,,,,,,,,,,,,,,,
2002-07,5.0,78.2,67.3,85.2,2.6,-1.58,,,,,,,,,,,,,,,,,
2002-08,324.0,75.0,64.4,77.7,4.19,0.4,,,,,,,,,,,,,,,,,
2002-09,219.0,69.3,56.5,70.6,2.11,-2.03,,,,,,,,,,,,,,,,,
2002-10,5.0,52.1,42.2,54.2,3.07,0.21,,,,,,,,,,,,,,,,,
2002-11,0.0,39.6,30.8,42.5,1.04,-2.48,,,,,,,,,,,,,,,,,
2002-12,0.0,32.2,23.5,35.8,2.17,-1.34,,,,,,,,,,,,,,,,,
2003-01,0.0,22.8,14.3,38.6,0.65,-2.1,,,,,,,,,,,,,,,,,
2003-02,0.0,26.4,18.0,36.6,1.83,-0.45,,,,,,,,,,,,,,,,,
2003-03,0.0,41.6,30.4,45.9,1.98,-1.58,,,,,,,,,,,,,,,,,
2003-04,0.0,53.5,41.6,51.6,3.18,-0.82,,,,,,,,,,,,,,,,,
2003-05,0.0,61.1,50.4,62.8,5.5,1.73,,,,,,,,,,,,,,,,,
2003-06,0.0,67.9,56.8,74.1,3.79,0.32,,,,,,,,,,,,,,,,,
2003-07,1.0,74.8,64.1,87.7,5.0,1.96,,,,,,,,,,,,,,,,,
2003-08,8.0,75.3,64.0,83.7,2.55,-0.83,,,,,,,,,,,,,,,,,
2003-09,20.0,64.1,52.2,71.9,4.25,1.53,,,,,,,,,,,,,,,,,
2003-10,1.0,54.5,42.1,62.2,1.98,-0.52,,,,,,,,,,,,,,,,,
2003-11,0.0,44.8,35.7,37.0,4.51,1.93,,,,,,,,,,,,,,,,,
2003-12,0.0,33.8,26.2,35.0,2.56,0.91,,,,,,,,,,,,,,,,,
2004-01,0.0,24.7,16.6,30.5,1.98,0.32,,,,,,,,,,,,,,,,,
2004-02,0.0,30.0,21.2,35.2,0.76,-1.36,,,,,,,,,,,,,,,,,
2004-03,0.0,45.4,35.7,51.4,4.14,0.82,,,,,,,,,,,,,,,,,
2004-04,0.0,54.1,42.2,57.3,1.8,-2.55,,,,,,,,,,,,,,,,,
2004-05,0.0,65.7,55.2,60.6,6.83,2.36,,,,,,,,,,,,,,,,,
2004-06,0.0,70.0,59.5,72.5,3.17,-0.72,,,,,,,,,,,,,,,,,
2004-07,4.0,72.8,63.1,81.9,4.13,0.98,,,,,,,,,,,,,,,,,
2004-08,14.0,68.6,57.6,78.5,5.08,2.98,,,,,,,,,,,,,,,,,
2004-09,10.0,67.7,54.6,67.0,0.68,-2.74,,,,,,,,,,,,,,,,,
2004-10,1.0,55.4,44.9,55.4,4.84,2.35,,,,,,,,,,,,,,,,,
2004-11,0.0,45.6,37.7,41.6,4.76,2.74,,,,,,,,,,,,,,,,,
2004-12,0.0,31.0,22.5,35.8,1.8,0.08,,,,,,,,,,,,,,,,,
2005-01,0.0,29.2,21.8,34.4,5.34,4.64,,,,,,,,,,,,,,,,,
2005-02,0.0,36.1,28.3,40.0,1.88,0.05,,,,,,,,,,,,,,,,,
2005-03,0.0,39.0,29.0,46.8,1.56,-1.85,,,,,,,,,,,,,,,,,
2005-04,0.0,55.4,43.4,53.6,2.57,-1.83,,,,,,,,,,,,,,,,,
2005-05,0.0,60.9,48.4,61.6,1.74,-2.34,,,,,,,,,,,,,,,,,
2005-06,1.0,75.0,63.4,67.1,1.87,-3.27,,,,,,,,,,,,,,,,,
2005-07,8.0,76.3,65.1,83.3,3.23,-1.49,,,,,,,,,,,,,,,,,
2005-08,83.0,75.6,64.8,81.4,3.68,-0.8,,,,,,,,,,,,,,,,,
2005-09,41.0,70.7,58.5,69.2,3.63,-0.79,,,,,,,,,,,,,,,,,
2005-10,3.0,55.7,44.3,57.5,1.26,-2.57,,,,,,,,,,,,,,,,,
2005-11,1.0,44.5,34.4,40.7,3.51,-1.19,,,,,,,,,,,,,,,,,
2005-12,0.0,26.0,19.1,30.8,1.16,-2.71,,,,,,,,,,,,,,,,,
2006-01,0.0,38.1,30.6,35.1,2.74,-0.32,,,,,,,,,,,,,,,,,
2006-02,0.0,30.9,20.7,35.0,0.88,-1.65,,,,,,,,,,,,,,,,,
2006-03,0.0,41.8,32.3,42.2,4.58,1.86,,,,,,,,,,,,,,,,,
2006-04,0.0,57.0,44.4,54.1,3.79,-0.62,,,,,,,,,,,,,,,,,
2006-05,1.0,62.3,52.0,66.0,3.58,-0.54,,,,,,,,,,,,,,,,,
2006-06,0.0,71.4,60.2,75.0,2.98,-1.15,,,,,,,,,,,,,,,,,
2006-07,9.0,77.1,66.6,86.6,4.09,0.24,,,,,,,,,,,,,,,,,
2006-08,74.0,74.7,64.7,80.4,4.05,0.55,,,,,,,,,,,,,,,,,
2006-09,39.0,63.7,52.9,70.0,3.43,0.47,,,,,,,,,,,,,,,,,
2006-10,4.0,51.3,40.4,55.0,3.8,1.63,,,,,,,,,,,,,,,,,
2006-11,0.0,44.4,35.2,41.7,3.32,0.98,,,,,,,,,,,,,,,,,
2006-12,0.0,35.3,27.0,34.0,3.4,1.82,,,,,,,,,,,,,,,,,
2007-01,0.0,30.3,22.7,30.8,2.93,1.54,,,,,,,,,,,,,,,,,
2007-02,0.0,21.7,13.5,39.6,2.31,0.93,,,,,,,,,,,,,,,,,
2007-03,0.0,48.0,37.5,50.7,3.21,-0.77,,,,,,,,,,,,,,,,,
2007-04,0.0,50.2,38.8,55.3,3.52,0.05,,,,,,,,,,,,,,,,,
2007-05,0.0,67.6,55.7,66.3,2.24,-2.82,,,,,,,,,,,,,,,,,
2007-06,3.0,72.7,61.5,74.7,4.13,-0.39,,,,,,,,,,,,,,,,,
2007-07,5.0,73.3,62.1,88.7,3.31,-0.45,,,,,,,,,,,,,,,,,
2007-08,17.0,78.2,67.1,81.7,4.36,0.18,,,,,,,,,,,,,,,,,
2007-09,30.0,69.8,56.5,69.4,1.59,-2.73,,,,,,,,,,,,,,,,,
2007-10,6.0,59.9,48.4,54.0,3.5,-0.3,,,,,,,,,,,,,,,,,
2007-11,1.0,42.2,32.0,43.8,1.72,-2.25,,,,,,,,,,,,,,,,,
2007-12,1.0,30.2,23.0,30.4,3.87,0.55,,,,,,,,,,,,,,,,,
2008-01,0.0,26.9,17.2,28.6,2.43,0.73,,,,,,,,,,,,,,,,,
2008-02,0.0,26.0,18.4,36.7,4.4,4.01,,,,,,,,,,,,,,,,,
2008-03,0.0,39.0,29.5,40.6,4.53,2.11,,,,,,,,,,,,,,,,,
2008-04,0.0,51.4,40.9,48.9,4.34,0.86,,,,,,,,,,,,,,,,,
2008-05,0.0,59.0,47.9,61.7,5.36,1.88,,,,,,,,,,,,,,,,,
2008-06,0.0,73.2,62.6,70.4,5.49,1.54,,,,,,,,,,,,,,,,,
2008-07,1.0,74.5,64.1,83.2,5.91,3.14,,,,,,,,,,,,,,,,,
2008-08,1.0,71.8,60.8,81.1,1.93,-1.01,,,,,,,,,,,,,,,,,
2008-09,9.0,67.1,56.4,71.3,7.62,5.45,,,,,,,,,,,,,,,,,
2008-10,1.0,54.2,42.8,57.1,2.42,0.74,,,,,,,,,,,,,,,,,
2008-11,0.0,41.1,32.0,45.7,1.49,0.06,,,,,,,,,,,,,,,,,
2008-12,0.0,26.8,17.0,30.9,4.25,2.96,,,,,,,,,,,,,,,,,
2009-01,0.0,20.6,11.9,33.7,1.01,-0.92,1632843.0,2000329.0,2020098.0,638068.0,1560277.0,1925958.0,2094492.0,912978.0,12785043.0,6291338.0,6493705.0,9190854.0,1875767.0,23208.0,538728.0,3459.0,4749388.0
2009-02,0.0,32.5,22.8,37.5,2.43,1.09,1632843.0,2000329.0,2020098.0,638068.0,1560277.0,1925958.0,2094492.0,912978.0,12785043.0,6291338.0,6493705.0,9190854.0,1875767.0,23208.0,538728.0,3459.0,4749388.0
2009-03,0.0,43.6,32.8,41.4,4.05,0.94,1632843.0,2000329.0,2020098.0,638068.0,1560277.0,1925958.0,2094492.0,912978.0,12785043.0,6291338.0,6493705.0,9190854.0,1875767.0,23208.0,538728.0,3459.0,4749388.0
2009-04,0.0,51.4,40.7,52.4,6.16,3.02,1632843.0,2000329.0,2020098.0,638068.0,1560277.0,1925958.0,2094492.0,912978.0,12785043.0,6291338.0,6493705.0,9190854.0,1875767.0,23208.0,538728.0,3459.0,4749388.0
