California, Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,-0.14,-0.36
200002,3.00,2.77
200003,-1.61,-1.74
200004,-0.25,-0.21
200005,0.25,0.05
200006,-0.19,-0.41
200007,-1.22,-1.44
200008,-0.20,-0.20
200009,-0.36,-0.41
200010,1.91,2.03
200011,-1.99,-1.79
200012,-3.76,-3.55
200101,-1.84,-2.06
200102,0.14,-0.09
200103,-1.56,-1.69
200104,0.39,0.43
200105,-1.72,-1.92
200106,-1.64,-1.86
200107,-1.20,-1.42
200108,-1.18,-1.18
200109,-0.68,-0.73
200110,-1.67,-1.55
200111,1.59,1.79
200112,1.78,1.99
200201,-1.26,-1.48
200202,-2.18,-2.41
200203,-1.41,-1.54
200204,-1.38,-1.34
200205,-0.53,-0.73
200206,-1.32,-1.54
200207,-1.80,-2.02
200208,-1.56,-1.56
200209,-1.28,-1.33
200210,-2.26,-2.14
200211,0.28,0.48
200212,4.55,4.76
200301,-2.24,-2.46
200302,-0.73,-0.96
200303,-0.69,-0.82
200304,3.92,3.96
200305,0.85,0.65
200306,0.46,0.24
200307,-0.58,-0.80
200308,0.50,0.50
200309,-1.20,-1.25
200310,-2.96,-2.84
200311,-0.21,-0.01
200312,1.98,2.19
200401,-1.35,-1.57
200402,2.66,2.43
200403,-3.58,-3.71
200404,-1.88,-1.84
200405,-1.89,-2.09
200406,-2.62,-2.84
200407,-2.24,-2.46
200408,-0.91,-0.91
200409,-1.09,-1.14
200410,4.79,4.91
200411,-0.53,-0.33
200412,1.82,2.03
200501,2.33,2.11
200502,0.56,0.33
200503,0.50,0.37
200504,0.33,0.37
200505,3.88,3.68
200506,2.96,2.74
200507,3.43,3.21
200508,-0.08,-0.08
200509,-0.32,-0.37
200510,-0.54,-0.42
200511,-0.83,-0.63
200512,3.88,4.09
200601,1.15,0.93
200602,-0.86,-1.09
200603,3.48,3.35
200604,3.84,3.88
200605,-0.14,-0.34
200606,-0.30,-0.52
200607,-1.67,-1.89
200608,-1.47,-1.47
200609,-1.37,-1.42
200610,-1.45,-1.33
200611,-0.95,-0.75
200612,-0.93,-0.72
200701,-3.81,-4.03
200702,-0.12,-0.35
200703,-3.65,-3.78
200704,-0.91,-0.87
200705,-1.81,-2.01
200706,-2.38,-2.60
200707,-1.90,-2.12
200708,-1.24,-1.24
200709,0.13,0.08
200710,0.55,0.67
200711,-2.67,-2.47
200712,-0.83,-0.62
200801,3.04,2.82
200802,-0.66,-0.89
200803,-3.26,-3.39
200804,-2.03,-1.99
200805,-1.29,-1.49
200806,-2.25,-2.47
200807,-1.96,-2.18
200808,-1.25,-1.25
200809,-1.56,-1.61
200810,-1.35,-1.23
200811,-0.81,-0.61
200812,-0.87,-0.66
200901,-3.69,-3.91
200902,0.47,0.24
200903,-1.05,-1.18
200904,-1.63,-1.59
200905,0.28,0.08
200906,-0.27,-0.49
200907,-0.68,-0.90
200908,-1.06,-1.06
200909,-1.46,-1.51
200910,1.69,1.81
200911,-2.22,-2.02
200912,-0.93,-0.72
