year,month,rate/trap_night,infectionRate
2003,1,2.127056958679398,0.0
2003,2,68.46728484856037,0.0
2003,3,53.54157115528545,0.0
2003,4,17.827128959226577,0.0
2003,5,14.137779725418397,0.0
2003,6,27.321100654300835,0.0
2003,7,92.59463648574369,0.0010038273060998285
2003,8,71.12867327088581,0.004479986422940229
2003,9,58.931790391931095,0.012017587653472592
2003,10,23.565335718298623,0.0011904761904761834
2003,11,15.746636018979542,0.0
2003,12,14.359070674076325,0.0
2004,1,47.61941372742314,0.0
2004,2,17.742295265833018,0.0
2004,3,52.33884558602919,0.0
2004,4,34.01859812945179,0.0019300361881785
2004,5,25.210732137383438,0.00063200229819016
2004,6,47.557390327360785,0.0007505409975816499
2004,7,76.6112408378853,0.001220161787336477
2004,8,41.8773320236106,0.002338083133789879
2004,9,30.64934510393493,0.001653732853789675
2004,10,20.963243742519463,0.0033471974648445185
2004,11,9.298663120001985,0.0
2004,12,15.418625126646404,0.0
2005,1,25.41659744571587,0.0
2005,2,18.907177742058852,0.0
2005,3,47.703551643462596,0.0
2005,4,40.98293850710039,0.0
2005,5,21.734722629864653,0.0
2005,6,34.09511143594415,3.64644107351125e-05
2005,7,27.55038769384861,0.0011321359779914223
2005,8,27.24167756491948,0.0042899135644138536
2005,9,26.6389407727208,0.00793333370091973
2005,10,14.698283677456883,0.0015798017129045
2005,11,18.67454240332205,0.0004187604690117
2005,12,16.22010640319929,0.0
2006,1,9.660565301187845,0.0
2006,2,8.33608103694843,0.0
2006,3,9.606878195648772,0.0
2006,4,6.666960838672172,8.60289057123125e-05
2006,5,26.455329900251872,3.7638320829045454e-05
2006,6,32.83354110389633,8.675054970086842e-05
2006,7,52.101111339718535,0.0016709138496600639
2006,8,33.73342835413884,0.003590088415281737
2006,9,47.66211491604894,0.002454894551552446
2006,10,19.48874559250907,0.00011358219324545932
2006,11,16.7653809989724,0.0003257328990228
2006,12,8.686104295835088,0.0002000800320128
2007,1,10.107426948270833,0.00055937120852452
2007,2,3.850212176152535,0.0
2007,3,13.923491864492414,0.0
2007,4,10.994281075040636,0.0
2007,5,11.362551412677055,7.918910357928572e-06
2007,6,29.912263114603174,0.0005013595137999061
2007,7,57.507096879458224,0.0023730994762927774
2007,8,50.36894326455031,0.0039737902643576
2007,9,38.860934937563165,0.002372374103699796
2007,10,18.633042854037242,0.001274320261732112
2007,11,13.855428051028747,2.923591925038889e-05
2007,12,8.448012729249719,0.000317258883248725
2008,1,19.95235025884417,0.0
2008,2,12.388963053040824,0.0
2008,3,11.206502944937352,6.249218847643334e-05
2008,4,15.882134901406772,2.1613583705085712e-05
2008,5,12.428169272282249,0.00022180301709382827
2008,6,22.411529782936103,0.0002813732600782
2008,7,47.91806302040573,0.0019656389224076156
2008,8,41.31809705359217,0.002965764999105503
2008,9,29.626033738059583,0.004373138078411858
2008,10,21.14403652337759,0.001095561758671993
2008,11,15.42198894776237,4.45831475702e-05
2008,12,15.864541587975301,0.0002665600426496
2009,1,31.88074342221359,0.0
2009,2,14.205853166957212,0.0
2009,3,25.385524500930913,0.0004166666666666667
2009,4,14.168299301617104,0.001451251369372052
2009,5,19.83567695191254,0.00025858378823017585
