state,statefp,county,countyfp,year,month,trap_type,species,num_sites,num_collection_events,num_trap_nights,num_adult_females_collected,num_collection_events_with_detection
Arizona,04,La Paz,012,2021,6,CO2,Culex tarsalis,1,1,1,3,1
Arizona,04,La Paz,012,2021,8,CO2,Culex tarsalis,12,13,13,149,5
Arizona,04,La Paz,012,2021,9,CO2,Culex tarsalis,7,7,7,28,5
Arizona,04,La Paz,012,2021,10,CO2,Culex tarsalis,3,3,3,255,4
Arizona,04,La Paz,012,2022,4,CO2,Culex tarsalis,2,2,2,1,1
Arizona,04,La Paz,012,2022,8,CO2,Culex quinquefasciatus,5,5,5,134,5
Arizona,04,La Paz,012,2022,8,CO2,Culex tarsalis,5,5,5,53,4
Arizona,04,La Paz,012,2022,10,CO2,Culex quinquefasciatus,4,4,4,2,1
Arizona,04,La Paz,012,2022,10,CO2,Culex tarsalis,4,4,4,13,2
Arizona,04,Maricopa,013,2014,1,CO2,Culex quinquefasciatus,635,2143,2143,749,174
Arizona,04,Maricopa,013,2014,1,CO2,Culex tarsalis,635,2143,2143,193,74
Arizona,04,Maricopa,013,2014,2,CO2,Culex quinquefasciatus,630,2019,2019,1529,325
Arizona,04,Maricopa,013,2014,2,CO2,Culex tarsalis,630,2019,2019,497,99
Arizona,04,Maricopa,013,2014,3,CO2,Culex quinquefasciatus,646,2238,2238,5063,628
Arizona,04,Maricopa,013,2014,3,CO2,Culex tarsalis,646,2238,2238,1241,255
Arizona,04,Maricopa,013,2014,4,CO2,Culex quinquefasciatus,651,2384,2384,7957,778
Arizona,04,Maricopa,013,2014,4,CO2,Culex tarsalis,651,2384,2384,3459,238
Arizona,04,Maricopa,013,2014,5,CO2,Culex quinquefasciatus,658,2308,2308,4139,579
Arizona,04,Maricopa,013,2014,5,CO2,Culex tarsalis,658,2308,2308,1045,130
Arizona,04,Maricopa,013,2014,6,CO2,Culex quinquefasciatus,669,2407,2407,3171,450
Arizona,04,Maricopa,013,2014,6,CO2,Culex tarsalis,669,2407,2407,840,129
Arizona,04,Maricopa,013,2014,7,CO2,Culex quinquefasciatus,679,2607,2607,2940,577
Arizona,04,Maricopa,013,2014,7,CO2,Culex tarsalis,679,2607,2607,564,134
Arizona,04,Maricopa,013,2014,8,CO2,Culex quinquefasciatus,735,2726,2726,5076,758
Arizona,04,Maricopa,013,2014,8,CO2,Culex tarsalis,735,2726,2726,824,129
Arizona,04,Maricopa,013,2014,9,CO2,Culex quinquefasciatus,858,2724,2724,8353,1000
