,count
2000-01-01,0
2000-02-01,0
2000-03-01,0
2000-04-01,0
2000-05-01,0
2000-06-01,0
2000-07-01,3
2000-08-01,13
2000-09-01,3
2000-10-01,0
2000-11-01,0
2000-12-01,0
2001-01-01,0
2001-02-01,0
2001-03-01,0
2001-04-01,0
2001-05-01,0
2001-06-01,0
2001-07-01,6
2001-08-01,21
2001-09-01,27
2001-10-01,6
2001-11-01,2
2001-12-01,1
2002-01-01,0
2002-02-01,0
2002-03-01,0
2002-04-01,0
2002-05-01,1
2002-06-01,17
2002-07-01,190
2002-08-01,1399
2002-09-01,1161
2002-10-01,157
2002-11-01,17
2002-12-01,3
2003-01-01,0
2003-02-01,0
2003-03-01,0
2003-04-01,0
2003-05-01,1
2003-06-01,20
2003-07-01,413
2003-08-01,1473
2003-09-01,828
2003-10-01,103
2003-11-01,25
2003-12-01,3
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,1
2004-05-01,28
2004-06-01,118
2004-07-01,272
2004-08-01,448
2004-09-01,226
2004-10-01,42
2004-11-01,11
2004-12-01,2
2005-01-01,0
2005-02-01,0
2005-03-01,1
2005-04-01,0
2005-05-01,1
2005-06-01,21
2005-07-01,191
2005-08-01,590
2005-09-01,407
2005-10-01,91
2005-11-01,6
2005-12-01,1
2006-01-01,1
2006-02-01,0
2006-03-01,1
2006-04-01,3
2006-05-01,2
2006-06-01,26
2006-07-01,329
2006-08-01,758
2006-09-01,301
2006-10-01,64
2006-11-01,7
2006-12-01,3
2007-01-01,0
2007-02-01,0
2007-03-01,4
2007-04-01,1
2007-05-01,3
2007-06-01,36
2007-07-01,175
2007-08-01,555
2007-09-01,356
2007-10-01,85
2007-11-01,7
2007-12-01,5
2008-01-01,0
2008-02-01,2
2008-03-01,0
2008-04-01,1
2008-05-01,3
2008-06-01,20
2008-07-01,117
2008-08-01,276
2008-09-01,205
2008-10-01,55
2008-11-01,8
2008-12-01,2
2009-01-01,1
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,4
2009-06-01,12
2009-07-01,72
2009-08-01,182
2009-09-01,98
2009-10-01,16
2009-11-01,0
2009-12-01,1
2010-01-01,1
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,16
2010-07-01,76
2010-08-01,238
2010-09-01,240
2010-10-01,49
2010-11-01,6
2010-12-01,1
2011-01-01,1
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,2
2011-06-01,5
2011-07-01,57
2011-08-01,216
2011-09-01,176
2011-10-01,26
2011-11-01,2
2011-12-01,1
2012-01-01,0
2012-02-01,0
2012-03-01,1
2012-04-01,1
2012-05-01,4
2012-06-01,61
2012-07-01,694
2012-08-01,1310
2012-09-01,613
2012-10-01,150
2012-11-01,32
2012-12-01,6
2013-01-01,0
2013-02-01,1
2013-03-01,1
2013-04-01,1
2013-05-01,3
2013-06-01,17
2013-07-01,164
2013-08-01,405
2013-09-01,548
2013-10-01,118
2013-11-01,7
2013-12-01,2
2014-01-01,0
2014-02-01,1
2014-03-01,1
2014-04-01,0
2014-05-01,2
2014-06-01,28
2014-07-01,182
2014-08-01,547
2014-09-01,480
2014-10-01,88
2014-11-01,15
2014-12-01,3
2015-01-01,0
2015-02-01,0
2015-03-01,2
2015-04-01,2
2015-05-01,2
2015-06-01,31
2015-07-01,146
2015-08-01,531
2015-09-01,511
2015-10-01,190
2015-11-01,38
2015-12-01,2
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,1
2016-05-01,8
2016-06-01,39
2016-07-01,174
2016-08-01,532
2016-09-01,363
2016-10-01,125
2016-11-01,53
2016-12-01,14
2017-01-01,0
2017-02-01,0
2017-03-01,3
2017-04-01,8
2017-05-01,6
2017-06-01,33
2017-07-01,221
2017-08-01,563
2017-09-01,452
2017-10-01,105
2017-11-01,28
2017-12-01,5
2018-01-01,2
2018-02-01,1
2018-03-01,0
2018-04-01,2
2018-05-01,5
2018-06-01,9
2018-07-01,215
2018-08-01,746
2018-09-01,537
2018-10-01,118
2018-11-01,17
2018-12-01,4
2019-01-01,2
2019-02-01,2
2019-03-01,1
2019-04-01,3
2019-05-01,10
2019-06-01,58
2019-07-01,133
2019-08-01,196
2019-09-01,181
2019-10-01,41
2019-11-01,6
2019-12-01,0
2020-01-01,2
2020-02-01,1
2020-03-01,0
2020-04-01,2
2020-05-01,7
2020-06-01,16
2020-07-01,63
2020-08-01,205
2020-09-01,202
2020-10-01,48
2020-11-01,11
2020-12-01,2
2021-01-01,2
2021-02-01,1
2021-03-01,1
2021-04-01,1
2021-05-01,5
2021-06-01,17
2021-07-01,71
2021-08-01,445
2021-09-01,959
2021-10-01,413
2021-11-01,31
2021-12-01,7
2022-01-01,3
2022-02-01,2
2022-03-01,0
2022-04-01,1
2022-05-01,3
2022-06-01,19
2022-07-01,74
2022-08-01,305
2022-09-01,254
2022-10-01,69
2022-11-01,9
2022-12-01,1
