,year,month,count,1m,2m,3m,3mAverage,12m,month_cos,month_sin
2000-01-01,2000,1,0,,,,,,0.8660254037844387,0.49999999999999994
2000-02-01,2000,2,0,0.0,,,0.0,,0.5000000000000001,0.8660254037844386
2000-03-01,2000,3,0,0.0,0.0,,0.0,,6.123233995736766e-17,1.0
2000-04-01,2000,4,0,0.0,0.0,0.0,0.0,,-0.4999999999999998,0.8660254037844388
2000-05-01,2000,5,0,0.0,0.0,0.0,0.0,,-0.8660254037844387,0.49999999999999994
2000-06-01,2000,6,0,0.0,0.0,0.0,0.0,,-1.0,1.2246467991473532e-16
2000-07-01,2000,7,0,0.0,0.0,0.0,0.0,,-0.8660254037844388,-0.4999999999999998
2000-08-01,2000,8,0,0.0,0.0,0.0,0.0,,-0.5000000000000004,-0.8660254037844384
2000-09-01,2000,9,0,0.0,0.0,0.0,0.0,,-1.8369701987210297e-16,-1.0
2000-10-01,2000,10,0,0.0,0.0,0.0,0.0,,0.5,-0.8660254037844386
2000-11-01,2000,11,0,0.0,0.0,0.0,0.0,,0.8660254037844384,-0.5000000000000004
2000-12-01,2000,12,0,0.0,0.0,0.0,0.0,,1.0,-2.4492935982947064e-16
2001-01-01,2001,1,0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,0.49999999999999994
2001-02-01,2001,2,0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.8660254037844386
2001-03-01,2001,3,0,0.0,0.0,0.0,0.0,0.0,6.123233995736766e-17,1.0
2001-04-01,2001,4,0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.8660254037844388
2001-05-01,2001,5,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844387,0.49999999999999994
2001-06-01,2001,6,0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2246467991473532e-16
2001-07-01,2001,7,0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998
2001-08-01,2001,8,0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.8660254037844384
