,fips,state,year,month,count
2000-01,13,GA,2000,1,0
2000-02,13,GA,2000,2,0
2000-03,13,GA,2000,3,0
2000-04,13,GA,2000,4,0
2000-05,13,GA,2000,5,0
2000-06,13,GA,2000,6,0
2000-07,13,GA,2000,7,0
2000-08,13,GA,2000,8,0
2000-09,13,GA,2000,9,0
2000-10,13,GA,2000,10,0
2000-11,13,GA,2000,11,0
2000-12,13,GA,2000,12,0
2001-01,13,GA,2001,1,0
2001-02,13,GA,2001,2,0
2001-03,13,GA,2001,3,0
2001-04,13,GA,2001,4,0
2001-05,13,GA,2001,5,0
2001-06,13,GA,2001,6,0
2001-07,13,GA,2001,7,1
2001-08,13,GA,2001,8,1
2001-09,13,GA,2001,9,1
2001-10,13,GA,2001,10,1
2001-11,13,GA,2001,11,1
2001-12,13,GA,2001,12,1
2002-01,13,GA,2002,1,0
2002-02,13,GA,2002,2,0
2002-03,13,GA,2002,3,0
2002-04,13,GA,2002,4,0
2002-05,13,GA,2002,5,0
2002-06,13,GA,2002,6,0
2002-07,13,GA,2002,7,1
2002-08,13,GA,2002,8,15
2002-09,13,GA,2002,9,7
2002-10,13,GA,2002,10,2
2002-11,13,GA,2002,11,3
2002-12,13,GA,2002,12,0
2003-01,13,GA,2003,1,0
2003-02,13,GA,2003,2,0
2003-03,13,GA,2003,3,0
2003-04,13,GA,2003,4,0
2003-05,13,GA,2003,5,0
2003-06,13,GA,2003,6,0
2003-07,13,GA,2003,7,2
2003-08,13,GA,2003,8,7
2003-09,13,GA,2003,9,13
2003-10,13,GA,2003,10,3
2003-11,13,GA,2003,11,2
2003-12,13,GA,2003,12,0
2004-01,13,GA,2004,1,0
2004-02,13,GA,2004,2,0
2004-03,13,GA,2004,3,0
2004-04,13,GA,2004,4,0
2004-05,13,GA,2004,5,0
2004-06,13,GA,2004,6,0
2004-07,13,GA,2004,7,2
2004-08,13,GA,2004,8,7
2004-09,13,GA,2004,9,4
2004-10,13,GA,2004,10,1
2004-11,13,GA,2004,11,0
2004-12,13,GA,2004,12,0
2005-01,13,GA,2005,1,0
2005-02,13,GA,2005,2,0
2005-03,13,GA,2005,3,0
2005-04,13,GA,2005,4,0
2005-05,13,GA,2005,5,0
2005-06,13,GA,2005,6,0
2005-07,13,GA,2005,7,0
2005-08,13,GA,2005,8,1
2005-09,13,GA,2005,9,6
2005-10,13,GA,2005,10,2
2005-11,13,GA,2005,11,0
2005-12,13,GA,2005,12,0
2006-01,13,GA,2006,1,0
2006-02,13,GA,2006,2,0
2006-03,13,GA,2006,3,0
2006-04,13,GA,2006,4,0
2006-05,13,GA,2006,5,0
2006-06,13,GA,2006,6,0
2006-07,13,GA,2006,7,2
2006-08,13,GA,2006,8,0
2006-09,13,GA,2006,9,0
2006-10,13,GA,2006,10,0
2006-11,13,GA,2006,11,0
2006-12,13,GA,2006,12,0
2007-01,13,GA,2007,1,0
2007-02,13,GA,2007,2,0
2007-03,13,GA,2007,3,0
2007-04,13,GA,2007,4,0
2007-05,13,GA,2007,5,0
2007-06,13,GA,2007,6,0
2007-07,13,GA,2007,7,3
2007-08,13,GA,2007,8,11
2007-09,13,GA,2007,9,8
2007-10,13,GA,2007,10,1
2007-11,13,GA,2007,11,0
2007-12,13,GA,2007,12,0
2008-01,13,GA,2008,1,0
2008-02,13,GA,2008,2,0
2008-03,13,GA,2008,3,0
2008-04,13,GA,2008,4,0
2008-05,13,GA,2008,5,0
2008-06,13,GA,2008,6,0
2008-07,13,GA,2008,7,0
2008-08,13,GA,2008,8,2
2008-09,13,GA,2008,9,2
2008-10,13,GA,2008,10,0
2008-11,13,GA,2008,11,0
2008-12,13,GA,2008,12,0
2009-01,13,GA,2009,1,0
2009-02,13,GA,2009,2,0
2009-03,13,GA,2009,3,0
2009-04,13,GA,2009,4,0
2009-05,13,GA,2009,5,0
2009-06,13,GA,2009,6,0
2009-07,13,GA,2009,7,0
2009-08,13,GA,2009,8,2
2009-09,13,GA,2009,9,2
2009-10,13,GA,2009,10,0
2009-11,13,GA,2009,11,0
2009-12,13,GA,2009,12,0
2010-01,13,GA,2010,1,0
2010-02,13,GA,2010,2,0
2010-03,13,GA,2010,3,0
2010-04,13,GA,2010,4,0
2010-05,13,GA,2010,5,0
2010-06,13,GA,2010,6,0
2010-07,13,GA,2010,7,2
2010-08,13,GA,2010,8,1
2010-09,13,GA,2010,9,1
2010-10,13,GA,2010,10,0
2010-11,13,GA,2010,11,0
2010-12,13,GA,2010,12,0
2011-01,13,GA,2011,1,0
2011-02,13,GA,2011,2,0
2011-03,13,GA,2011,3,0
2011-04,13,GA,2011,4,0
2011-05,13,GA,2011,5,0
2011-06,13,GA,2011,6,0
2011-07,13,GA,2011,7,2
2011-08,13,GA,2011,8,10
2011-09,13,GA,2011,9,1
2011-10,13,GA,2011,10,1
2011-11,13,GA,2011,11,0
2011-12,13,GA,2011,12,0
2012-01,13,GA,2012,1,0
2012-02,13,GA,2012,2,0
2012-03,13,GA,2012,3,0
2012-04,13,GA,2012,4,0
2012-05,13,GA,2012,5,1
2012-06,13,GA,2012,6,1
2012-07,13,GA,2012,7,17
2012-08,13,GA,2012,8,18
2012-09,13,GA,2012,9,7
2012-10,13,GA,2012,10,1
2012-11,13,GA,2012,11,1
2012-12,13,GA,2012,12,0
2013-01,13,GA,2013,1,0
2013-02,13,GA,2013,2,0
2013-03,13,GA,2013,3,0
2013-04,13,GA,2013,4,0
2013-05,13,GA,2013,5,0
2013-06,13,GA,2013,6,0
2013-07,13,GA,2013,7,1
2013-08,13,GA,2013,8,0
2013-09,13,GA,2013,9,2
2013-10,13,GA,2013,10,1
2013-11,13,GA,2013,11,0
2013-12,13,GA,2013,12,0
2014-01,13,GA,2014,1,0
2014-02,13,GA,2014,2,0
2014-03,13,GA,2014,3,0
2014-04,13,GA,2014,4,0
2014-05,13,GA,2014,5,0
2014-06,13,GA,2014,6,1
2014-07,13,GA,2014,7,4
2014-08,13,GA,2014,8,3
2014-09,13,GA,2014,9,2
2014-10,13,GA,2014,10,0
2014-11,13,GA,2014,11,0
2014-12,13,GA,2014,12,1
2015-01,13,GA,2015,1,0
2015-02,13,GA,2015,2,0
2015-03,13,GA,2015,3,0
2015-04,13,GA,2015,4,0
2015-05,13,GA,2015,5,0
2015-06,13,GA,2015,6,0
2015-07,13,GA,2015,7,4
2015-08,13,GA,2015,8,2
2015-09,13,GA,2015,9,5
2015-10,13,GA,2015,10,2
2015-11,13,GA,2015,11,0
2015-12,13,GA,2015,12,0
2016-01,13,GA,2016,1,0
2016-02,13,GA,2016,2,0
2016-03,13,GA,2016,3,0
