,state,secondPred
0,AL,2.300614326444354
1,AR,0.22298824463726014
2,AZ,8.985469631674928
3,CA,5.5139552779382175
4,CO,11.680241022609323
5,CT,1.5149469222520748
6,DE,0.12792513770251251
7,FL,2.2595722797800075
8,GA,1.2975674175448424
9,IA,0.9260370517169771
10,ID,0.5954534612214644
11,IL,1.5300335597501724
12,IN,1.0966911093190188
13,KS,0.7337527922561546
14,KY,0.768080192930388
15,LA,3.668607132206127
16,MA,3.9777296771219612
17,MD,0.1995254798534103
18,ME,0.0010676061025503899
19,MI,3.769377285620278
20,MN,1.7245495643585744
21,MO,1.227203595444431
22,MS,0.36288460537440426
23,MT,0.3264057626892658
24,NC,1.3072238859114766
25,ND,5.011434884505738
26,NE,11.47239303091243
27,NH,0.000854030081710112
28,NJ,1.403291788624824
29,NM,2.8572606158406613
30,NV,0.04181024272927757
31,NY,4.610570194599124
32,OH,3.315766023122422
33,OK,2.428551968375422
34,OR,0.21276738316499788
35,PA,7.693433564250413
36,RI,0.12807527852790673
37,SC,0.7250128810246586
38,SD,1.3077198432653103
39,TN,0.24009495814438006
40,TX,3.474829889501358
41,UT,0.4023242346265493
42,VA,0.6421579213602412
43,VT,0.12626707969476417
44,WA,0.39933151042502235
45,WI,4.460580151691817
46,WV,0.0031165746328492504
47,WY,0.2034583656162134
