,state,thirdPred
0,AL,1.4192774825042918
1,AR,0.5383422564897191
2,AZ,8.322651401330917
3,CA,10.18041344929173
4,CO,12.68423963672182
5,CT,0.4447044065917105
6,DE,0.1341503496647803
7,FL,0.5949101263824066
8,GA,1.0802904593594356
9,IA,6.37595201743364
10,ID,0.4554740321701183
11,IL,6.291983885681809
12,IN,0.8689738467958699
13,KS,2.844352906719667
14,KY,0.6090039190715607
15,LA,2.3294941771892694
16,MA,2.223744190741902
17,MD,0.37281525582781927
18,ME,0.0021346660276068074
19,MI,3.1025665728847076
20,MN,4.1555893739271
21,MO,1.307540467757201
22,MS,0.44365427368014676
23,MT,0.2643811919925382
24,NC,0.8163118951332062
25,ND,5.229356997048245
26,NE,5.06852862021785
27,NH,0.002236991311851375
28,NJ,1.1506214429396524
29,NM,1.226187479872623
30,NV,0.7883816792727318
31,NY,6.390788075647654
32,OH,0.8617003516793948
33,OK,0.38968022833431976
34,OR,0.262728979474387
35,PA,6.844097822010451
36,RI,0.1287985503661111
37,SC,1.0653044821565805
38,SD,2.8979575988304362
39,TN,0.2753303220893835
40,TX,9.110925364012186
41,UT,0.5221586876114631
42,VA,3.375039704348846
43,VT,0.002628440101437327
44,WA,0.6442196670081928
45,WI,1.2278269318620045
46,WV,0.0032209336426500365
47,WY,0.2735070201030889
