,state,firstPred
0,AL,0.7073677715383275
1,AR,0.22813744319760992
2,AZ,16.54800481180827
3,CA,4.971692695563648
4,CO,12.625150536329063
5,CT,0.9299965102403226
6,DE,0.161205363635691
7,FL,0.9287764900851895
8,GA,1.5078901593521208
9,IA,0.8323726252884993
10,ID,0.33942901435232076
11,IL,1.2230985978211164
12,IN,1.1234927651813287
13,KS,0.5312968431338604
14,KY,0.6356136540056129
15,LA,4.108895965762856
16,MA,0.5910728170243973
17,MD,0.3354623490746237
18,ME,0.0020197432433679565
19,MI,2.56780079649337
20,MN,1.6759383086902575
21,MO,1.1894474738024952
22,MS,0.3062025367499527
23,MT,0.15167839194750565
24,NC,1.2473538530740578
25,ND,7.095339895148287
26,NE,11.851233694565206
27,NH,0.0009580051093950248
28,NJ,1.5023399921269325
29,NM,2.676415232240127
30,NV,0.07459643163609397
31,NY,4.915184436901415
32,OH,0.6765385677528317
33,OK,0.33377055313332465
34,OR,0.09171261772073462
35,PA,1.8449503933508875
36,RI,0.12845931395148782
37,SC,0.866189814819404
38,SD,0.6498922834268754
39,TN,0.2305570288792327
40,TX,2.361269550511726
41,UT,0.1488138551938173
42,VA,0.5896659996946996
43,VT,0.056006484476286776
44,WA,0.4332411825968943
45,WI,0.4056785759974397
46,WV,0.0083491589415985
47,WY,0.23842181047044675
