,fips,state,year,month,count
2000-01,27,MN,2000,1,0
2000-02,27,MN,2000,2,0
2000-03,27,MN,2000,3,0
2000-04,27,MN,2000,4,0
2000-05,27,MN,2000,5,0
2000-06,27,MN,2000,6,0
2000-07,27,MN,2000,7,0
2000-08,27,MN,2000,8,0
2000-09,27,MN,2000,9,0
2000-10,27,MN,2000,10,0
2000-11,27,MN,2000,11,0
2000-12,27,MN,2000,12,0
2001-01,27,MN,2001,1,0
2001-02,27,MN,2001,2,0
2001-03,27,MN,2001,3,0
2001-04,27,MN,2001,4,0
2001-05,27,MN,2001,5,0
2001-06,27,MN,2001,6,0
2001-07,27,MN,2001,7,0
2001-08,27,MN,2001,8,0
2001-09,27,MN,2001,9,0
2001-10,27,MN,2001,10,0
2001-11,27,MN,2001,11,0
2001-12,27,MN,2001,12,0
2002-01,27,MN,2002,1,0
2002-02,27,MN,2002,2,0
2002-03,27,MN,2002,3,0
2002-04,27,MN,2002,4,0
2002-05,27,MN,2002,5,0
2002-06,27,MN,2002,6,0
2002-07,27,MN,2002,7,0
2002-08,27,MN,2002,8,9
2002-09,27,MN,2002,9,7
2002-10,27,MN,2002,10,0
2002-11,27,MN,2002,11,0
2002-12,27,MN,2002,12,0
2003-01,27,MN,2003,1,0
2003-02,27,MN,2003,2,0
2003-03,27,MN,2003,3,0
2003-04,27,MN,2003,4,0
2003-05,27,MN,2003,5,0
2003-06,27,MN,2003,6,1
2003-07,27,MN,2003,7,3
2003-08,27,MN,2003,8,28
2003-09,27,MN,2003,9,16
2003-10,27,MN,2003,10,0
2003-11,27,MN,2003,11,0
2003-12,27,MN,2003,12,0
2004-01,27,MN,2004,1,0
2004-02,27,MN,2004,2,0
2004-03,27,MN,2004,3,0
2004-04,27,MN,2004,4,0
2004-05,27,MN,2004,5,0
2004-06,27,MN,2004,6,0
2004-07,27,MN,2004,7,3
2004-08,27,MN,2004,8,7
2004-09,27,MN,2004,9,3
2004-10,27,MN,2004,10,0
2004-11,27,MN,2004,11,0
2004-12,27,MN,2004,12,0
2005-01,27,MN,2005,1,0
2005-02,27,MN,2005,2,0
2005-03,27,MN,2005,3,0
2005-04,27,MN,2005,4,0
2005-05,27,MN,2005,5,0
2005-06,27,MN,2005,6,1
2005-07,27,MN,2005,7,2
2005-08,27,MN,2005,8,7
2005-09,27,MN,2005,9,7
2005-10,27,MN,2005,10,1
2005-11,27,MN,2005,11,0
2005-12,27,MN,2005,12,0
2006-01,27,MN,2006,1,0
2006-02,27,MN,2006,2,0
2006-03,27,MN,2006,3,0
2006-04,27,MN,2006,4,0
2006-05,27,MN,2006,5,0
2006-06,27,MN,2006,6,0
2006-07,27,MN,2006,7,12
2006-08,27,MN,2006,8,13
2006-09,27,MN,2006,9,6
2006-10,27,MN,2006,10,0
2006-11,27,MN,2006,11,0
2006-12,27,MN,2006,12,0
2007-01,27,MN,2007,1,0
2007-02,27,MN,2007,2,0
2007-03,27,MN,2007,3,0
2007-04,27,MN,2007,4,0
2007-05,27,MN,2007,5,0
