,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,-0.5436761017611967,-1.0884524858524431,-0.9561246293398269,-1.7881923345810522,0.5927086505161656,-0.3885561658597731
2010-02,-0.5436761017611967,-1.0334499367476992,-1.030183911160966,-1.8010356267667142,-0.8148767593898142,-1.31996791682803
2010-03,-0.5436761017611967,-0.5564884225916124,-0.6483808872377643,-1.0297147398638942,-0.006504040090636728,-0.5673559796802606
2010-04,-0.5436761017611967,-0.21336986013627424,-0.2830395803408854,0.2062790994184606,0.6749272113820949,1.0679759993581421
2010-05,-0.5436761017611967,0.06704466755901947,0.09974100898641039,0.716002884269123,0.7797219695273795,1.4596629120941602
2010-06,-0.5436761017611967,0.792093011163901,0.913082832019487,1.410506178710169,1.1400035122887544,1.718960836081727
2010-07,-0.5436761017611967,1.2979864465703115,1.252924949952719,1.4993897479951237,-1.4368963495844775,0.9382707413531488
2010-08,-0.5436761017611967,1.2190879751762074,1.181774532761682,1.3810377512535361,-1.0715124270157677,0.8566871918249186
2010-09,-0.5436761017611967,0.8462080886302759,0.7491046598036837,1.1481562818922362,-0.9473009583281045,0.013682554065132708
2010-10,-0.5436761017611967,0.2913458957996804,0.31655682644544675,0.22368320853185591,0.5510626708503799,0.7684878267007255
2010-11,-0.5436761017611967,-0.9092821357163063,-0.828052956747951,-0.6819518425038231,0.9825109856393787,0.8566871918249186
2010-12,-0.5436761017611967,-1.2157646527243904,-1.0581231317752702,-1.8647478341801889,1.8086302086751318,1.4551363066426424
2011-01,-0.5436761017611967,-1.4275263256971646,-1.4007364879074167,-1.7817580734537017,0.7956389950692415,0.477496305530623
2011-02,-0.5436761017611967,-1.4027759097479093,-1.4983976029847366,-1.0664228858770057,0.058616876843097625,-0.21526726159494342
2011-03,-0.5436761017611967,-0.6895535224703643,-0.6040515217477264,-0.5488293778243414,1.588226524969808,1.7274903499853718
2011-04,-0.5436761017611967,-0.469139499598204,-0.48114990367333194,0.25859614437204964,1.095560868554193,1.8493285917144373
2011-05,-0.5436761017611967,0.18009822269251333,0.22088540216467645,0.7528422677297076,1.0731746075792934,1.6240291543916558
2011-06,-0.5436761017611967,0.7009384576822809,0.7415738558681721,1.6090003211904254,0.08627175373807999,0.7052672569325934
2011-07,-0.5436761017611967,1.3035868320397634,1.267082017632904,1.4597973420488246,-1.4005077793937166,0.7264303657766757
2011-08,1.5953908888941641,1.403603792474532,1.3655095215399256,1.6390804234989758,-1.4490764797963234,-0.10268532846161613
2011-09,-0.5436761017611967,1.0352096615608315,0.913082832019487,0.734405006210398,-1.5972446284989508,-1.139407070208987
2011-10,-0.5436761017611967,0.1536617843556323,0.24490580449207563,-0.19269068893889,0.8273114556539806,1.1605810154716156
2011-11,-0.5436761017611967,-0.9092821357163063,-0.9193353860101946,-0.6352516675026753,0.11377595479092524,-0.07797860886987741
2011-12,-0.5436761017611967,-1.3617108336338597,-1.4983976029847366,-1.0956356085611476,-0.32513186118595716,-1.0657269553620465
2012-01,-0.5436761017611967,-1.1997278262421742,-1.237231372143058,-1.1101907318188797,1.2058546944529367,0.30834319740633126
2012-02,-0.5436761017611967,-1.1042446620143593,-1.1330789276584057,-0.9927928502051282,-0.08196100770465777,-0.39507860313112697
