year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,MS,391441.0,438470.0,439442.0,147603.0,372691.0,440802.0,474721.0,217070.0,2922240.0,1416956.0,1505284.0,1752786.0,1081589.0,12829.0,24655.0,816.0,1085836.0,
2010,MS,386845.0,431895.0,456020.0,153083.0,370530.0,440086.0,487278.0,216254.0,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0,0400000US28
2011,MS,385295.0,432481.0,460345.0,156451.0,371664.0,440087.0,491637.0,218740.0,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0,0400000US28
2012,MS,383992.0,433922.0,460709.0,161164.0,369478.0,442439.0,493239.0,222677.0,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0,0400000US28
2013,MS,381799.0,435606.0,461304.0,166647.0,366697.0,443932.0,494701.0,226186.0,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0,0400000US28
2014,MS,378853.0,436758.0,461170.0,172059.0,364446.0,443917.0,496033.0,231109.0,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0,0400000US28
2015,MS,375851.0,438168.0,459772.0,177932.0,360322.0,442949.0,496186.0,236901.0,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0,0400000US28
2016,MS,372385.0,436077.0,458096.0,183711.0,359850.0,442224.0,493928.0,242921.0,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0,0400000US28
2017,MS,370832.0,434697.0,454441.0,188747.0,355469.0,443007.0,490747.0,248280.0,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0,0400000US28
2018,MS,367854.0,436906.0,451040.0,194579.0,352454.0,443101.0,487929.0,254899.0,2988762.0,1450379.0,1538383.0,1751193.0,1125834.0,13689.0,28313.0,707.0,1105576.0,0400000US28
2019,MS,364499.0,433417.0,449699.0,200258.0,348994.0,441548.0,485239.0,260764.0,2984418.0,1447873.0,1536545.0,1743217.0,1125623.0,14269.0,29605.0,680.0,1104394.0,0400000US28
2020,MS,360525.0,431349.0,445316.0,206518.0,346696.0,440331.0,483348.0,267752.0,2981835.0,1443708.0,1538127.0,1729353.0,1123545.0,13951.0,29742.0,1215.0,1116649.0,0400000US28
