,fips,state,year,month,count
2000-01,11,DC,2000,1,0
2000-02,11,DC,2000,2,0
2000-03,11,DC,2000,3,0
2000-04,11,DC,2000,4,0
2000-05,11,DC,2000,5,0
2000-06,11,DC,2000,6,0
2000-07,11,DC,2000,7,0
2000-08,11,DC,2000,8,0
2000-09,11,DC,2000,9,0
2000-10,11,DC,2000,10,0
2000-11,11,DC,2000,11,0
2000-12,11,DC,2000,12,0
2001-01,11,DC,2001,1,0
2001-02,11,DC,2001,2,0
2001-03,11,DC,2001,3,0
2001-04,11,DC,2001,4,0
2001-05,11,DC,2001,5,0
2001-06,11,DC,2001,6,0
2001-07,11,DC,2001,7,0
2001-08,11,DC,2001,8,0
2001-09,11,DC,2001,9,0
2001-10,11,DC,2001,10,0
2001-11,11,DC,2001,11,0
2001-12,11,DC,2001,12,0
2002-01,11,DC,2002,1,0
2002-02,11,DC,2002,2,0
2002-03,11,DC,2002,3,0
2002-04,11,DC,2002,4,0
2002-05,11,DC,2002,5,1
2002-06,11,DC,2002,6,0
2002-07,11,DC,2002,7,0
2002-08,11,DC,2002,8,10
2002-09,11,DC,2002,9,3
2002-10,11,DC,2002,10,0
2002-11,11,DC,2002,11,0
2002-12,11,DC,2002,12,0
2003-01,11,DC,2003,1,0
2003-02,11,DC,2003,2,0
2003-03,11,DC,2003,3,0
2003-04,11,DC,2003,4,0
2003-05,11,DC,2003,5,0
2003-06,11,DC,2003,6,0
2003-07,11,DC,2003,7,0
2003-08,11,DC,2003,8,2
2003-09,11,DC,2003,9,1
2003-10,11,DC,2003,10,0
2003-11,11,DC,2003,11,0
2003-12,11,DC,2003,12,0
2004-01,11,DC,2004,1,0
2004-02,11,DC,2004,2,0
2004-03,11,DC,2004,3,0
2004-04,11,DC,2004,4,0
2004-05,11,DC,2004,5,0
2004-06,11,DC,2004,6,0
2004-07,11,DC,2004,7,0
2004-08,11,DC,2004,8,1
2004-09,11,DC,2004,9,0
2004-10,11,DC,2004,10,0
2004-11,11,DC,2004,11,0
2004-12,11,DC,2004,12,0
2005-01,11,DC,2005,1,0
2005-02,11,DC,2005,2,0
2005-03,11,DC,2005,3,0
2005-04,11,DC,2005,4,0
2005-05,11,DC,2005,5,0
2005-06,11,DC,2005,6,0
2005-07,11,DC,2005,7,0
2005-08,11,DC,2005,8,0
2005-09,11,DC,2005,9,3
2005-10,11,DC,2005,10,0
2005-11,11,DC,2005,11,0
2005-12,11,DC,2005,12,0
2006-01,11,DC,2006,1,0
2006-02,11,DC,2006,2,0
2006-03,11,DC,2006,3,0
2006-04,11,DC,2006,4,0
2006-05,11,DC,2006,5,0
2006-06,11,DC,2006,6,0
2006-07,11,DC,2006,7,0
2006-08,11,DC,2006,8,0
2006-09,11,DC,2006,9,0
2006-10,11,DC,2006,10,0
2006-11,11,DC,2006,11,0
2006-12,11,DC,2006,12,0
2007-01,11,DC,2007,1,0
2007-02,11,DC,2007,2,0
2007-03,11,DC,2007,3,0
2007-04,11,DC,2007,4,0
2007-05,11,DC,2007,5,0
2007-06,11,DC,2007,6,0
2007-07,11,DC,2007,7,0
2007-08,11,DC,2007,8,0
2007-09,11,DC,2007,9,0
2007-10,11,DC,2007,10,0
2007-11,11,DC,2007,11,0
2007-12,11,DC,2007,12,0
2008-01,11,DC,2008,1,0
2008-02,11,DC,2008,2,0
2008-03,11,DC,2008,3,0
2008-04,11,DC,2008,4,0
2008-05,11,DC,2008,5,0
2008-06,11,DC,2008,6,0
2008-07,11,DC,2008,7,0
2008-08,11,DC,2008,8,2
2008-09,11,DC,2008,9,2
2008-10,11,DC,2008,10,0
2008-11,11,DC,2008,11,0
2008-12,11,DC,2008,12,0
2009-01,11,DC,2009,1,0
2009-02,11,DC,2009,2,0
2009-03,11,DC,2009,3,0
2009-04,11,DC,2009,4,0
2009-05,11,DC,2009,5,0
2009-06,11,DC,2009,6,0
2009-07,11,DC,2009,7,0
2009-08,11,DC,2009,8,2
2009-09,11,DC,2009,9,0
2009-10,11,DC,2009,10,0
2009-11,11,DC,2009,11,0
2009-12,11,DC,2009,12,0
2010-01,11,DC,2010,1,0
2010-02,11,DC,2010,2,0
2010-03,11,DC,2010,3,0
2010-04,11,DC,2010,4,0
2010-05,11,DC,2010,5,0
2010-06,11,DC,2010,6,0
2010-07,11,DC,2010,7,0
2010-08,11,DC,2010,8,2
2010-09,11,DC,2010,9,1
2010-10,11,DC,2010,10,0
2010-11,11,DC,2010,11,0
2010-12,11,DC,2010,12,0
2011-01,11,DC,2011,1,0
2011-02,11,DC,2011,2,0
2011-03,11,DC,2011,3,0
2011-04,11,DC,2011,4,0
2011-05,11,DC,2011,5,0
2011-06,11,DC,2011,6,0
2011-07,11,DC,2011,7,0
2011-08,11,DC,2011,8,9
2011-09,11,DC,2011,9,1
2011-10,11,DC,2011,10,0
2011-11,11,DC,2011,11,0
2011-12,11,DC,2011,12,0
2012-01,11,DC,2012,1,0
2012-02,11,DC,2012,2,0
2012-03,11,DC,2012,3,0
2012-04,11,DC,2012,4,0
2012-05,11,DC,2012,5,0
