year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,OK,462447.0,559246.0,555902.0,203351.0,438521.0,529733.0,582883.0,277990.0,3610073.0,1780946.0,1829127.0,2720673.0,264756.0,239130.0,57788.0,3565.0,1405005.0,
2010,OK,468416.0,559355.0,576465.0,212513.0,444605.0,537630.0,597446.0,278909.0,3675339.0,1816749.0,1858590.0,2720135.0,267179.0,259809.0,61581.0,3967.0,1421705.0,0400000US40
2011,OK,472505.0,566151.0,582330.0,217162.0,448391.0,544882.0,600714.0,282385.0,3714520.0,1838148.0,1876372.0,2743563.0,270192.0,258295.0,63471.0,4257.0,1432735.0,0400000US40
2012,OK,474896.0,572179.0,586025.0,222537.0,451856.0,550035.0,604194.0,287283.0,3749005.0,1855637.0,1893368.0,2766297.0,270993.0,261060.0,65643.0,4271.0,1439292.0,0400000US40
2013,OK,478994.0,577116.0,588788.0,228977.0,456365.0,555822.0,607043.0,292637.0,3785742.0,1873875.0,1911867.0,2783609.0,273421.0,266509.0,68161.0,4283.0,1444081.0,0400000US40
2014,OK,482655.0,581938.0,591742.0,235191.0,458670.0,560435.0,609343.0,298877.0,3818851.0,1891526.0,1927325.0,2799122.0,277007.0,274099.0,71396.0,4390.0,1450117.0,0400000US40
2015,OK,485381.0,587173.0,592569.0,241821.0,462527.0,563966.0,610919.0,305377.0,3849733.0,1906944.0,1942789.0,2813794.0,278571.0,279276.0,74570.0,4701.0,1455321.0,0400000US40
2016,OK,487092.0,591675.0,592170.0,249058.0,465233.0,566683.0,610851.0,312827.0,3875589.0,1919995.0,1955594.0,2823497.0,281295.0,286231.0,77541.0,4969.0,1461500.0,0400000US40
2017,OK,489300.0,595061.0,591123.0,255131.0,466975.0,569781.0,609681.0,319199.0,3896251.0,1930615.0,1965636.0,2828569.0,283821.0,289871.0,80670.0,5543.0,1468971.0,0400000US40
2018,OK,490811.0,600490.0,588168.0,262107.0,467895.0,574587.0,606956.0,327123.0,3918137.0,1941576.0,1976561.0,2837772.0,287959.0,294676.0,83392.0,4471.0,1474620.0,0400000US40
2019,OK,489787.0,602746.0,588300.0,268695.0,467177.0,578014.0,603452.0,334699.0,3932870.0,1949528.0,1983342.0,2844070.0,286356.0,299621.0,85239.0,6260.0,1480061.0,0400000US40
2020,OK,488614.0,604397.0,587583.0,276023.0,467756.0,580872.0,600925.0,343172.0,3949342.0,1956617.0,1992725.0,2809793.0,287856.0,303791.0,87033.0,6418.0,1493569.0,0400000US40
