year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,IA,363121.0,436561.0,485879.0,182182.0,346790.0,422131.0,485662.0,256554.0,2978880.0,1467743.0,1511137.0,2759828.0,72103.0,9404.0,47092.0,832.0,1215970.0,
2010,IA,370494.0,436742.0,493611.0,188151.0,353497.0,422670.0,492623.0,258479.0,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0,0400000US19
2011,IA,370349.0,439798.0,497224.0,191029.0,354355.0,423099.0,497123.0,259289.0,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0,0400000US19
2012,IA,370681.0,442716.0,499403.0,194535.0,354681.0,425600.0,499121.0,260909.0,3047646.0,1507335.0,1540311.0,2793432.0,88664.0,9708.0,54262.0,1308.0,1223509.0,0400000US19
2013,IA,370444.0,446068.0,501093.0,198547.0,354578.0,428599.0,500047.0,263177.0,3062553.0,1516152.0,1546401.0,2802839.0,91754.0,9440.0,55878.0,1389.0,1226547.0,0400000US19
2014,IA,371190.0,449691.0,501908.0,203327.0,354202.0,432473.0,498674.0,266651.0,3078116.0,1526116.0,1552000.0,2813097.0,95716.0,9688.0,59726.0,1715.0,1232228.0,0400000US19
2015,IA,371805.0,453256.0,500505.0,209029.0,354818.0,434819.0,498555.0,270739.0,3093526.0,1534595.0,1558931.0,2820046.0,97788.0,9977.0,62997.0,1882.0,1236409.0,0400000US19
2016,IA,372648.0,458372.0,496693.0,215275.0,354866.0,437587.0,495642.0,275506.0,3106589.0,1542988.0,1563601.0,2823890.0,103052.0,9951.0,66570.0,2422.0,1242641.0,0400000US19
2017,IA,372976.0,460964.0,493200.0,220895.0,355728.0,440095.0,494113.0,280131.0,3118102.0,1548035.0,1570067.0,2824197.0,106762.0,10791.0,71178.0,2913.0,1251587.0,0400000US19
2018,IA,372694.0,465532.0,488915.0,227340.0,357338.0,443917.0,490791.0,285972.0,3132499.0,1554481.0,1578018.0,2827889.0,109911.0,11549.0,75083.0,3129.0,1256855.0,0400000US19
2019,IA,372196.0,467308.0,485007.0,234025.0,356541.0,444540.0,488394.0,291497.0,3139508.0,1558536.0,1580972.0,2826070.0,116359.0,11976.0,75741.0,3729.0,1265473.0,0400000US19
2020,IA,371372.0,470416.0,482275.0,240373.0,357115.0,446346.0,485086.0,297028.0,3150011.0,1564436.0,1585575.0,2806418.0,117035.0,10538.0,79296.0,3941.0,1273941.0,0400000US19
