year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,CO,612247.0,805795.0,803453.0,216608.0,584415.0,738065.0,801621.0,281007.0,4843211.0,2438103.0,2405108.0,4055379.0,186598.0,46018.0,125336.0,5030.0,1869276.0,
2010,CO,616182.0,793683.0,812591.0,226036.0,586348.0,742477.0,820758.0,288986.0,4887061.0,2448492.0,2438569.0,4082565.0,190598.0,47022.0,133134.0,5757.0,1918959.0,0400000US08
2011,CO,621263.0,804689.0,827440.0,235978.0,591277.0,751307.0,835209.0,298898.0,4966061.0,2489370.0,2476691.0,4167044.0,195640.0,48201.0,134228.0,5798.0,1941193.0,0400000US08
2012,CO,625506.0,815337.0,840807.0,247964.0,594773.0,760044.0,848043.0,310379.0,5042853.0,2529614.0,2513239.0,4243753.0,201424.0,49099.0,136882.0,6034.0,1962753.0,0400000US08
2013,CO,629107.0,828498.0,849201.0,261537.0,598958.0,772426.0,855889.0,323713.0,5119329.0,2568343.0,2550986.0,4301096.0,203755.0,49177.0,141719.0,6549.0,1977591.0,0400000US08
2014,CO,632530.0,843367.0,856443.0,275930.0,602167.0,786127.0,862601.0,338415.0,5197580.0,2608270.0,2589310.0,4364911.0,209062.0,49917.0,146561.0,6641.0,1998314.0,0400000US08
2015,CO,635204.0,858002.0,864227.0,291234.0,606652.0,800128.0,869853.0,353606.0,5278906.0,2648667.0,2630239.0,4446095.0,213787.0,50008.0,153467.0,7695.0,2024468.0,0400000US08
2016,CO,637433.0,874204.0,870405.0,307594.0,608748.0,814782.0,875683.0,370446.0,5359295.0,2689636.0,2669659.0,4517058.0,219349.0,50160.0,157523.0,7441.0,2051616.0,0400000US08
2017,CO,640404.0,891711.0,877178.0,322022.0,610929.0,828998.0,879903.0,385374.0,5436519.0,2731315.0,2705204.0,4576201.0,221155.0,51406.0,164771.0,8580.0,2082531.0,0400000US08
2018,CO,644769.0,913867.0,884279.0,337916.0,615050.0,848214.0,884324.0,402722.0,5531141.0,2780831.0,2750310.0,4655584.0,227938.0,54483.0,172695.0,8296.0,2113387.0,0400000US08
2019,CO,645030.0,934231.0,890211.0,353729.0,615975.0,862461.0,888735.0,419977.0,5610349.0,2823201.0,2787148.0,4712574.0,233647.0,54847.0,178147.0,8643.0,2148994.0,0400000US08
2020,CO,644006.0,952255.0,896025.0,369867.0,615025.0,875234.0,894044.0,438470.0,5684926.0,2862153.0,2822773.0,4634305.0,235692.0,53671.0,181733.0,8883.0,2137402.0,0400000US08
