,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,0.6812594871986655,1.2107528277522954
2010-02,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.1855080170264962,0.7133708190395334
2010-03,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.3687636129463088,0.015778040288952595
2010-04,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.1855080170264976,-0.7053820354007986
2010-05,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,0.6812594871986655,-1.2502707088908618
2010-06,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,-0.016654033921809603,-1.453675654900248
2010-07,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,-0.7262037136073767,-1.2502707088908604
2010-08,2.105651165030126,1.2761835763626046,-0.5429891195407615,-0.5357180199420537,0.06078844352967486,0.45432165671054797,-0.05875698636701773,-1.2538736295058936,-0.7053820354007986
2010-09,1.9045179680974054,1.8882839585462494,1.290782269705687,-0.5357180199420537,1.027524702175265,0.45432165671054797,0.4545454307339026,-1.4489158007263132,0.015778040288952595
2010-10,-0.5306422276416307,-0.550862634577223,1.9003612281121223,1.3054069249872533,1.027524702175265,-1.0063290142646812,0.4545454307339026,-1.2538736295058936,0.7133708190395334
2010-11,-0.5306422276416307,1.2761835763626046,-0.5429891195407615,1.9113248664308429,1.027524702175265,0.45432165671054797,-1.0061060504913282,-0.7262037136073767,1.2107528277522928
2010-12,-0.5306422276416307,-0.550862634577223,1.290782269705687,-0.5357180199420537,0.06078844352967486,-0.5455599501309287,0.4545454307339026,-0.016654033921809603,1.3902147191927885
2011-01,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,1.3054069249872533,0.06078844352967486,-0.058991382542392584,-0.5453261461610098,0.6812594871986655,1.2107528277522954
2011-02,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.1855080170264962,0.7133708190395334
